Latitude,Longitude,PTrain_RFL
25.65,87.13,85.6
22.95,88.55,131.68
32.94,74.39,7.4
24.07,79.08,34.9
24.18,72.03,11.58
20.45,72.88,65.59
26.8,79.25,31.75
21.67,87.35,150.27
25.7,92.02,92.05
25.28,74.67,14.43
30.19,76.63,13.49
27.14,79.75,33.06
20.62,83.35,93.55
20.9,77.6,51.51
24.27,73.38,11.48
25.55,84.87,69.09
26.05,77.37,26.01
27.07,88.2,68.0
11.68,77.13,167.47
31.28,76.25,6.35
26.7,88.48,87.42
20.43,85.98,143.21
22.13,84.8,87.7
22.68,84.55,71.66
24.63,93.77,105.63
26.05,86.98,81.7
34.4,74.32,7.84
19.02,72.85,86.26
27.25,92.4,121.45
14.6,76.68,123.99
17.89,78.46,86.18
34.01,74.64,13.38
26.82,94.83,118.12
27.87,96.37,117.68
32.65,74.82,10.42
24.1,92.6,129.96
34.48,74.24,9.95
17.33,78.41,94.98
23.35,92.83,124.41
27.35,73.1,7.63
30.19,76.51,13.05
22.36,88.12,147.26
34.53,76.2,41.62
34.38,74.99,26.33
24.02,87.15,94.1
34.28,74.44,7.97
33.6,75.02,16.83
28.26,75.37,12.62
22.25,85.8,92.56
26.52,71.81,4.19
26.77,92.6,112.25
25.5,83.85,62.37
13.62,76.42,140.72
22.25,88.67,152.03
9.17,92.83,311.58
22.55,85.82,95.54
24.92,75.58,20.07
22.03,82.7,66.5
20.78,86.73,155.16
19.97,79.3,65.62
26.2,92.52,117.23
25.78,84.73,67.49
13.0,80.18,216.41
13.07,80.25,218.12
25.25,91.73,96.27
22.1,79.0,46.51
13.25,75.75,154.69
14.23,76.43,132.31
24.88,74.63,15.24
24.65,83.1,52.0
28.25,74.92,11.1
11.0,76.97,186.73
11.03,77.05,184.86
21.78,87.75,151.86
26.33,89.47,98.3
11.77,79.77,230.94
14.48,78.83,155.29
20.47,85.93,141.24
20.22,73.05,65.83
22.52,88.78,144.43
25.68,85.35,72.4
26.84,79.53,32.76
11.15,75.82,218.67
17.31,78.87,101.57
26.92,79.21,31.33
30.4,74.9,7.27
29.66,77.45,17.19
22.97,86.05,91.2
22.15,70.58,23.53
29.39,76.99,16.8
24.04,79.1,34.99
30.73,76.79,12.36
28.43,75.51,13.14
27.72,96.23,131.91
26.57,94.7,110.56
24.05,86.9,88.47
25.88,87.13,84.17
28.16,75.46,12.38
25.68,93.23,111.32
21.43,71.22,35.11
25.3,93.72,103.22
28.68,73.12,8.22
24.88,78.97,33.27
11.83,76.07,180.67
27.22,93.12,95.22
28.78,96.27,123.98
22.22,78.43,45.75
25.68,94.3,108.37
24.47,86.25,72.82
29.98,77.1,15.46
24.79,79.08,33.37
24.52,84.95,69.32
20.68,86.85,158.75
28.75,73.99,8.96
25.07,75.5,18.26
26.22,87.02,82.04
28.67,96.15,117.21
11.4,79.7,233.85
17.6,78.75,93.52
21.52,73.65,43.85
16.45,74.33,109.8
25.17,82.53,54.63
15.58,79.88,172.24
26.63,94.92,110.48
19.07,79.07,75.86
22.12,77.5,41.81
24.05,86.15,76.27
23.18,76.97,33.11
27.93,79.28,29.36
17.56,78.22,89.53
10.97,77.28,183.34
17.29,78.03,92.33
27.12,79.41,31.27
10.7,76.75,204.14
17.23,79.13,107.55
23.67,76.23,27.78
24.45,85.17,69.94
18.72,72.9,89.15
12.5,76.3,162.37
26.5,75.67,17.86
21.1,85.33,109.67
21.7,79.68,50.44
22.12,76.9,41.6
30.69,76.09,10.89
26.72,94.23,122.67
25.27,87.22,88.42
13.63,74.7,179.85
20.5,85.83,138.06
19.97,72.72,71.99
32.53,75.97,15.09
24.05,84.07,63.08
23.83,79.45,37.48
26.17,85.9,74.88
27.05,88.27,100.96
25.67,78.47,30.18
24.2,72.2,11.35
30.32,78.03,12.04
24.92,84.18,64.1
16.38,73.35,129.49
23.78,86.43,84.25
22.6,75.3,31.47
12.13,78.03,162.03
32.27,76.38,8.16
26.67,77.83,26.88
26.02,89.98,103.33
26.15,89.92,101.9
22.18,88.2,152.72
27.48,95.02,129.24
21.83,87.78,151.68
20.72,70.92,50.2
22.83,74.27,28.1
17.72,83.3,167.18
24.27,87.25,91.09
23.83,73.67,17.28
21.18,81.28,63.34
