Latitude,Longitude,PTrain_RFL
22.95,88.55,327.41
32.94,74.39,144.07
24.07,79.08,285.4
24.18,72.03,234.86
20.45,72.88,349.17
26.8,79.25,208.95
21.67,87.35,325.9
25.7,92.02,501.79
25.28,74.67,188.65
30.19,76.63,111.2
27.14,79.75,214.56
20.62,83.35,301.27
20.9,77.6,284.31
24.27,73.38,188.37
25.55,84.87,307.68
26.05,77.37,204.33
27.07,88.2,476.39
11.68,77.13,68.02
31.28,76.25,217.02
26.7,88.48,331.91
20.43,85.98,325.11
22.13,84.8,311.39
22.68,84.55,304.45
24.63,93.77,521.95
26.05,86.98,313.03
34.4,74.32,495.69
19.02,72.85,377.72
27.25,92.4,1192.09
14.6,76.68,116.49
17.89,78.46,199.43
34.01,74.64,507.91
26.82,94.83,501.34
27.87,96.37,701.45
32.65,74.82,170.8
24.1,92.6,398.03
34.48,74.24,514.87
17.33,78.41,184.64
23.35,92.83,440.35
27.35,73.1,108.63
30.19,76.51,105.78
22.36,88.12,323.71
34.53,76.2,190.76
34.38,74.99,423.51
24.02,87.15,314.46
34.28,74.44,498.6
33.6,75.02,503.61
28.26,75.37,103.67
22.25,85.8,304.06
26.52,71.81,136.14
26.77,92.6,402.94
25.5,83.85,303.0
13.62,76.42,97.97
22.25,88.67,332.79
9.17,92.83,284.41
22.55,85.82,306.78
24.92,75.58,207.89
22.03,82.7,316.21
20.78,86.73,331.02
19.97,79.3,305.85
26.2,92.52,395.33
25.78,84.73,302.34
13.0,80.18,275.12
13.07,80.25,281.9
25.25,91.73,635.15
22.1,79.0,293.99
13.25,75.75,149.26
14.23,76.43,103.04
24.88,74.63,194.75
24.65,83.1,317.06
28.25,74.92,97.36
11.0,76.97,118.3
11.03,77.05,110.91
21.78,87.75,328.76
26.33,89.47,338.3
11.77,79.77,257.92
14.48,78.83,222.01
20.47,85.93,324.6
20.22,73.05,341.86
22.52,88.78,332.0
25.68,85.35,307.03
26.84,79.53,214.57
11.15,75.82,289.06
17.31,78.87,215.73
26.92,79.21,204.99
30.4,74.9,44.56
29.66,77.45,137.9
22.97,86.05,307.97
22.15,70.58,301.94
29.39,76.99,109.36
24.04,79.1,286.71
30.73,76.79,155.76
28.43,75.51,96.92
27.72,96.23,544.42
26.57,94.7,530.62
24.05,86.9,313.4
25.88,87.13,315.82
28.16,75.46,114.28
25.68,93.23,437.77
21.43,71.22,315.08
25.3,93.72,686.12
28.68,73.12,32.27
24.88,78.97,264.39
11.83,76.07,178.43
27.22,93.12,591.81
28.78,96.27,1121.13
22.22,78.43,275.09
25.68,94.3,801.13
24.47,86.25,317.14
29.98,77.1,128.18
24.79,79.08,269.69
24.52,84.95,318.96
20.68,86.85,333.69
28.75,73.99,49.18
25.07,75.5,201.82
26.22,87.02,311.01
28.67,96.15,954.06
11.4,79.7,246.72
17.6,78.75,196.27
21.52,73.65,275.83
16.45,74.33,239.95
25.17,82.53,299.91
15.58,79.88,297.22
26.63,94.92,551.24
19.07,79.07,296.23
22.12,77.5,253.97
24.05,86.15,313.99
23.18,76.97,244.17
27.93,79.28,190.44
17.56,78.22,191.9
10.97,77.28,99.26
17.29,78.03,164.21
27.12,79.41,207.64
10.7,76.75,176.84
17.23,79.13,229.72
23.67,76.23,231.17
24.45,85.17,318.47
18.72,72.9,371.65
12.5,76.3,120.72
26.5,75.67,168.95
21.1,85.33,312.03
21.7,79.68,301.59
22.12,76.9,272.76
30.69,76.09,103.22
26.72,94.23,452.56
25.27,87.22,320.36
13.63,74.7,351.05
20.5,85.83,323.12
19.97,72.72,363.67
32.53,75.97,571.82
24.05,84.07,319.38
23.83,79.45,294.14
26.17,85.9,301.47
27.05,88.27,1042.5
25.67,78.47,233.72
24.2,72.2,228.37
30.32,78.03,313.68
24.92,84.18,315.4
16.38,73.35,386.96
23.78,86.43,311.94
22.6,75.3,214.13
12.13,78.03,84.42
32.27,76.38,472.52
26.67,77.83,187.53
26.02,89.98,345.48
26.15,89.92,344.56
22.18,88.2,327.44
27.48,95.02,471.6
21.83,87.78,328.33
20.72,70.92,367.28
22.83,74.27,231.5
17.72,83.3,317.36
24.27,87.25,316.32
23.83,73.67,215.89
21.18,81.28,305.44
23.48,87.32,313.53
22.37,69.08,338.53
26.12,92.87,405.26
29.9,78.55,439.8
32.86,74.9,229.03
17.91,78.01,200.59
24.48,71.73,230.52
30.27,80.52,358.05
32.58,74.93,172.77
26.91,79.6,215.42
26.1,90.78,357.28
24.93,92.77,400.55
24.03,84.07,320.0
20.42,72.85,352.16
26.31,79.3,223.64
30.22,74.17,17.94
34.17,74.9,496.58
32.65,74.9,185.05
24.73,79.21,273.3
26.63,92.8,398.96
34.33,74.38,497.5
24.02,85.55,322.1
28.45,72.5,33.59
25.33,88.32,334.36
30.75,76.15,108.87
27.9,96.3,547.73
28.02,96.23,698.71
25.75,75.38,188.08
18.25,77.1,189.59
25.74,79.16,238.85
23.13,78.68,286.71
27.98,79.42,193.97
26.17,85.0,295.07
29.73,78.47,211.35
23.43,73.75,244.81
20.03,75.03,224.25
33.13,75.98,526.31
29.86,78.64,495.57
26.92,71.37,116.68
30.66,76.83,146.3
24.6,92.83,402.05
33.27,74.55,374.64
17.65,77.47,174.02
30.58,76.82,141.16
25.98,87.13,314.8
24.42,85.98,316.43
28.93,76.17,89.15
33.53,74.22,481.38
29.93,78.74,368.73
24.37,92.17,379.49
26.7,77.9,187.73
29.91,78.7,406.37
25.6,75.61,195.58
21.48,85.82,308.94
33.58,74.09,450.25
26.47,92.47,392.04
19.3,75.67,229.52
22.98,71.47,279.25
22.57,70.42,311.1
23.57,76.78,239.59
32.74,74.81,176.83
24.15,78.23,265.01
28.39,75.63,104.15
28.35,75.64,105.63
16.22,73.83,347.65
27.13,94.77,463.02
26.17,93.57,532.32
17.94,78.68,195.05
20.17,84.85,306.48
27.1,79.95,218.92
26.35,89.9,344.73
27.27,93.07,571.17
32.56,74.92,171.29
24.53,84.92,319.39
12.17,76.6,108.96
15.68,74.97,193.37
34.27,74.47,498.73
34.45,74.41,509.13
34.39,73.79,446.31
21.07,83.2,304.63
18.02,78.9,202.91
34.37,73.98,454.7
23.75,86.17,315.54
16.05,73.92,337.7
23.42,91.67,365.39
29.08,74.68,47.78
28.87,75.45,73.55
25.32,86.02,314.13
25.55,84.15,304.22
23.98,86.02,313.94
22.97,74.12,235.56
24.76,79.05,269.93
23.13,84.85,311.02
20.0,76.3,227.35
27.5,95.75,504.66
16.73,76.92,189.11
21.7,74.03,219.11
26.28,79.29,223.81
25.93,90.77,358.61
27.79,79.31,190.27
29.28,78.12,151.76
25.97,85.12,300.1
28.19,74.69,97.1
26.13,89.47,339.66
10.03,76.3,252.54
11.22,76.15,249.12
13.07,80.26,282.1
17.58,78.54,179.82
13.25,80.33,285.93
13.13,80.25,280.89
8.18,77.63,186.88
26.75,82.08,253.08
25.93,80.83,259.7
30.92,74.67,47.11
26.3,87.27,313.51
22.37,88.78,333.07
16.28,78.68,172.39
30.72,76.77,151.68
26.35,79.23,221.24
25.77,75.63,190.72
24.18,92.02,374.38
11.18,75.85,285.53
17.84,78.12,197.94
15.42,75.63,159.23
27.33,88.62,885.28
16.53,80.8,299.04
24.75,84.95,318.76
25.4,83.55,303.09
22.77,83.97,307.65
27.13,81.97,244.23
21.47,80.2,307.18
19.27,84.88,329.29
26.75,83.37,265.9
17.35,76.85,190.78
34.05,74.4,528.64
24.65,77.32,240.7
28.42,77.0,126.04
26.1,91.58,372.73
26.23,78.25,211.95
15.42,75.62,158.64
27.23,79.28,201.29
33.89,74.29,553.62
24.05,76.45,232.34
25.58,76.3,205.2
15.73,75.98,142.79
16.27,76.83,166.95
23.52,74.0,241.18
20.1,84.57,309.98
9.92,77.53,75.48
34.16,74.57,501.18
30.65,78.85,725.08
27.85,78.47,168.71
14.55,78.73,220.09
29.9,78.68,516.5
26.01,79.38,234.49
32.79,74.77,178.93
29.97,78.53,426.64
26.7,94.12,447.27
17.61,78.47,181.22
27.72,79.65,204.32
22.77,87.8,316.84
23.28,84.55,314.55
20.88,73.72,276.5
28.3,75.71,109.38
22.9,88.16,320.49
20.13,78.32,292.92
29.85,77.05,123.6
25.22,87.17,320.0
23.95,87.1,313.8
22.7,70.65,300.22
27.22,73.47,118.99
30.72,75.98,100.88
32.98,74.41,179.67
28.36,74.9,91.17
27.7,79.57,200.59
20.67,79.13,303.8
22.25,88.5,330.82
33.26,74.14,379.0
27.32,84.32,267.84
23.27,87.97,318.15
31.52,76.02,159.96
27.98,72.25,60.05
24.9,72.83,192.32
20.72,70.99,369.02
34.08,74.57,495.83
14.97,78.25,199.8
34.1,74.58,493.77
21.92,85.37,303.13
22.02,69.92,313.9
22.26,88.97,336.76
22.86,88.04,318.92
16.75,77.3,184.05
25.73,75.54,190.62
19.92,77.05,238.17
25.93,85.33,302.1
18.17,73.3,372.31
21.33,69.9,362.78
16.72,75.43,169.27
17.21,78.9,221.61
14.83,76.63,115.64
25.96,75.59,184.86
12.84,80.06,263.04
25.6,85.2,307.89
18.98,84.02,294.44
20.37,83.37,300.44
17.63,80.93,289.42
22.55,72.22,296.17
20.28,84.7,301.91
14.98,74.92,236.07
15.17,77.38,142.69
16.28,76.62,164.52
24.67,84.77,318.92
30.64,76.81,143.28
30.1,79.97,661.69
28.07,94.57,648.92
24.67,75.6,208.23
18.02,79.57,247.5
27.38,80.17,227.23
17.82,73.1,386.87
13.0,76.15,110.31
28.08,96.5,899.22
23.98,85.37,325.48
29.17,75.73,76.88
14.28,74.45,359.74
22.77,77.77,276.53
10.58,92.55,313.92
17.45,78.47,184.04
9.5,76.63,197.42
15.8,76.98,181.86
15.02,75.95,160.36
30.03,77.89,24.88
28.18,75.39,110.0
34.28,74.2,537.91
13.0,75.7,157.74
33.39,74.23,459.79
27.65,79.95,215.84
15.43,75.8,153.03
26.86,79.06,201.09
31.03,78.73,610.66
22.57,75.82,219.71
34.53,75.13,328.4
24.6,87.08,317.44
17.55,75.9,203.96
22.62,86.13,307.79
23.67,84.95,313.4
26.39,79.48,221.67
26.53,75.87,172.29
13.95,76.62,101.06
29.93,78.52,427.3
26.0,92.87,405.5
14.03,75.68,177.94
13.54,77.3,46.52
27.57,93.85,885.19
12.82,77.03,60.93
13.23,77.12,43.32
16.47,76.53,176.25
34.3,74.25,524.02
28.78,95.88,837.25
24.53,84.02,318.78
30.17,76.54,106.57
27.68,76.45,157.56
25.05,84.63,315.77
27.6,78.05,164.53
26.27,91.37,366.64
23.83,73.03,224.29
24.77,93.9,529.16
22.72,75.8,219.92
17.69,78.87,201.39
27.16,79.27,202.83
29.84,78.75,625.12
24.68,74.13,190.29
27.68,74.07,106.79
11.57,75.6,302.11
11.77,79.38,221.06
27.24,79.44,205.22
34.65,76.02,105.95
30.1,77.75,170.47
20.13,85.15,317.09
24.28,85.17,318.26
27.33,82.7,246.31
23.2,79.95,307.2
19.08,82.03,241.57
26.82,75.8,168.38
26.9,70.92,115.7
21.05,75.57,277.92
25.35,72.62,190.17
26.53,88.72,332.11
32.67,74.83,198.62
22.82,86.18,311.02
22.82,86.18,310.5
22.88,84.13,319.7
25.08,73.08,187.83
18.2,75.2,207.7
24.53,76.17,224.56
25.45,78.58,242.82
21.92,84.08,313.75
26.3,73.02,152.34
30.55,79.57,632.9
33.19,74.15,296.2
14.53,76.35,116.08
22.23,85.65,302.87
25.48,84.42,307.62
25.05,84.08,313.37
26.2,73.94,160.84
28.88,74.07,45.28
26.72,89.88,360.32
21.73,75.15,244.34
22.47,70.07,320.53
26.1,92.73,399.82
26.38,79.19,219.16
24.92,86.22,316.56
17.61,78.88,201.37
25.55,82.32,287.62
23.63,75.13,212.52
28.05,94.18,478.14
30.64,76.05,99.53
30.8,75.82,93.92
29.28,77.42,130.57
33.98,74.27,542.77
28.06,75.28,114.87
25.1,78.8,257.93
33.78,74.07,383.58
26.21,73.07,157.56
33.34,74.21,395.26
32.6,74.87,168.6
24.43,85.52,320.14
23.1,74.15,234.57
22.17,86.63,312.35
30.03,77.83,167.37
17.74,78.47,183.66
28.33,75.68,107.0
16.33,74.78,200.98
16.43,74.68,206.34
25.38,74.3,181.92
29.8,78.65,416.84
22.52,85.63,305.88
26.13,87.62,319.74
20.78,85.72,321.64
20.82,75.97,261.03
21.85,87.92,329.63
10.95,78.08,106.06
24.32,92.0,374.65
16.95,82.23,322.49
27.07,88.47,589.26
18.33,84.13,329.7
11.73,78.97,179.19
32.4,78.25,488.96
20.27,81.48,272.22
22.67,76.73,254.3
11.83,75.33,309.78
26.43,80.37,244.82
8.08,77.5,188.2
31.33,75.33,92.31
10.92,79.83,238.9
10.07,78.8,179.21
29.7,77.03,122.21
14.78,74.13,372.82
33.0,74.9,441.46
21.62,85.58,302.27
