Latitude,Longitude,PTrain_RFL
25.65,87.13,49.7
22.95,88.55,55.31
32.94,74.39,23.83
24.07,79.08,2.9
24.18,72.03,2.12
20.45,72.88,-0.8
26.8,79.25,6.46
21.67,87.35,46.2
25.7,92.02,94.75
25.28,74.67,1.41
30.19,76.63,12.68
27.14,79.75,7.13
20.62,83.35,14.65
20.9,77.6,7.95
24.27,73.38,1.16
25.55,84.87,32.93
26.05,77.37,4.02
27.07,88.2,66.6
11.68,77.13,48.03
31.28,76.25,16.59
26.7,88.48,65.99
20.43,85.98,30.19
22.13,84.8,22.66
22.68,84.55,21.63
24.63,93.77,102.31
26.05,86.98,50.25
34.4,74.32,66.88
19.02,72.85,-0.15
27.25,92.4,142.36
14.6,76.68,28.08
17.89,78.46,13.17
34.01,74.64,71.02
26.82,94.83,130.68
27.87,96.37,160.02
32.65,74.82,19.87
24.1,92.6,88.68
34.48,74.24,75.18
17.33,78.41,14.33
23.35,92.83,90.42
27.35,73.1,5.51
30.19,76.51,12.61
22.36,88.12,54.49
34.53,76.2,130.61
34.38,74.99,99.94
24.02,87.15,44.22
34.28,74.44,65.69
33.6,75.02,69.31
28.26,75.37,7.19
22.25,85.8,32.75
26.52,71.81,5.21
26.77,92.6,105.9
25.5,83.85,26.57
13.62,76.42,33.55
22.25,88.67,57.22
9.17,92.83,101.07
22.55,85.82,31.46
24.92,75.58,1.44
22.03,82.7,12.33
20.78,86.73,38.0
19.97,79.3,11.16
26.2,92.52,100.82
25.78,84.73,33.08
13.0,80.18,23.54
13.07,80.25,22.87
25.25,91.73,103.72
22.1,79.0,4.6
13.25,75.75,42.45
14.23,76.43,30.47
24.88,74.63,1.11
24.65,83.1,17.43
28.25,74.92,7.04
11.0,76.97,46.56
11.03,77.05,46.59
21.78,87.75,49.3
26.33,89.47,72.94
11.77,79.77,31.59
14.48,78.83,20.48
20.47,85.93,29.74
20.22,73.05,-0.08
22.52,88.78,57.32
25.68,85.35,36.78
26.84,79.53,6.62
11.15,75.82,33.94
17.31,78.87,12.74
26.92,79.21,6.63
30.4,74.9,12.26
29.66,77.45,11.6
22.97,86.05,33.5
22.15,70.58,1.44
29.39,76.99,10.84
24.04,79.1,2.88
30.73,76.79,14.31
28.43,75.51,7.7
27.72,96.23,159.52
26.57,94.7,125.34
24.05,86.9,41.83
25.88,87.13,50.72
28.16,75.46,6.87
25.68,93.23,101.45
21.43,71.22,1.37
25.3,93.72,117.36
28.68,73.12,9.02
24.88,78.97,3.55
11.83,76.07,44.8
27.22,93.12,117.05
28.78,96.27,177.99
22.22,78.43,4.07
25.68,94.3,129.79
24.47,86.25,36.69
29.98,77.1,12.33
24.79,79.08,3.4
24.52,84.95,28.31
20.68,86.85,38.59
28.75,73.99,8.34
25.07,75.5,1.3
26.22,87.02,51.69
28.67,96.15,171.77
11.4,79.7,34.69
17.6,78.75,13.06
21.52,73.65,1.21
16.45,74.33,16.51
25.17,82.53,18.37
15.58,79.88,11.86
26.63,94.92,128.61
19.07,79.07,12.39
22.12,77.5,3.65
24.05,86.15,35.09
