Latitude,Longitude,PTrain_RFL
25.65,87.13,179.49
22.95,88.55,239.96
32.94,74.39,81.94
24.07,79.08,118.47
24.18,72.03,85.64
20.45,72.88,214.03
26.8,79.25,56.88
21.67,87.35,224.54
25.7,92.02,414.14
25.28,74.67,61.91
30.19,76.63,37.06
27.14,79.75,64.38
20.62,83.35,150.93
20.9,77.6,142.53
24.27,73.38,87.9
25.55,84.87,131.92
26.05,77.37,51.03
27.07,88.2,274.25
11.68,77.13,78.19
31.28,76.25,86.92
26.7,88.48,206.9
20.43,85.98,194.4
22.13,84.8,170.75
22.68,84.55,179.19
24.63,93.77,469.65
26.05,86.98,173.18
34.4,74.32,194.27
19.02,72.85,253.96
27.25,92.4,559.01
14.6,76.68,107.86
17.89,78.46,126.63
34.01,74.64,192.04
26.82,94.83,417.74
27.87,96.37,488.19
32.65,74.82,86.82
24.1,92.6,382.9
34.48,74.24,204.9
17.33,78.41,121.32
23.35,92.83,432.01
27.35,73.1,10.65
30.19,76.51,34.47
22.36,88.12,238.17
34.53,76.2,106.92
34.38,74.99,179.18
24.02,87.15,208.82
34.28,74.44,194.51
33.6,75.02,184.61
28.26,75.37,7.78
22.25,85.8,211.2
26.52,71.81,24.89
26.77,92.6,340.75
25.5,83.85,114.9
13.62,76.42,105.36
22.25,88.67,251.48
9.17,92.83,255.04
22.55,85.82,193.55
24.92,75.58,69.59
22.03,82.7,147.14
20.78,86.73,214.22
19.97,79.3,144.31
26.2,92.52,340.43
25.78,84.73,126.25
13.0,80.18,189.22
13.07,80.25,194.41
25.25,91.73,448.0
22.1,79.0,162.66
13.25,75.75,142.67
14.23,76.43,107.99
24.88,74.63,69.75
24.65,83.1,137.31
28.25,74.92,5.04
11.0,76.97,115.91
11.03,77.05,108.32
21.78,87.75,233.48
26.33,89.47,236.9
11.77,79.77,195.89
14.48,78.83,127.46
20.47,85.93,192.09
20.22,73.05,210.89
22.52,88.78,250.34
25.68,85.35,139.03
26.84,79.53,61.32
11.15,75.82,266.42
17.31,78.87,124.67
26.92,79.21,55.32
30.4,74.9,9.62
29.66,77.45,43.22
22.97,86.05,198.11
22.15,70.58,187.81
29.39,76.99,25.59
24.04,79.1,120.21
30.73,76.79,62.17
28.43,75.51,5.52
27.72,96.23,430.48
26.57,94.7,439.28
24.05,86.9,208.33
25.88,87.13,177.38
28.16,75.46,12.97
25.68,93.23,398.66
21.43,71.22,200.79
25.3,93.72,504.16
28.68,73.12,-24.04
24.88,78.97,91.91
11.83,76.07,174.39
27.22,93.12,427.32
28.78,96.27,598.68
22.22,78.43,150.71
25.68,94.3,533.83
24.47,86.25,202.34
29.98,77.1,42.41
24.79,79.08,97.07
24.52,84.95,155.67
20.68,86.85,217.51
28.75,73.99,-13.85
25.07,75.5,71.32
26.22,87.02,170.43
28.67,96.15,549.95
11.4,79.7,191.34
17.6,78.75,122.79
21.52,73.65,162.71
16.45,74.33,209.34
25.17,82.53,102.39
15.58,79.88,177.54
26.63,94.92,448.27
19.07,79.07,138.8
22.12,77.5,132.33
24.05,86.15,200.58
23.18,76.97,111.78
27.93,79.28,56.25
17.56,78.22,125.1
10.97,77.28,93.43
17.29,78.03,120.02
27.12,79.41,59.04
10.7,76.75,160.93
17.23,79.13,126.8
23.67,76.23,97.33
24.45,85.17,163.77
18.72,72.9,261.08
12.5,76.3,124.76
26.5,75.67,35.2
21.1,85.33,181.59
21.7,79.68,148.45
22.12,76.9,120.98
30.69,76.09,40.15
26.72,94.23,385.35
25.27,87.22,186.28
13.63,74.7,290.4
20.5,85.83,189.75
19.97,72.72,231.35
32.53,75.97,217.18
24.05,84.07,150.34
23.83,79.45,122.09
26.17,85.9,144.19
27.05,88.27,418.71
25.67,78.47,69.13
24.2,72.2,85.33
30.32,78.03,116.07
24.92,84.18,133.07
16.38,73.35,297.08
23.78,86.43,203.61
22.6,75.3,115.61
12.13,78.03,69.75
32.27,76.38,174.99
26.67,77.83,41.09
26.02,89.98,257.65
26.15,89.92,254.69
22.18,88.2,243.35
27.48,95.02,388.63
21.83,87.78,233.25
20.72,70.92,242.27
22.83,74.27,117.8
17.72,83.3,194.25
24.27,87.25,211.17
23.83,73.67,92.86
21.18,81.28,143.49
23.48,87.32,210.68
22.37,69.08,213.92
26.12,92.87,352.32
29.9,78.55,159.48
32.86,74.9,103.32
17.91,78.01,131.56
24.48,71.73,76.17
30.27,80.52,175.75
32.58,74.93,86.83
26.91,79.6,62.57
26.1,90.78,282.22
24.93,92.77,361.88
24.03,84.07,150.0
20.42,72.85,215.48
26.31,79.3,62.77
30.22,74.17,-4.85
34.17,74.9,181.38
32.65,74.9,90.54
24.73,79.21,99.39
26.63,92.8,337.72
34.33,74.38,194.57
24.02,85.55,201.83
28.45,72.5,-27.33
25.33,88.32,216.59
30.75,76.15,43.44
27.9,96.3,430.84
28.02,96.23,483.74
25.75,75.38,51.42
18.25,77.1,144.97
25.74,79.16,70.01
23.13,78.68,122.81
27.98,79.42,59.25
26.17,85.0,125.31
29.73,78.47,77.57
23.43,73.75,97.66
20.03,75.03,149.31
33.13,75.98,206.49
29.86,78.64,179.69
26.92,71.37,12.21
30.66,76.83,58.19
24.6,92.83,368.09
33.27,74.55,146.34
17.65,77.47,132.96
30.58,76.82,55.08
25.98,87.13,175.89
24.42,85.98,194.29
28.93,76.17,7.68
33.53,74.22,183.03
29.93,78.74,135.31
24.37,92.17,347.0
26.7,77.9,41.47
29.91,78.7,148.23
25.6,75.61,51.32
21.48,85.82,221.95
33.58,74.09,178.78
26.47,92.47,332.26
19.3,75.67,147.79
22.98,71.47,135.21
22.57,70.42,177.66
23.57,76.78,103.71
32.74,74.81,89.6
24.15,78.23,104.75
28.39,75.63,9.11
28.35,75.64,9.49
16.22,73.83,263.01
27.13,94.77,386.61
26.17,93.57,441.71
17.94,78.68,124.84
20.17,84.85,184.74
27.1,79.95,67.46
26.35,89.9,254.02
27.27,93.07,418.61
32.56,74.92,86.09
24.53,84.92,153.28
12.17,76.6,113.32
15.68,74.97,177.7
34.27,74.47,194.27
34.45,74.41,199.93
34.39,73.79,180.79
21.07,83.2,149.95
18.02,78.9,125.23
34.37,73.98,224.99
23.75,86.17,193.68
16.05,73.92,263.33
23.42,91.67,340.58
29.08,74.68,-11.05
28.87,75.45,-1.48
25.32,86.02,158.65
25.55,84.15,119.31
23.98,86.02,192.98
22.97,74.12,114.25
24.76,79.05,97.69
23.13,84.85,192.29
20.0,76.3,141.76
27.5,95.75,410.48
16.73,76.92,135.47
21.7,74.03,144.89
26.28,79.29,62.6
25.93,90.77,287.68
27.79,79.31,55.06
29.28,78.12,47.44
25.97,85.12,129.93
28.19,74.69,4.96
26.13,89.47,239.54
10.03,76.3,249.7
11.22,76.15,223.56
13.07,80.26,195.21
17.58,78.54,120.95
13.25,80.33,195.82
13.13,80.25,192.65
8.18,77.63,215.44
26.75,82.08,82.1
25.93,80.83,82.75
30.92,74.67,19.72
26.3,87.27,176.8
22.37,88.78,252.73
16.28,78.68,119.17
30.72,76.77,60.57
26.35,79.23,61.39
25.77,75.63,50.51
24.18,92.02,343.23
11.18,75.85,263.03
17.84,78.12,129.25
15.42,75.63,146.57
27.33,88.62,387.35
16.53,80.8,161.48
24.75,84.95,150.2
25.4,83.55,112.3
22.77,83.97,175.9
27.13,81.97,80.5
21.47,80.2,144.78
19.27,84.88,195.27
26.75,83.37,93.1
17.35,76.85,140.66
34.05,74.4,230.24
24.65,77.32,93.12
28.42,77.0,21.22
26.1,91.58,310.58
26.23,78.25,55.57
15.42,75.62,146.62
27.23,79.28,55.88
33.89,74.29,222.67
24.05,76.45,91.47
25.58,76.3,51.92
15.73,75.98,130.58
16.27,76.83,127.74
23.52,74.0,93.45
20.1,84.57,173.45
9.92,77.53,81.77
34.16,74.57,194.48
30.65,78.85,275.03
27.85,78.47,40.98
14.55,78.73,125.68
29.9,78.68,187.61
26.01,79.38,68.39
32.79,74.77,90.6
