Latitude,Longitude,PTrain_RFL
25.65,87.13,103.56
22.95,88.55,114.1
32.94,74.39,28.36
24.07,79.08,6.36
24.18,72.03,-0.13
20.45,72.88,6.62
26.8,79.25,12.47
21.67,87.35,102.12
25.7,92.02,151.79
25.28,74.67,7.41
30.19,76.63,22.87
27.14,79.75,13.69
20.62,83.35,33.84
20.9,77.6,7.41
24.27,73.38,3.41
25.55,84.87,70.13
26.05,77.37,11.33
27.07,88.2,110.4
11.68,77.13,114.61
31.28,76.25,28.92
26.7,88.48,129.87
20.43,85.98,74.34
22.13,84.8,48.82
22.68,84.55,44.43
24.63,93.77,168.4
26.05,86.98,104.35
34.4,74.32,77.26
19.02,72.85,16.15
27.25,92.4,139.8
14.6,76.68,65.79
17.89,78.46,27.26
34.01,74.64,79.16
26.82,94.83,219.16
27.87,96.37,230.55
32.65,74.82,23.66
24.1,92.6,173.53
34.48,74.24,86.37
17.33,78.41,32.39
23.35,92.83,165.42
27.35,73.1,14.16
30.19,76.51,22.56
22.36,88.12,114.93
34.53,76.2,115.9
34.38,74.99,102.3
24.02,87.15,90.86
34.28,74.44,76.62
33.6,75.02,76.0
28.26,75.37,17.98
22.25,85.8,64.7
26.52,71.81,12.57
26.77,92.6,194.99
25.5,83.85,55.91
13.62,76.42,82.77
22.25,88.67,121.49
9.17,92.83,248.2
22.55,85.82,65.74
24.92,75.58,6.37
22.03,82.7,25.71
20.78,86.73,90.89
19.97,79.3,13.51
26.2,92.52,190.88
25.78,84.73,70.11
13.0,80.18,99.69
13.07,80.25,99.84
25.25,91.73,136.81
22.1,79.0,9.36
13.25,75.75,100.28
14.23,76.43,74.39
24.88,74.63,5.48
24.65,83.1,38.15
28.25,74.92,17.63
11.0,76.97,119.99
11.03,77.05,118.51
21.78,87.75,107.96
26.33,89.47,144.85
11.77,79.77,118.37
14.48,78.83,62.66
20.47,85.93,72.87
20.22,73.05,6.71
22.52,88.78,120.07
25.68,85.35,78.21
26.84,79.53,12.49
11.15,75.82,124.74
17.31,78.87,31.02
26.92,79.21,12.95
30.4,74.9,18.19
29.66,77.45,22.93
22.97,86.05,69.15
22.15,70.58,1.84
29.39,76.99,21.16
24.04,79.1,6.45
30.73,76.79,25.73
28.43,75.51,18.19
27.72,96.23,249.25
26.57,94.7,206.49
24.05,86.9,85.86
25.88,87.13,105.38
28.16,75.46,18.13
25.68,93.23,186.39
21.43,71.22,2.79
25.3,93.72,157.35
28.68,73.12,16.06
24.88,78.97,6.98
11.83,76.07,119.54
27.22,93.12,178.07
28.78,96.27,202.42
22.22,78.43,9.35
25.68,94.3,160.06
24.47,86.25,75.06
29.98,77.1,23.34
24.79,79.08,6.86
24.52,84.95,61.1
20.68,86.85,93.2
28.75,73.99,15.82
25.07,75.5,7.34
26.22,87.02,106.84
28.67,96.15,215.17
11.4,79.7,123.18
17.6,78.75,29.74
21.52,73.65,2.12
16.45,74.33,48.02
25.17,82.53,36.69
15.58,79.88,60.49
26.63,94.92,207.76
19.07,79.07,16.83
22.12,77.5,5.68
24.05,86.15,71.9
23.18,76.97,3.77
27.93,79.28,17.15
17.56,78.22,30.03
10.97,77.28,116.56
17.29,78.03,34.42
27.12,79.41,13.69
10.7,76.75,123.92
17.23,79.13,31.74
23.67,76.23,3.03
24.45,85.17,62.78
18.72,72.9,19.72
12.5,76.3,103.79
26.5,75.67,13.17
21.1,85.33,56.9
21.7,79.68,9.57
22.12,76.9,2.27
30.69,76.09,22.8
26.72,94.23,218.03
25.27,87.22,101.67
13.63,74.7,84.02
20.5,85.83,70.59
19.97,72.72,9.34
32.53,75.97,78.93
24.05,84.07,46.44
23.83,79.45,5.41
26.17,85.9,90.51
27.05,88.27,95.29
25.67,78.47,9.45
24.2,72.2,0.17
30.32,78.03,33.69
24.92,84.18,55.12
16.38,73.35,45.19
23.78,86.43,76.33
22.6,75.3,2.12
12.13,78.03,96.99
32.27,76.38,53.44
26.67,77.83,13.09
26.02,89.98,150.23
26.15,89.92,150.26
22.18,88.2,117.61
27.48,95.02,237.98
21.83,87.78,108.5
20.72,70.92,6.65
22.83,74.27,0.1
17.72,83.3,67.46
24.27,87.25,92.87
23.83,73.67,0.49
21.18,81.28,16.64
23.48,87.32,94.04
22.37,69.08,4.1
26.12,92.87,195.29
29.9,78.55,42.37
32.86,74.9,26.59
17.91,78.01,27.55
24.48,71.73,0.86
30.27,80.52,71.88
32.58,74.93,24.08
26.91,79.6,12.75
26.1,90.78,163.76
24.93,92.77,184.73
24.03,84.07,46.36
20.42,72.85,6.72
26.31,79.3,10.64
30.22,74.17,15.43
34.17,74.9,72.98
32.65,74.9,24.49
24.73,79.21,6.62
26.63,92.8,200.53
34.33,74.38,76.97
24.02,85.55,60.12
28.45,72.5,16.4
25.33,88.32,116.76
30.75,76.15,23.18
27.9,96.3,252.05
28.02,96.23,230.94
25.75,75.38,9.95
18.25,77.1,28.65
25.74,79.16,8.87
23.13,78.68,4.63
27.98,79.42,17.42
26.17,85.0,77.53
29.73,78.47,25.87
23.43,73.75,-1.42
20.03,75.03,10.02
33.13,75.98,88.86
29.86,78.64,47.57
26.92,71.37,15.41
30.66,76.83,25.29
24.6,92.83,182.91
33.27,74.55,45.72
17.65,77.47,32.53
30.58,76.82,24.93
25.98,87.13,106.32
24.42,85.98,71.24
28.93,76.17,19.2
33.53,74.22,65.0
29.93,78.74,35.86
24.37,92.17,173.92
26.7,77.9,13.14
29.91,78.7,39.08
25.6,75.61,9.24
21.48,85.82,67.89
33.58,74.09,65.45
26.47,92.47,193.41
19.3,75.67,14.08
22.98,71.47,-2.05
22.57,70.42,1.11
23.57,76.78,3.86
32.74,74.81,23.98
24.15,78.23,6.08
28.39,75.63,18.33
28.35,75.64,18.27
16.22,73.83,44.89
27.13,94.77,231.49
26.17,93.57,178.78
17.94,78.68,27.36
20.17,84.85,59.5
