Latitude,Longitude,PTrain_RFL
22.95,88.55,274.33
32.94,74.39,38.02
24.07,79.08,150.52
24.18,72.03,66.78
20.45,72.88,109.48
26.8,79.25,138.44
21.67,87.35,261.32
25.7,92.02,323.75
25.28,74.67,73.04
30.19,76.63,69.62
27.14,79.75,154.09
20.62,83.35,199.71
20.9,77.6,133.37
24.27,73.38,82.13
25.55,84.87,199.28
26.05,77.37,94.86
27.07,88.2,258.53
11.68,77.13,137.06
31.28,76.25,71.09
26.7,88.48,242.43
20.43,85.98,240.25
22.13,84.8,217.78
22.68,84.55,213.81
24.63,93.77,346.18
26.05,86.98,226.68
34.4,74.32,43.4
19.02,72.85,111.41
27.25,92.4,401.17
14.6,76.68,127.75
17.89,78.46,142.58
34.01,74.64,62.27
26.82,94.83,337.48
27.87,96.37,371.7
32.65,74.82,57.63
24.1,92.6,324.48
34.48,74.24,45.31
17.33,78.41,141.61
23.35,92.83,331.56
27.35,73.1,21.81
30.19,76.51,66.77
22.36,88.12,271.62
34.53,76.2,58.41
34.38,74.99,64.33
24.02,87.15,249.03
34.28,74.44,46.71
33.6,75.02,77.22
28.26,75.37,44.17
22.25,85.8,235.54
26.52,71.81,23.82
26.77,92.6,303.25
25.5,83.85,186.58
13.62,76.42,126.62
22.25,88.67,278.01
9.17,92.83,311.34
22.55,85.82,234.18
24.92,75.58,83.75
22.03,82.7,187.74
20.78,86.73,252.15
19.97,79.3,156.02
26.2,92.52,306.98
25.78,84.73,195.61
13.0,80.18,184.57
13.07,80.25,185.85
25.25,91.73,341.6
22.1,79.0,174.64
13.25,75.75,125.1
14.23,76.43,125.62
24.88,74.63,78.52
24.65,83.1,185.33
28.25,74.92,36.96
11.0,76.97,145.26
11.03,77.05,145.58
21.78,87.75,266.32
26.33,89.47,261.46
11.77,79.77,185.63
14.48,78.83,157.32
20.47,85.93,239.44
20.22,73.05,107.43
22.52,88.78,278.62
25.68,85.35,205.16
26.84,79.53,147.34
11.15,75.82,159.32
17.31,78.87,146.89
26.92,79.21,136.87
30.4,74.9,33.81
29.66,77.45,87.74
22.97,86.05,236.47
22.15,70.58,78.72
29.39,76.99,74.97
