Latitude,Longitude,PTrain_RFL
25.65,87.13,18.25
22.95,88.55,30.87
32.94,74.39,30.75
24.07,79.08,6.44
24.18,72.03,3.2
20.45,72.88,-0.04
26.8,79.25,2.85
21.67,87.35,25.35
25.7,92.02,54.67
25.28,74.67,0.55
30.19,76.63,12.39
27.14,79.75,3.57
20.62,83.35,11.94
20.9,77.6,7.66
24.27,73.38,-0.23
25.55,84.87,10.1
26.05,77.37,1.69
27.07,88.2,36.11
11.68,77.13,9.79
31.28,76.25,25.9
26.7,88.48,21.08
20.43,85.98,17.68
22.13,84.8,15.64
22.68,84.55,15.42
24.63,93.77,58.85
26.05,86.98,16.71
34.4,74.32,96.64
19.02,72.85,-0.72
27.25,92.4,106.02
14.6,76.68,7.14
17.89,78.46,7.16
34.01,74.64,105.54
26.82,94.83,53.11
27.87,96.37,86.2
32.65,74.82,28.09
24.1,92.6,44.63
34.48,74.24,106.29
17.33,78.41,6.52
23.35,92.83,50.18
27.35,73.1,1.68
30.19,76.51,12.21
22.36,88.12,29.94
34.53,76.2,194.93
34.38,74.99,144.45
24.02,87.15,24.33
34.28,74.44,95.3
33.6,75.02,105.99
28.26,75.37,3.43
22.25,85.8,21.14
26.52,71.81,1.4
26.77,92.6,39.24
25.5,83.85,7.35
13.62,76.42,6.64
22.25,88.67,30.86
9.17,92.83,27.21
22.55,85.82,20.11
24.92,75.58,1.45
22.03,82.7,9.91
20.78,86.73,20.61
19.97,79.3,8.83
26.2,92.52,38.61
25.78,84.73,9.38
13.0,80.18,10.5
13.07,80.25,10.11
25.25,91.73,70.49
22.1,79.0,10.71
13.25,75.75,6.89
14.23,76.43,5.76
24.88,74.63,0.83
24.65,83.1,8.88
28.25,74.92,3.28
11.0,76.97,16.62
11.03,77.05,16.64
21.78,87.75,26.77
26.33,89.47,25.69
11.77,79.77,15.21
14.48,78.83,9.62
20.47,85.93,17.66
20.22,73.05,0.57
22.52,88.78,31.41
25.68,85.35,11.47
26.84,79.53,3.05
11.15,75.82,17.91
17.31,78.87,6.86
26.92,79.21,2.94
30.4,74.9,11.76
29.66,77.45,10.69
22.97,86.05,20.89
22.15,70.58,0.22
29.39,76.99,8.15
24.04,79.1,6.65
30.73,76.79,17.54
28.43,75.51,3.82
27.72,96.23,64.04
26.57,94.7,57.15
24.05,86.9,23.24
25.88,87.13,17.59
28.16,75.46,3.47
25.68,93.23,45.34
21.43,71.22,0.39
25.3,93.72,78.41
28.68,73.12,3.94
24.88,78.97,4.1
11.83,76.07,11.23
27.22,93.12,63.15
28.78,96.27,125.12
22.22,78.43,9.3
25.68,94.3,90.47
24.47,86.25,19.97
29.98,77.1,11.9
24.79,79.08,4.6
24.52,84.95,12.84
20.68,86.85,20.55
28.75,73.99,4.31
25.07,75.5,1.04
26.22,87.02,16.37
28.67,96.15,114.33
11.4,79.7,17.28
17.6,78.75,6.64
21.52,73.65,1.51
16.45,74.33,2.1
25.17,82.53,5.13
15.58,79.88,5.63
26.63,94.92,60.25
19.07,79.07,9.34
22.12,77.5,6.28
24.05,86.15,20.06
23.18,76.97,4.2
27.93,79.28,4.99
17.56,78.22,7.06
10.97,77.28,18.05
17.29,78.03,6.47
27.12,79.41,3.57
10.7,76.75,21.32
17.23,79.13,6.95
23.67,76.23,2.96
24.45,85.17,13.97
18.72,72.9,-0.92
12.5,76.3,8.55
26.5,75.67,0.79
21.1,85.33,16.71
21.7,79.68,8.18
22.12,76.9,5.56
30.69,76.09,14.89
26.72,94.23,45.62
25.27,87.22,19.94
13.63,74.7,6.76
20.5,85.83,17.47
19.97,72.72,-0.49
32.53,75.97,83.76
24.05,84.07,11.03
23.83,79.45,6.41
