Latitude,Longitude,PTrain_RFL
26.75,82.08,5.36
25.93,80.83,3.45
30.92,74.67,14.65
26.3,87.27,17.15
22.37,88.78,31.29
16.28,78.68,5.36
30.72,76.77,17.22
26.35,79.23,2.58
25.77,75.63,0.9
24.18,92.02,42.77
11.18,75.85,17.63
17.84,78.12,7.45
15.42,75.63,4.41
27.33,88.62,65.64
16.53,80.8,6.39
24.75,84.95,12.16
25.4,83.55,6.83
22.77,83.97,14.5
27.13,81.97,5.95
21.47,80.2,8.01
19.27,84.88,12.68
26.75,83.37,6.67
17.35,76.85,8.68
34.05,74.4,114.68
24.65,77.32,3.45
28.42,77.0,4.77
26.1,91.58,35.41
26.23,78.25,2.4
15.42,75.62,4.36
27.23,79.28,3.57
33.89,74.29,98.57
24.05,76.45,2.81
25.58,76.3,1.28
15.73,75.98,5.08
16.27,76.83,8.38
23.52,74.0,3.38
20.1,84.57,14.12
9.92,77.53,22.93
34.16,74.57,93.98
30.65,78.85,53.11
27.85,78.47,4.21
14.55,78.73,9.68
29.9,78.68,41.15
26.01,79.38,2.66
32.79,74.77,28.99
29.97,78.53,34.48
26.7,94.12,44.87
17.61,78.47,6.57
27.72,79.65,4.69
22.77,87.8,29.18
23.28,84.55,16.79
20.88,73.72,1.19
28.3,75.71,3.79
22.9,88.16,30.23
20.13,78.32,8.94
29.85,77.05,11.11
25.22,87.17,19.98
23.95,87.1,24.3
22.7,70.65,0.6
27.22,73.47,1.26
30.72,75.98,15.06
32.98,74.41,34.29
28.36,74.9,3.51
27.7,79.57,4.47
20.67,79.13,8.32
22.25,88.5,30.29
33.26,74.14,59.93
27.32,84.32,9.73
23.27,87.97,29.3
31.52,76.02,22.26
27.98,72.25,2.75
24.9,72.83,1.28
20.72,70.99,-1.18
34.08,74.57,98.91
14.97,78.25,9.12
34.1,74.58,97.8
21.92,85.37,20.22
22.02,69.92,-0.63
22.26,88.97,31.64
22.86,88.04,29.94
16.75,77.3,8.53
25.73,75.54,0.87
19.92,77.05,7.73
25.93,85.33,10.95
18.17,73.3,0.29
21.33,69.9,-1.54
16.72,75.43,4.42
17.21,78.9,6.94
14.83,76.63,6.52
25.96,75.59,0.8
12.84,80.06,11.2
25.6,85.2,11.09
18.98,84.02,11.37
20.37,83.37,11.94
17.63,80.93,8.53
22.55,72.22,1.79
20.28,84.7,14.56
14.98,74.92,3.75
15.17,77.38,8.68
16.28,76.62,7.82
24.67,84.77,11.72
30.64,76.81,16.18
30.1,79.97,62.32
28.07,94.57,74.8
