Latitude,Longitude,PTrain_RFL
22.95,88.55,333.89
32.94,74.39,57.81
24.07,79.08,316.26
24.18,72.03,151.19
20.45,72.88,244.83
26.8,79.25,225.96
21.67,87.35,344.66
25.7,92.02,431.69
25.28,74.67,154.56
30.19,76.63,88.37
27.14,79.75,239.56
20.62,83.35,286.05
20.9,77.6,282.58
24.27,73.38,152.92
25.55,84.87,252.64
26.05,77.37,187.71
27.07,88.2,398.47
11.68,77.13,57.96
31.28,76.25,168.78
26.7,88.48,259.41
20.43,85.98,331.77
22.13,84.8,294.81
22.68,84.55,289.48
24.63,93.77,452.5
26.05,86.98,250.96
34.4,74.32,336.0
19.02,72.85,264.27
27.25,92.4,907.93
14.6,76.68,112.73
17.89,78.46,197.58
34.01,74.64,368.57
26.82,94.83,395.42
27.87,96.37,563.61
32.65,74.82,92.65
24.1,92.6,374.82
34.48,74.24,352.29
17.33,78.41,179.79
23.35,92.83,418.11
27.35,73.1,79.53
30.19,76.51,83.05
22.36,88.12,344.08
34.53,76.2,144.12
34.38,74.99,305.81
24.02,87.15,295.54
34.28,74.44,342.13
33.6,75.02,384.0
28.26,75.37,87.72
22.25,85.8,303.11
26.52,71.81,83.89
26.77,92.6,315.3
25.5,83.85,255.77
13.62,76.42,85.53
22.25,88.67,352.94
9.17,92.83,267.03
22.55,85.82,300.13
24.92,75.58,173.1
22.03,82.7,293.35
20.78,86.73,345.83
19.97,79.3,299.29
26.2,92.52,318.56
25.78,84.73,247.42
13.0,80.18,253.34
13.07,80.25,259.32
25.25,91.73,539.28
22.1,79.0,363.46
13.25,75.75,96.67
14.23,76.43,91.08
24.88,74.63,158.68
24.65,83.1,292.68
28.25,74.92,80.29
11.0,76.97,106.47
11.03,77.05,102.96
21.78,87.75,348.49
26.33,89.47,269.03
11.77,79.77,237.45
14.48,78.83,203.95
20.47,85.93,330.33
20.22,73.05,240.77
22.52,88.78,347.15
25.68,85.35,249.29
26.84,79.53,236.81
11.15,75.82,234.7
17.31,78.87,201.5
26.92,79.21,221.11
30.4,74.9,21.51
29.66,77.45,123.36
22.97,86.05,298.55
22.15,70.58,188.91
29.39,76.99,96.34
24.04,79.1,319.1
30.73,76.79,121.89
28.43,75.51,81.35
27.72,96.23,424.15
26.57,94.7,426.63
24.05,86.9,293.69
25.88,87.13,255.1
28.16,75.46,99.6
25.68,93.23,367.87
21.43,71.22,203.89
25.3,93.72,565.47
28.68,73.12,6.76
24.88,78.97,281.26
11.83,76.07,122.69
27.22,93.12,473.65
28.78,96.27,874.43
22.22,78.43,315.29
25.68,94.3,642.19
24.47,86.25,289.65
29.98,77.1,108.56
24.79,79.08,291.52
24.52,84.95,276.36
20.68,86.85,349.27
28.75,73.99,30.36
25.07,75.5,175.12
26.22,87.02,246.29
28.67,96.15,753.87
11.4,79.7,229.52
17.6,78.75,189.9
21.52,73.65,201.64
16.45,74.33,168.48
25.17,82.53,271.87
15.58,79.88,268.87
26.63,94.92,443.47
19.07,79.07,278.73
22.12,77.5,259.22
24.05,86.15,291.25
23.18,76.97,230.09
27.93,79.28,203.92
17.56,78.22,189.32
10.97,77.28,101.34
17.29,78.03,167.47
27.12,79.41,227.42
10.7,76.75,158.6
17.23,79.13,211.87
23.67,76.23,202.64
