Station name,Latitude,Longitude,Absolute elevation,Distance from Coast
DEHRADUN,30.32,78.03,682.0,1030.66
DEHRI,24.92,84.18,107.0,479.75
DEVGAD (DEVGARH),16.38,73.35,36.0,0.0
DHANBAD,23.78,86.43,257.0,237.65
DHAR,22.6,75.3,583.0,248.25
DHARAMAPURI,12.13,78.03,396.0,194.89
DHARMSALA,32.27,76.38,1211.0,1163.36
DHOLPUR,26.67,77.83,176.0,698.37
DHUBRI,26.02,89.98,35.0,368.99
DHUBRI (RUPSI) (A),26.15,89.92,45.0,384.38
DIAMOND HARBOUR,22.18,88.2,7.0,0.85
DIBRUGARHL (MOHANBARI) (A),27.48,95.02,111.0,636.09
DIGHA,21.83,87.78,6.0,9.9
DIU,20.72,70.92,15.0,1.32
DOHAD,22.83,74.27,333.0,153.0
DOLPHINE NOSE/CDR VISAKHAPATNAM,17.72,83.3,152.3,2.14
DUMKA,24.27,87.25,149.0,240.89
DUNGARPUR,23.83,73.67,291.0,194.57
DURG,21.18,81.28,293.0,424.19
DURGAPUR,23.48,87.32,69.0,157.14
DWARKA,22.37,69.08,11.0,1.72
FAIZABAD,26.75,82.08,102.0,771.17
FATEHPUR,25.93,80.83,114.0,801.87
FEROZEPUR,30.92,74.67,200.0,976.98
FORBESGANJ,26.3,87.27,61.0,459.81
GADAG,15.42,75.63,650.0,164.8
GANGTOK,27.33,88.62,1812.0,548.93
GANNAVARAM,16.53,80.8,24.0,56.41
GAYA,24.75,84.95,116.0,419.17
GAZIPUR,25.4,83.55,66.4,561.39
GINABAHAR,22.77,83.97,579.0,342.24
GONDA,27.13,81.97,110.0,810.02
GONDIA,21.47,80.2,313.0,519.75
GOPALPUR,19.27,84.88,17.0,2.85
GORAKHPUR,26.75,83.37,78.0,691.94
GULBARGA,17.35,76.85,458.0,377.04
GULMARG,34.05,74.4,2655.0,1210.24
GUNA,24.65,77.32,478.0,522.1
GURGAON,28.42,77.0,229.0,798.23
GUWAHATI (A) (BHORJAR),26.1,91.58,54.0,370.76
GWALIOR,26.23,78.25,207.0,698.09
HANAMKONDA,18.02,79.57,269.0,260.84
HARDOI,27.38,80.17,142.0,927.21
HARNAI,17.82,73.1,20.0,0.66
HASSAN,13.0,76.15,960.0,136.78
HAYULIANG,28.08,96.5,1373.0,778.71
HAZARIBAGH,23.98,85.37,611.0,324.59
HISSAR,29.17,75.73,221.0,817.4
HONAVAR,14.28,74.45,26.0,1.0
HOSHANGABAD,22.77,77.77,302.0,501.83
HUT BAY,10.58,92.55,7.0,0.0
HYDERABAD (A),17.45,78.47,545.0,275.36
IDAR,23.83,73.03,219.0,173.07
IMPHAL/ TULIHAL (A),24.77,93.9,781.0,334.39
INDORE,22.72,75.8,567.0,300.95
JABALPUR,23.2,79.95,393.0,673.45
JAGDALPUR,19.08,82.03,553.0,197.79
JAIPUR (SANGANER),26.82,75.8,390.0,584.42
JAISALMER,26.9,70.92,242.0,397.09
JALGAON,21.05,75.57,201.0,275.81
JALORE,25.35,72.62,168.0,335.82
JALPAIGURI,26.53,88.72,83.0,464.23
JAMMU,32.67,74.83,367.0,1170.83
JAMSHEDPUR,22.82,86.18,129.0,170.37
JAMSHEDPUR (A),22.82,86.18,142.0,170.37
JASHPURNAGAR,22.88,84.13,779.0,334.57
JAWAI BANDH/ERINPURA,25.08,73.08,295.0,312.05
JEUR,18.2,75.2,521.0,220.66
JHALAWAR,24.53,76.17,321.0,417.14
JHANSI,25.45,78.58,251.0,676.86
JHARSUGUDA,21.92,84.08,230.0,290.94
JODHPUR RS/RW,26.3,73.02,217.0,445.35
JOSHIMATH,30.55,79.57,1875.0,1134.52
K. PARAMATHY,10.95,78.08,182.0,152.32
KAILASHAHAR (A),24.32,92.0,29.0,181.69
KAKINADA,16.95,82.23,8.0,2.41
KALIMPONG,27.07,88.47,1209.0,528.41
KALINGAPATANAM,18.33,84.13,6.0,0.0
KALLAKKURICHCHI,11.73,78.97,127.0,86.55
KALPA (GL),32.4,78.25,2724.0,1243.96
KANKER,20.27,81.48,402.0,330.98
KANNOD,22.67,76.73,353.0,395.22
KANNUR (CANNANORE),11.83,75.33,18.0,0.0
KANPUR_AERO,26.43,80.37,126.0,873.92
KANYAKUMARI,8.08,77.5,37.0,0.0
KAPURTHALA,31.33,75.33,228.81,1035.64
KARAIKAL,10.92,79.83,6.95,2.24
KARAIKUDI,10.07,78.8,92.0,40.85
KARNAL,29.7,77.03,249.0,923.65
KARWAR,14.78,74.13,4.0,0.74
KATRA,33.0,74.9,1170.0,1208.42
KEONJHARGARH,21.62,85.58,463.0,136.91
KESHOD (A),21.32,70.32,51.0,31.83
KHAJURAHO,24.98,79.92,221.0,775.03
KHAMMAM,17.25,80.15,112.0,159.94
KHANDWA,21.83,76.37,318.0,355.67
KHARGONE,21.82,75.62,251.0,278.22
KHERI-LAKHIMPUR,27.9,80.8,147.0,950.96
KHIJRAWAN,22.08,82.15,417.0,422.86
KOCHI (COCHIN),9.95,76.27,3.0,0.0
KODAIKANAL,10.23,77.47,2343.0,132.75
KOLAR GOLD FIELD,12.95,78.3,882.0,198.37
KOLHAPUR,16.7,74.23,570.0,87.05
KOLKATA,22.53,88.33,6.0,41.17
KOLKATA (DUM DUM),22.65,88.45,6.0,58.05
KONDUL,7.22,93.73,8.0,0.0
KORADACHERRY,10.75,79.35,17.0,46.19
KOTA (A),25.15,75.85,274.0,438.71
KOTA (PB-MICROMET),25.18,75.9,273.1,444.85
KOTHAGUDEM (BHADRACHALAM),17.55,80.63,111.0,155.25
KOTTAYAM,9.53,76.6,73.0,31.32
KOZHIKODE (CALICUT),11.25,75.78,5.0,1.35
KRISHNANAGAR,23.4,88.52,15.0,138.69
KUDUMIAMALAI,10.4,78.67,123.0,67.54
KUKERNAG,33.58,75.5,1011.0,1282.87
KUPWARA,34.42,74.3,1609.0,1235.28
KURNOOL,15.83,78.07,281.0,225.02
LONG ISLAND,12.42,92.93,25.0,0.0
LUCKNOW (AMAUSI),26.75,80.88,128.0,862.0
LUDHIANA,30.93,75.87,247.0,1006.95
LUDHIANA (P.A.U),30.9,75.8,247.0,1001.48
LUMDING,25.75,93.18,149.0,376.04
MADURAI,9.92,78.12,133.0,95.63
MADURAI (A),9.83,78.08,131.0,88.18
MAHABALESHWAR,17.93,73.67,1382.0,57.92
MAHBUBNAGAR,16.75,78.0,505.0,269.63
MAHUVA,21.08,71.78,9.0,1.82
MAINPURI,27.23,79.05,157.0,830.24
MAJBAT,26.75,92.35,120.0,452.56
MALANJKHAND,22.0,80.7,578.0,533.32
MALDA,25.03,88.13,31.0,312.53
MALEGAON,20.55,74.53,437.0,168.43
MANA (RAIPUR-AP),21.17,81.73,312.0,398.12
MANALI,32.27,77.17,2039.0,1188.42
MANDLA,22.58,80.37,443.0,606.27
MANDVI,22.82,69.27,10.0,0.0
MANDYA,12.5,76.83,695.0,165.54
MANGALORE (BAJPE) (A),12.92,74.88,102.0,6.81
MANGALORE (PANAMBUR),12.95,74.83,31.0,2.69
MORMUGAO,15.42,73.78,62.0,0.0
MASULIPATNAM,16.18,81.13,3.0,6.97
MATHURA,27.5,77.68,174.0,755.3
MAYABANDAR,12.92,92.92,28.0,0.0
MEDAK,18.05,78.27,471.8,338.22
MEDIKERI (MERCARA),12.42,75.73,1152.0,67.38
MEERUT,29.02,77.63,222.0,887.42
METTUR DAM,11.8,77.82,250.0,211.98
MIDNAPORE,22.42,87.32,45.0,75.3
MINICOY,8.3,73.0,2.0,0.0
MORADABAD,28.83,78.75,201.8,936.06
MOTIHARI,26.67,84.92,66.0,585.59
MUKHIM,30.58,78.48,1981.0,1078.36
MUKTESHWAR (KUMAUN),29.47,79.65,2311.0,1046.52
MUMBAI (BOMBAY) (SANTA CRUZ),19.12,72.85,15.0,2.83
MUMBAI (BOMBAY) (KULABA),18.9,72.82,11.0,0.16
MUSSOORIE,30.45,78.08,2042.0,1047.33
MUZAFFARNAGAR,29.47,77.73,241.0,934.77
MUZAFFARPUR,26.12,85.4,53.0,508.12
MYSORE,12.3,76.7,767.0,141.93
NAGAPATTINAM,10.77,79.85,9.0,0.05
NAGAUR,27.17,73.67,298.0,548.95
NAGPUR (SONEGAON),21.1,79.05,310.0,563.8
NAHAN,30.55,77.3,959.0,1020.37
