Station name,Index No.,Latitude,Longitude,Absolute elevation,Elevation of wind instrument,Distance from Coast
MASULIPATNAM,43185,16 11,81 08,3,14,6.97
MATHURA,42257,27 30,77 41,174,181.7,755.3
MAYABANDAR,43309,12 55,92 55,28,34,0
MEDAK,43083,18 03,78 16,471.8,480.59,338.22
MEDIKERI (MERCARA),43287,12 25,75 44,1152,1157,67.38
MEERUT,42139,29 01,77 38,222,236,887.42
METTUR DAM,15205,11 48,77 49,250,261,211.98
MIDNAPORE,42803,22 25,87 19,45,54,75.3
MINICOY,43369,08 18,73 00,2,17,0
MORADABAD,42187,28 50,78 45,201.8,210.26,936.06
MOTIHARI,42383,26 40,84 55,66,76,585.59
MUKHIM,5211,30 35,78 29,1981,,1078.36
MUKTESHWAR (KUMAUN),42147,29 28,79 39,2311,2315,1046.52
MUMBAI (BOMBAY) (SANTA CRUZ),43003,19 07,72 51,15,23,2.83
MUMBAI (BOMBAY) (KULABA),43057,18 54,72 49,11,27,0.16
MUSSOORIE,42112,30 27,78 05,2042,2049,1047.33
MUZAFFARNAGAR,5218,29 28,77 44,241,248,934.77
MUZAFFARPUR,42387,26 07,85 24,53,63,508.12
MYSORE,43291,12 18,76 42,767,789,141.93
NAGAPATTINAM,43347,10 46,79 51,9,21,0.05
NAGAUR,42242,27 10,73 40,298,308,548.95
NAGPUR (SONEGAON),42867,21 06,79 03,310,322,563.8
NAHAN,8003,30 33,77 18,959,969.8,1020.37
NAJIBABAD,42143,29 37,78 23,270,280,983.49
NALGONDA,43133,17 00,79 15,227,236.2,181.66
NALIYA,42631,23 15,68 51,21,34,18.43
NANCOWRY,43382,07 59,93 32,26,29,1.08
NANDED,43021,19 05,77 20,358,367,448.57
NANDURBAR,42846,21 20,74 15,206,209,141.98
NANDYAL,43212,15 28,78 29,212,226,172.39
NARNAUL,42177,28 00,76 05,308,318,713.18
NARSAPUR,43187,16 26,81 42,4,12.5,7.85
NARSINGHPUR,42770,22 57,79 11,356,366,648.31
NELLORE,43245,14 27,79 59,20,34,20.71
NEW DELHI (PALAM) (A),42181,28 34,77 07,233,238,818.09
NEW DELHI (SAFDARJANG),42182,28 35,77 12,216,232,827.02
NEW KANDLA,42639,23 00,70 13,14,28,0.9
NIDADAVOLU,43184,16 55,81 40,13,24,61.64
NIMACH,42547,24 28,74 54,496,509,318.02
NIZAMABAD,43081,18 40,78 06,381,395,402.61
NORTH LAKHIMPUR,42309,27 14,94 07,102,113,565.36
NOWGONG,42467,25 04,79 27,229,238,735.2
OKHA,42730,22 29,69 07,7,14,0
ONGOLE,43221,15 34,80 03,12,21,16.9
ORAI,42468,25 59,79 30,141,150,786.1
OSMANABAD,13211,18 10,76 03,663,668.1,307.21
OZAR,42920,20 08,73 55,608,612,114.52
PACHMARHI,42767,22 28,78 26,1075,1086,568.24
PAHALGAM,9215,34 02,75 20,2310,2313,1328.77
PALAKKAD,43335,10 46,76 39,97,99,68.56
PALAYAMKOTTAI,43376,08 44,77 45,51,66,40.88
PAMBAN,43363,09 16,789 18,11,19,1.96
PANCHET HILLS,32648,23 37,86 47,119,,200.19
PANJIM,43192,15 29,73 49,60,78,0.79
PANNA,42570,24 43,80 10,354,363.5,777.67
PANTNAGAR,42148,29 02,79 28,233,242,998.82
PARADIP PORT,42976,20 18,86 41,8,11,0.05
PARANGIPETTAI (PORT NOVO),15207,11 30,79 46,3,12,0.63
PARBHANI,43017,19 16,76 50,423,433,396.67
PASIGHAT,42220,28 06,95 23,157,160,713.22
PATIALA,42101,30 20,76 28,251,269,964.56
PATNA (A),42492,25 36,85 06,60,63,478.75
PENDRA,42779,22 46,81 54,625,635,498.06
PHALODI,42237,27 08,72 22,234,246,505.38
PHULBANI,42966,20 29,84 16,489,500,145.74
PILANI,42174,28 20,75 35,301,315,726.28
PONDICHERRY,43328,11 55,79 50,6,14,0.05
PORBANDAR (A),42830,21 39,69 40,7,13,5.91
PORT BLAIR,43333,11 40,92 43,79,86,0.06
PUNALUR,43354,09 00,76 55,34,46,27.15
PUNASA,12668,22 14,76 24,267,,359
PUNE,43063,18 32,73 51,559,561,84.04
PUNE (WANORIE),13206,18 30,73 54,594.4,,88.21
PURI,43053,19 48,85 49,6,15,1.06
PURNEA,42500,25 46,87 28,38,46,398.14
PURULIA,42705,23 20,86 25,255,265,211.53
PUSAD,43019,19 55,77 35,334,344,483.96
QUAZIGUND,42044,33 35,75 05,1739,1744,1275.31
RAICHUR,43169,16 12,77 21,400,412,310.14
RAIGARH,42884,21 53,83 23,220,231,326.26
RAIPUR,42875,21 14,81 39,298,310,408.81
RAISEN,42672,23 19,77 50,440,449,517.95
RAJGARH,42557,24 00,76 43,382,394,434.35
RAJKOT (A),42737,22 18,70 47,138,147,66.19
RAJNANDGAON,11204,21 06,81 02,330,,432.21
RAMGUNDAM,43086,18 46,79 26,156,161,336.96
RANCHI (A),42701,23 19,85 19,652,661,269.28
RATLAM,42661,23 19,75 03,486,497,248.5
RATNAGIRI,43110,16 59,73 20,67,73,1.58
RAXAUL,42382,26 59,84 51,79,86,618.86
RENTACHINTALA,43177,16 33,79 33,106,114,123.16
REVA,42574,24 32,81 18,299,308,689.6
ROHTAK,42176,28 50,76 35,219,233,817.98
ROORKEE,42140,29 51,77 53,274,285,978.64
SABAUR,42499,25 14,87 04,37,44,348.6
SAGAR,42671,23 51,78 45,551,561,622.83
SAGAR ISLAND,42903,21 45,88 03,3,19,0
SALEM,43325,11 39,78 10,278,294,173.37
SAMBALPUR,42883,21 28,83 58,148,157,254.32
SANDHEADS,42977,20 51,88 15,10,22,0
SANGLI ,43158,16 51,74 36,549,559,129.2
SATARA,43113,17 42,74 01,660,664.2,85.7
SATNA,42571,24 34,80 50,317,327,720.54
SAWAI MADHOPUR,42453,25 59,76 22,264,267.82,542.16
SEONI,42771,22 05,79 33,619,629,622.25
SHAHAJAHANPUR,42266,27 53,79 54,154.5,160.1,940.94
SHAJAPUR,42665,23 26,76 19,446,453.5,372.35
SHEOPUR,42456,25 40,76 41,235,246,538.52
SHILLONG (C.S.O),42516,25 34,91 53,1500,1511,314.72
SHIMLA,42083,31 06,77 10,2202,2228,1069.41
SHIMOGA,43258,13 56,75 38,571,583,103.75
SHIRALI,43229,14 04,74 32,44.79,53.39,3.89
SHIVPURI,42459,25 20,77 39,464,475,590.65
SIDHI,42577,24 25,81 52,272,279,621.34
SIKAR,42249,27 37,75 08,432,445,635.45
SILCHAR,42619,24 49,92 48,29,36,266.62
SILCHAR/KUMBHIGRAM(A),42620,24 55,92 59,97,108,286.19
SIRONCHA,43089,18 51,79 58,123,134,316.09
SOLAPUR,43117,17 40,75 54,479,488,279.01
SRI NIKETAN,42708,23 39,87 42,59,82,162.08
SRIGANGANAGAR (GANGANAGAR),42123,29 55,73 53,177,185,854.9
SRINAGAR,42027,34 05,74 50,1587,1605,1276.47
SULTANPUR,42375,26 15,82 00,97,107,736.69
SUNDERNAGAR,8204,31 32,76 54,870,900.5,1103.37
SUPAUL,42393,26 08,86 35,50,,458.7
SURAT,42840,21 12,72 50,12,31,5.13
SURI,42710,23 53,87 32,77,88,191.27
TADONG,22209,27 20,88 38,1322,,548.75
TANGLA,42409,26 39,91 55,78,89,434.64
TANJAVUR,43330,10 47,79 08,68,80.9,58.71
TEZPUR,42415,26 37,92 47,79,84,449.31
THIKRI,12664,22 04,75 24,172,,257.11
THIRUVANANTHAPURAM (TRIVANDRUM),43371,08 29,76 57,64,76,3.62
THIRUVANANTHAPURAM (TRIVANDRUM)(A),43372,08 28,76 57,8,11,2.49
TIKAMGARH,42562,24 46,78 50,345,356,664.82
TIRMALAI,14223,13 40,79 23,845,,91.41
TIRUCHIRAPPALLI,43344,10 46,78 43,88,105,84.52
TIRUPATI (A),43275,13 40,79 35,105,110.54,70.3
TIRUPPATTUR,43302,12 29,78 34,390,405,150
TIRUTTANI,43277,13 09,79 32,105,107.12,80.63
TITLAGARH,42961,20 18,83 18,211,220,200.57
TONDI,43361,09 44,79 02,5,12,0
TONK,42349,26 10,75 45,272,289,520.67
TUMKUR,43268,13 20,77 05,822,830.4,244.67
TUTICORIN,43379,08 48,78 09,4,15,1.05
TUTICORIN (H.P.),15208,08 45,78 11,3,,0.14
UDAIPUR,42543,24 35,73 42,582,595,269.39
UDAIPUR (DABOK) (A),42542,24 37,73 53,514,521,279.27
UJJAIN,42662,23 11,75 47,489,498,311.75
ULBERIA,42805,22 30,87 57,5,15,31.64
UMARIA,4267,23 32,80 53,459,469,630.56
UNA,42077,31 28,76 16,369,378.6,1075.27
UTHAGAMANDALAM  (OOTACAMUND),43317,11 24,76 44,2249,2257,99.09
VALLABH VIDYANAGAR,42744,22 34,72 56,44,58,32.06
VARANASI,42483,25 18,83 01,76,101,590.02
VARANASI (BABATPUR),42479,25 27,82 52,85,101,612.47
VEDARANNIYAM,43349,10 22,79 51,4,12,2.11
VELLORE,43303,12 55,79 09,214,227,117.1
VENGURLA,43193,15 52,73 38,9,13,0.55
VERAVAL,42909,20 54,70 22,8,19,0
VIDISHA,42669,23 32,77 49,430,440.5,521.89
VISHAKHAPATNAM  (RS/RW),43150,17 41,83 18,66,,0.03
VISHAKHAPATNAM (A),43149,17 43,83 14,3,13,6.08
WARANGAL,14005,18 03,79 22,262,275.7,273.15
WARDHA,42939,20 40,78 35,283,292,562.84
YEOTMAL,42943,20 24,78 09,451,461,564.06
