Latitude,Longitude,PTrain_LC1
22.95,88.55,1.15
32.94,74.39,1.37
24.07,79.08,0.41
24.18,72.03,0.22
20.45,72.88,0.52
26.8,79.25,0.58
21.67,87.35,1.29
25.7,92.02,1.19
25.28,74.67,0.35
30.19,76.63,0.97
27.14,79.75,0.64
20.62,83.35,0.7
20.9,77.6,0.34
24.27,73.38,0.26
25.55,84.87,0.62
26.05,77.37,0.46
27.07,88.2,1.12
11.68,77.13,0.75
31.28,76.25,1.23
26.7,88.48,0.86
20.43,85.98,1.16
22.13,84.8,0.7
22.68,84.55,0.61
24.63,93.77,1.18
26.05,86.98,0.75
34.4,74.32,2.18
19.02,72.85,0.63
27.25,92.4,1.63
14.6,76.68,0.69
17.89,78.46,0.5
34.01,74.64,2.24
26.82,94.83,1.22
27.87,96.37,1.55
32.65,74.82,1.35
24.1,92.6,1.19
34.48,74.24,2.27
17.33,78.41,0.53
23.35,92.83,1.21
27.35,73.1,0.51
30.19,76.51,0.96
22.36,88.12,1.29
34.53,76.2,2.75
34.38,74.99,2.53
24.02,87.15,0.84
34.28,74.44,2.16
33.6,75.02,2.23
28.26,75.37,0.67
22.25,85.8,0.78
26.52,71.81,0.36
26.77,92.6,1.08
25.5,83.85,0.58
13.62,76.42,0.69
22.25,88.67,1.33
9.17,92.83,2.54
22.55,85.82,0.8
24.92,75.58,0.34
22.03,82.7,0.5
20.78,86.73,1.29
19.97,79.3,0.44
26.2,92.52,1.06
25.78,84.73,0.63
13.0,80.18,1.59
13.07,80.25,1.6
25.25,91.73,1.3
22.1,79.0,0.37
13.25,75.75,0.53
14.23,76.43,0.62
24.88,74.63,0.32
24.65,83.1,0.53
28.25,74.92,0.66
11.0,76.97,1.15
11.03,77.05,1.15
21.78,87.75,1.31
26.33,89.47,0.89
11.77,79.77,1.68
14.48,78.83,1.15
20.47,85.93,1.15
20.22,73.05,0.49
22.52,88.78,1.27
25.68,85.35,0.65
26.84,79.53,0.6
11.15,75.82,1.54
17.31,78.87,0.64
26.92,79.21,0.59
30.4,74.9,0.93
29.66,77.45,0.91
22.97,86.05,0.78
22.15,70.58,0.23
29.39,76.99,0.84
24.04,79.1,0.41
30.73,76.79,1.09
28.43,75.51,0.68
27.72,96.23,1.38
26.57,94.7,1.23
24.05,86.9,0.8
25.88,87.13,0.75
28.16,75.46,0.67
25.68,93.23,1.1
21.43,71.22,0.28
25.3,93.72,1.35
28.68,73.12,0.63
24.88,78.97,0.43
11.83,76.07,0.8
27.22,93.12,1.37
28.78,96.27,1.8
22.22,78.43,0.38
25.68,94.3,1.43
24.47,86.25,0.72
29.98,77.1,0.95
24.79,79.08,0.43
24.52,84.95,0.61
20.68,86.85,1.32
28.75,73.99,0.67
25.07,75.5,0.37
26.22,87.02,0.76
28.67,96.15,1.79
11.4,79.7,1.71
17.6,78.75,0.54
21.52,73.65,0.32
16.45,74.33,0.49
25.17,82.53,0.52
15.58,79.88,1.25
26.63,94.92,1.26
19.07,79.07,0.53
22.12,77.5,0.32
24.05,86.15,0.72
23.18,76.97,0.32
27.93,79.28,0.72
17.56,78.22,0.51
10.97,77.28,1.24
17.29,78.03,0.48
27.12,79.41,0.63
10.7,76.75,1.45
17.23,79.13,0.7
23.67,76.23,0.31
24.45,85.17,0.63
18.72,72.9,0.61
12.5,76.3,0.73
26.5,75.67,0.46
21.1,85.33,0.87
21.7,79.68,0.36
22.12,76.9,0.3
30.69,76.09,1.03
26.72,94.23,1.15
25.27,87.22,0.77
13.63,74.7,1.25
20.5,85.83,1.12
19.97,72.72,0.55
32.53,75.97,2.01
24.05,84.07,0.56
23.83,79.45,0.4
26.17,85.9,0.7
27.05,88.27,1.46
25.67,78.47,0.46
24.2,72.2,0.22
30.32,78.03,1.2
24.92,84.18,0.57
16.38,73.35,0.88
23.78,86.43,0.76
22.6,75.3,0.27
12.13,78.03,1.09
32.27,76.38,1.72
26.67,77.83,0.52
26.02,89.98,0.92
26.15,89.92,0.92
22.18,88.2,1.34
27.48,95.02,1.25
21.83,87.78,1.31
20.72,70.92,0.42
22.83,74.27,0.26
17.72,83.3,1.21
24.27,87.25,0.82
23.83,73.67,0.24
21.18,81.28,0.44
23.48,87.32,0.94
22.37,69.08,0.27
26.12,92.87,1.07
29.9,78.55,1.29
32.86,74.9,1.45
17.91,78.01,0.48
24.48,71.73,0.22
30.27,80.52,1.57
32.58,74.93,1.35
26.91,79.6,0.61
26.1,90.78,0.97
24.93,92.77,1.12
24.03,84.07,0.55
20.42,72.85,0.53
26.31,79.3,0.53
30.22,74.17,0.88
34.17,74.9,2.23
32.65,74.9,1.37
24.73,79.21,0.43
26.63,92.8,1.07
34.33,74.38,2.17
24.02,85.55,0.68
28.45,72.5,0.58
25.33,88.32,0.82
30.75,76.15,1.04
27.9,96.3,1.41
28.02,96.23,1.56
25.75,75.38,0.39
18.25,77.1,0.4
25.74,79.16,0.48
23.13,78.68,0.35
27.98,79.42,0.73
26.17,85.0,0.66
29.73,78.47,1.0
23.43,73.75,0.28
20.03,75.03,0.29
