Latitude,Longitude,PTrain_LC1
22.95,88.55,3.6
32.94,74.39,2.23
24.07,79.08,3.64
24.18,72.03,3.21
20.45,72.88,3.14
26.8,79.25,3.14
21.67,87.35,3.52
25.7,92.02,4.76
25.28,74.67,3.52
30.19,76.63,2.65
27.14,79.75,3.16
20.62,83.35,3.48
20.9,77.6,3.34
24.27,73.38,3.89
25.55,84.87,3.45
26.05,77.37,3.17
27.07,88.2,4.49
11.68,77.13,3.2
31.28,76.25,2.69
26.7,88.48,3.67
20.43,85.98,3.4
22.13,84.8,3.65
22.68,84.55,4.0
24.63,93.77,4.75
26.05,86.98,3.56
34.4,74.32,2.75
19.02,72.85,2.99
27.25,92.4,5.14
14.6,76.68,3.08
17.89,78.46,3.46
34.01,74.64,2.97
26.82,94.83,4.24
27.87,96.37,4.67
32.65,74.82,2.32
24.1,92.6,3.99
34.48,74.24,2.89
17.33,78.41,3.45
23.35,92.83,4.48
27.35,73.1,2.96
30.19,76.51,2.64
22.36,88.12,3.57
34.53,76.2,3.5
34.38,74.99,3.3
24.02,87.15,3.72
34.28,74.44,2.78
33.6,75.02,3.08
28.26,75.37,2.87
22.25,85.8,4.1
26.52,71.81,3.07
26.77,92.6,3.93
25.5,83.85,3.41
13.62,76.42,3.19
22.25,88.67,3.58
9.17,92.83,2.77
22.55,85.82,3.77
24.92,75.58,3.46
22.03,82.7,3.59
20.78,86.73,3.44
19.97,79.3,3.22
26.2,92.52,3.84
25.78,84.73,3.44
13.0,80.18,2.48
13.07,80.25,2.49
25.25,91.73,5.16
22.1,79.0,3.97
13.25,75.75,3.7
14.23,76.43,3.31
24.88,74.63,3.58
24.65,83.1,3.72
28.25,74.92,2.86
11.0,76.97,2.51
11.03,77.05,2.49
21.78,87.75,3.54
26.33,89.47,3.66
11.77,79.77,2.34
14.48,78.83,2.6
20.47,85.93,3.4
20.22,73.05,3.15
22.52,88.78,3.59
25.68,85.35,3.47
26.84,79.53,3.16
11.15,75.82,2.15
17.31,78.87,3.25
26.92,79.21,3.13
30.4,74.9,2.45
29.66,77.45,2.79
22.97,86.05,3.82
22.15,70.58,3.37
29.39,76.99,2.75
24.04,79.1,3.66
30.73,76.79,2.67
28.43,75.51,2.82
27.72,96.23,4.23
26.57,94.7,4.43
24.05,86.9,3.8
25.88,87.13,3.55
28.16,75.46,2.93
25.68,93.23,4.17
21.43,71.22,3.32
25.3,93.72,5.13
28.68,73.12,2.55
24.88,78.97,3.4
11.83,76.07,3.09
27.22,93.12,4.7
28.78,96.27,4.96
22.22,78.43,4.06
25.68,94.3,5.2
24.47,86.25,3.98
29.98,77.1,2.72
24.79,79.08,3.45
24.52,84.95,3.61
20.68,86.85,3.43
28.75,73.99,2.63
25.07,75.5,3.6
26.22,87.02,3.54
28.67,96.15,4.9
11.4,79.7,2.29
17.6,78.75,3.46
21.52,73.65,3.5
16.45,74.33,3.42
25.17,82.53,3.36
15.58,79.88,2.77
26.63,94.92,4.49
19.07,79.07,3.08
22.12,77.5,3.76
24.05,86.15,3.94
23.18,76.97,3.69
27.93,79.28,3.07
17.56,78.22,3.41
10.97,77.28,2.36
17.29,78.03,3.57
27.12,79.41,3.15
10.7,76.75,2.16
17.23,79.13,3.16
23.67,76.23,3.61
24.45,85.17,3.68
18.72,72.9,3.05
12.5,76.3,3.18
26.5,75.67,3.17
21.1,85.33,3.59
21.7,79.68,3.61
22.12,76.9,3.35
30.69,76.09,2.56
26.72,94.23,4.01
25.27,87.22,3.55
13.63,74.7,2.4
20.5,85.83,3.4
19.97,72.72,3.08
32.53,75.97,3.43
24.05,84.07,3.67
23.83,79.45,3.59
26.17,85.9,3.48
27.05,88.27,5.16
25.67,78.47,3.26
24.2,72.2,3.27
30.32,78.03,3.09
24.92,84.18,3.5
16.38,73.35,2.74
23.78,86.43,3.86
22.6,75.3,3.95
12.13,78.03,2.57
32.27,76.38,3.02
26.67,77.83,3.08
26.02,89.98,3.69
26.15,89.92,3.69
22.18,88.2,3.57
27.48,95.02,4.02
21.83,87.78,3.54
20.72,70.92,3.15
22.83,74.27,3.66
17.72,83.3,3.29
24.27,87.25,3.75
23.83,73.67,3.56
21.18,81.28,3.54
23.48,87.32,3.64
22.37,69.08,3.25
26.12,92.87,3.86
29.9,78.55,3.48
32.86,74.9,2.38
17.91,78.01,3.41
24.48,71.73,3.15
30.27,80.52,4.44
32.58,74.93,2.34
26.91,79.6,3.17
26.1,90.78,3.72
24.93,92.77,3.8
24.03,84.07,3.66
20.42,72.85,3.13
26.31,79.3,3.19
30.22,74.17,2.4
34.17,74.9,2.84
32.65,74.9,2.34
24.73,79.21,3.46
26.63,92.8,3.83
34.33,74.38,2.77
24.02,85.55,4.21
28.45,72.5,2.54
25.33,88.32,3.62
30.75,76.15,2.56
27.9,96.3,4.22
28.02,96.23,4.65
25.75,75.38,3.34
18.25,77.1,3.55
25.74,79.16,3.23
23.13,78.68,3.51
27.98,79.42,3.07
26.17,85.0,3.44
29.73,78.47,2.95
23.43,73.75,3.34
