Latitude,Longitude,PTrain_LC1
25.65,87.13,0.71
22.95,88.55,0.56
32.94,74.39,1.43
24.07,79.08,0.68
24.18,72.03,0.23
20.45,72.88,0.07
26.8,79.25,0.87
21.67,87.35,0.59
25.7,92.02,0.95
25.28,74.67,0.51
30.19,76.63,1.11
27.14,79.75,0.94
20.62,83.35,0.53
20.9,77.6,0.44
24.27,73.38,0.29
25.55,84.87,0.75
26.05,77.37,0.71
27.07,88.2,1.1
11.68,77.13,1.34
31.28,76.25,1.3
26.7,88.48,0.9
20.43,85.98,0.62
22.13,84.8,0.55
22.68,84.55,0.6
24.63,93.77,0.95
26.05,86.98,0.77
34.4,74.32,2.09
19.02,72.85,0.11
27.25,92.4,0.92
14.6,76.68,0.72
17.89,78.46,0.51
34.01,74.64,2.19
26.82,94.83,1.14
27.87,96.37,1.46
32.65,74.82,1.45
24.1,92.6,0.7
34.48,74.24,2.17
17.33,78.41,0.54
23.35,92.83,0.77
27.35,73.1,0.71
30.19,76.51,1.1
22.36,88.12,0.57
34.53,76.2,3.15
34.38,74.99,2.62
24.02,87.15,0.57
34.28,74.44,2.07
33.6,75.02,2.2
28.26,75.37,0.86
22.25,85.8,0.56
26.52,71.81,0.56
26.77,92.6,0.94
25.5,83.85,0.77
13.62,76.42,0.88
22.25,88.67,0.6
9.17,92.83,3.0
22.55,85.82,0.54
24.92,75.58,0.51
22.03,82.7,0.57
20.78,86.73,0.63
19.97,79.3,0.48
26.2,92.52,0.83
25.78,84.73,0.78
13.0,80.18,1.24
13.07,80.25,1.24
25.25,91.73,0.9
22.1,79.0,0.6
13.25,75.75,0.99
14.23,76.43,0.79
24.88,74.63,0.45
24.65,83.1,0.76
28.25,74.92,0.84
11.0,76.97,1.29
11.03,77.05,1.29
21.78,87.75,0.6
26.33,89.47,0.8
11.77,79.77,1.42
14.48,78.83,0.84
20.47,85.93,0.62
20.22,73.05,0.07
22.52,88.78,0.58
25.68,85.35,0.75
26.84,79.53,0.9
11.15,75.82,1.19
17.31,78.87,0.54
26.92,79.21,0.88
30.4,74.9,1.04
29.66,77.45,1.09
22.97,86.05,0.55
22.15,70.58,-0.0
29.39,76.99,1.02
24.04,79.1,0.68
30.73,76.79,1.21
28.43,75.51,0.87
27.72,96.23,1.35
26.57,94.7,1.15
24.05,86.9,0.59
25.88,87.13,0.74
28.16,75.46,0.86
25.68,93.23,0.89
21.43,71.22,-0.0
25.3,93.72,1.03
28.68,73.12,0.81
24.88,78.97,0.71
11.83,76.07,1.17
27.22,93.12,1.2
28.78,96.27,1.27
22.22,78.43,0.57
25.68,94.3,1.09
24.47,86.25,0.67
29.98,77.1,1.11
24.79,79.08,0.72
24.52,84.95,0.67
20.68,86.85,0.65
28.75,73.99,0.85
25.07,75.5,0.53
26.22,87.02,0.79
28.67,96.15,1.44
11.4,79.7,1.47
17.6,78.75,0.53
21.52,73.65,0.08
16.45,74.33,0.32
25.17,82.53,0.77
15.58,79.88,0.81
26.63,94.92,1.19
19.07,79.07,0.46
22.12,77.5,0.48
24.05,86.15,0.63
23.18,76.97,0.47
27.93,79.28,0.99
17.56,78.22,0.51
10.97,77.28,1.29
17.29,78.03,0.55
27.12,79.41,0.92
10.7,76.75,1.29
17.23,79.13,0.55
23.67,76.23,0.43
24.45,85.17,0.67
18.72,72.9,0.12
12.5,76.3,1.08
26.5,75.67,0.69
21.1,85.33,0.56
21.7,79.68,0.58
22.12,76.9,0.4
30.69,76.09,1.15
26.72,94.23,1.02
