Latitude,Longitude,PTrain_LC1
22.95,88.55,1.64
32.94,74.39,0.44
24.07,79.08,0.7
24.18,72.03,0.44
20.45,72.88,0.77
26.8,79.25,0.63
21.67,87.35,1.62
25.7,92.02,2.25
25.28,74.67,0.56
30.19,76.63,0.48
27.14,79.75,0.61
20.62,83.35,1.39
20.9,77.6,0.87
24.27,73.38,0.46
25.55,84.87,1.26
26.05,77.37,0.66
27.07,88.2,1.64
11.68,77.13,2.6
31.28,76.25,0.38
26.7,88.48,1.66
20.43,85.98,1.63
22.13,84.8,1.4
22.68,84.55,1.41
24.63,93.77,2.51
26.05,86.98,1.49
34.4,74.32,0.36
19.02,72.85,0.99
27.25,92.4,1.95
14.6,76.68,1.83
17.89,78.46,1.4
34.01,74.64,0.38
26.82,94.83,2.36
27.87,96.37,2.3
32.65,74.82,0.43
24.1,92.6,2.16
34.48,74.24,0.38
17.33,78.41,1.51
23.35,92.83,2.39
27.35,73.1,0.51
30.19,76.51,0.48
22.36,88.12,1.63
34.53,76.2,1.04
34.38,74.99,0.63
24.02,87.15,1.51
34.28,74.44,0.35
33.6,75.02,0.39
28.26,75.37,0.55
22.25,85.8,1.58
26.52,71.81,0.48
26.77,92.6,2.15
25.5,83.85,1.15
13.62,76.42,2.11
22.25,88.67,1.7
9.17,92.83,3.4
22.55,85.82,1.48
24.92,75.58,0.62
22.03,82.7,1.2
20.78,86.73,1.66
19.97,79.3,1.03
26.2,92.52,2.11
25.78,84.73,1.25
13.0,80.18,2.16
13.07,80.25,2.16
25.25,91.73,2.26
22.1,79.0,0.77
13.25,75.75,2.44
14.23,76.43,2.03
24.88,74.63,0.56
24.65,83.1,1.1
28.25,74.92,0.54
11.0,76.97,2.31
11.03,77.05,2.29
21.78,87.75,1.66
26.33,89.47,1.76
11.77,79.77,2.26
14.48,78.83,1.81
20.47,85.93,1.61
20.22,73.05,0.81
22.52,88.78,1.69
25.68,85.35,1.32
26.84,79.53,0.62
11.15,75.82,2.12
17.31,78.87,1.5
26.92,79.21,0.63
30.4,74.9,0.46
29.66,77.45,0.51
22.97,86.05,1.48
22.15,70.58,0.49
29.39,76.99,0.53
24.04,79.1,0.7
30.73,76.79,0.45
28.43,75.51,0.55
27.72,96.23,2.3
26.57,94.7,2.41
24.05,86.9,1.51
25.88,87.13,1.5
28.16,75.46,0.55
25.68,93.23,2.28
21.43,71.22,0.59
25.3,93.72,2.5
28.68,73.12,0.53
24.88,78.97,0.68
11.83,76.07,2.5
27.22,93.12,2.26
28.78,96.27,1.91
22.22,78.43,0.8
25.68,94.3,2.49
24.47,86.25,1.49
29.98,77.1,0.49
24.79,79.08,0.68
24.52,84.95,1.3
20.68,86.85,1.69
28.75,73.99,0.52
25.07,75.5,0.6
26.22,87.02,1.5
28.67,96.15,2.05
11.4,79.7,2.26
17.6,78.75,1.49
21.52,73.65,0.67
16.45,74.33,1.55
25.17,82.53,0.99
15.58,79.88,1.81
26.63,94.92,2.43
19.07,79.07,1.12
22.12,77.5,0.81
24.05,86.15,1.48
23.18,76.97,0.74
27.93,79.28,0.59
17.56,78.22,1.43
10.97,77.28,2.21
17.29,78.03,1.51
27.12,79.41,0.61
10.7,76.75,2.14
17.23,79.13,1.51
23.67,76.23,0.68
24.45,85.17,1.34
18.72,72.9,1.04
12.5,76.3,2.38
26.5,75.67,0.61
21.1,85.33,1.53
21.7,79.68,0.89
22.12,76.9,0.79
30.69,76.09,0.46
26.72,94.23,2.29
25.27,87.22,1.5
13.63,74.7,1.84
20.5,85.83,1.6
19.97,72.72,0.84
32.53,75.97,0.28
24.05,84.07,1.24
23.83,79.45,0.71
26.17,85.9,1.38
27.05,88.27,1.44
25.67,78.47,0.67
24.2,72.2,0.44
30.32,78.03,0.39
24.92,84.18,1.2
16.38,73.35,1.42
23.78,86.43,1.49
22.6,75.3,0.69
12.13,78.03,2.12
32.27,76.38,0.28
26.67,77.83,0.65
26.02,89.98,1.81
26.15,89.92,1.81
22.18,88.2,1.66
27.48,95.02,2.28
21.83,87.78,1.65
20.72,70.92,0.68
22.83,74.27,0.59
17.72,83.3,1.85
24.27,87.25,1.53
23.83,73.67,0.5
21.18,81.28,1.13
23.48,87.32,1.51
22.37,69.08,0.43
26.12,92.87,2.15
29.9,78.55,0.32
32.86,74.9,0.42
17.91,78.01,1.33
24.48,71.73,0.43
30.27,80.52,1.25
32.58,74.93,0.43
26.91,79.6,0.62
26.1,90.78,1.9
24.93,92.77,2.1
24.03,84.07,1.24
20.42,72.85,0.78
26.31,79.3,0.64
30.22,74.17,0.46
34.17,74.9,0.41
32.65,74.9,0.43
24.73,79.21,0.68
26.63,92.8,2.14
34.33,74.38,0.36
24.02,85.55,1.47
28.45,72.5,0.54
25.33,88.32,1.61
30.75,76.15,0.46
27.9,96.3,2.28
28.02,96.23,2.28
25.75,75.38,0.6
18.25,77.1,1.21
25.74,79.16,0.66
23.13,78.68,0.75
27.98,79.42,0.59
26.17,85.0,1.27
29.73,78.47,0.49
23.43,73.75,0.52
20.03,75.03,0.96
33.13,75.98,0.43
29.86,78.64,0.28
26.92,71.37,0.48
30.66,76.83,0.46
24.6,92.83,2.11
33.27,74.55,0.32
17.65,77.47,1.35
30.58,76.82,0.46
25.98,87.13,1.5
24.42,85.98,1.45
28.93,76.17,0.55
33.53,74.22,0.27
29.93,78.74,0.38
24.37,92.17,2.02
26.7,77.9,0.64
29.91,78.7,0.35
25.6,75.61,0.62
21.48,85.82,1.7
33.58,74.09,0.26
26.47,92.47,2.1
19.3,75.67,1.05
22.98,71.47,0.45
22.57,70.42,0.43
23.57,76.78,0.71
32.74,74.81,0.44
24.15,78.23,0.71
28.39,75.63,0.55
28.35,75.64,0.55
16.22,73.83,1.45
27.13,94.77,2.29
26.17,93.57,2.39
17.94,78.68,1.43
20.17,84.85,1.62
27.1,79.95,0.61
26.35,89.9,1.82
27.27,93.07,2.26
32.56,74.92,0.43
24.53,84.92,1.3
12.17,76.6,2.4
15.68,74.97,1.74
34.27,74.47,0.36
34.45,74.41,0.38
34.39,73.79,0.33
21.07,83.2,1.33
18.02,78.9,1.42
34.37,73.98,0.9
23.75,86.17,1.46
16.05,73.92,1.5
23.42,91.67,1.98
29.08,74.68,0.52
28.87,75.45,0.54
25.32,86.02,1.38
25.55,84.15,1.18
23.98,86.02,1.45
22.97,74.12,0.57
24.76,79.05,0.68
23.13,84.85,1.45
20.0,76.3,0.98
27.5,95.75,2.3
16.73,76.92,1.36
21.7,74.03,0.71
26.28,79.29,0.65
25.93,90.77,1.9
27.79,79.31,0.59
29.28,78.12,0.53
25.97,85.12,1.29
28.19,74.69,0.54
26.13,89.47,1.75
10.03,76.3,2.2
11.22,76.15,2.1
13.07,80.26,2.17
17.58,78.54,1.51
13.25,80.33,2.15
13.13,80.25,2.15
8.18,77.63,2.31
26.75,82.08,0.86
25.93,80.83,0.72
30.92,74.67,0.44
26.3,87.27,1.53
22.37,88.78,1.71
16.28,78.68,1.8
30.72,76.77,0.45
26.35,79.23,0.64
25.77,75.63,0.62
24.18,92.02,2.0
11.18,75.85,2.13
17.84,78.12,1.36
15.42,75.63,1.78
27.33,88.62,1.52
16.53,80.8,1.71
24.75,84.95,1.29
25.4,83.55,1.11
22.77,83.97,1.37
27.13,81.97,0.82
21.47,80.2,0.98
19.27,84.88,1.69
26.75,83.37,1.04
17.35,76.85,1.29
34.05,74.4,0.53
24.65,77.32,0.68
28.42,77.0,0.57
26.1,91.58,2.0
26.23,78.25,0.65
15.42,75.62,1.78
27.23,79.28,0.61
33.89,74.29,0.33
24.05,76.45,0.68
25.58,76.3,0.65
15.73,75.98,1.7
16.27,76.83,1.47
23.52,74.0,0.53
20.1,84.57,1.56
9.92,77.53,2.31
34.16,74.57,0.35
30.65,78.85,0.34
27.85,78.47,0.59
14.55,78.73,1.78
29.9,78.68,0.27
26.01,79.38,0.65
32.79,74.77,0.44
29.97,78.53,0.33
26.7,94.12,2.27
17.61,78.47,1.49
27.72,79.65,0.59
22.77,87.8,1.57
23.28,84.55,1.41
20.88,73.72,0.76
28.3,75.71,0.55
22.9,88.16,1.6
20.13,78.32,0.93
29.85,77.05,0.5
25.22,87.17,1.49
23.95,87.1,1.51
22.7,70.65,0.43
27.22,73.47,0.52
30.72,75.98,0.45
32.98,74.41,0.41
28.36,74.9,0.54
27.7,79.57,0.6
20.67,79.13,0.94
22.25,88.5,1.68
33.26,74.14,0.28
27.32,84.32,1.15
23.27,87.97,1.57
31.52,76.02,0.43
27.98,72.25,0.54
24.9,72.83,0.47
20.72,70.99,0.68
34.08,74.57,0.37
14.97,78.25,1.71
34.1,74.58,0.37
21.92,85.37,1.62
22.02,69.92,0.48
22.26,88.97,1.74
22.86,88.04,1.59
