Latitude,Longitude,PTrain_LC1
22.95,88.55,2.9
32.94,74.39,1.26
24.07,79.08,1.92
24.18,72.03,2.51
20.45,72.88,3.12
26.8,79.25,1.71
21.67,87.35,2.82
25.7,92.02,3.62
25.28,74.67,1.99
30.19,76.63,1.17
27.14,79.75,1.73
20.62,83.35,2.44
20.9,77.6,2.14
24.27,73.38,2.53
25.55,84.87,2.45
26.05,77.37,1.7
27.07,88.2,2.66
11.68,77.13,2.99
31.28,76.25,1.1
26.7,88.48,2.8
20.43,85.98,2.63
22.13,84.8,2.57
22.68,84.55,2.64
24.63,93.77,3.92
26.05,86.98,2.67
34.4,74.32,1.16
19.02,72.85,3.13
27.25,92.4,3.73
14.6,76.68,2.4
17.89,78.46,2.33
34.01,74.64,1.26
26.82,94.83,3.71
27.87,96.37,3.55
32.65,74.82,1.38
24.1,92.6,3.5
34.48,74.24,1.17
17.33,78.41,2.41
23.35,92.83,3.8
27.35,73.1,1.37
30.19,76.51,1.15
22.36,88.12,2.9
34.53,76.2,1.98
34.38,74.99,1.54
24.02,87.15,2.79
34.28,74.44,1.16
33.6,75.02,1.33
28.26,75.37,1.2
22.25,85.8,2.9
26.52,71.81,1.75
26.77,92.6,3.42
25.5,83.85,2.32
13.62,76.42,2.73
22.25,88.67,2.94
9.17,92.83,2.9
22.55,85.82,2.72
24.92,75.58,1.99
22.03,82.7,2.37
20.78,86.73,2.73
19.97,79.3,2.14
26.2,92.52,3.46
25.78,84.73,2.41
13.0,80.18,2.17
13.07,80.25,2.18
25.25,91.73,4.03
22.1,79.0,2.04
13.25,75.75,3.73
14.23,76.43,2.77
24.88,74.63,2.11
24.65,83.1,2.26
28.25,74.92,1.18
11.0,76.97,2.34
11.03,77.05,2.28
21.78,87.75,2.86
26.33,89.47,2.99
11.77,79.77,2.13
14.48,78.83,2.04
20.47,85.93,2.62
20.22,73.05,3.06
22.52,88.78,2.93
25.68,85.35,2.5
26.84,79.53,1.73
11.15,75.82,2.36
17.31,78.87,2.32
26.92,79.21,1.69
30.4,74.9,1.01
29.66,77.45,1.26
22.97,86.05,2.74
22.15,70.58,3.22
29.39,76.99,1.23
24.04,79.1,1.92
30.73,76.79,1.19
28.43,75.51,1.19
27.72,96.23,3.71
26.57,94.7,3.71
24.05,86.9,2.78
25.88,87.13,2.71
28.16,75.46,1.21
25.68,93.23,3.6
21.43,71.22,3.19
25.3,93.72,4.09
28.68,73.12,1.09
24.88,78.97,1.86
11.83,76.07,3.26
27.22,93.12,3.42
28.78,96.27,3.13
22.22,78.43,2.11
25.68,94.3,4.08
24.47,86.25,2.71
29.98,77.1,1.22
24.79,79.08,1.87
24.52,84.95,2.51
20.68,86.85,2.74
28.75,73.99,1.09
25.07,75.5,1.97
26.22,87.02,2.67
28.67,96.15,3.22
11.4,79.7,2.08
17.6,78.75,2.4
21.52,73.65,2.97
16.45,74.33,3.22
25.17,82.53,2.2
15.58,79.88,2.31
26.63,94.92,3.72
19.07,79.07,2.12
22.12,77.5,2.17
24.05,86.15,2.72
23.18,76.97,2.14
27.93,79.28,1.6
17.56,78.22,2.33
10.97,77.28,2.06
17.29,78.03,2.46
27.12,79.41,1.69
10.7,76.75,2.07
17.23,79.13,2.29
23.67,76.23,2.17
24.45,85.17,2.54
18.72,72.9,3.17
12.5,76.3,3.06
26.5,75.67,1.6
21.1,85.33,2.62
21.7,79.68,2.13
22.12,76.9,2.18
30.69,76.09,1.13
26.72,94.23,3.67
25.27,87.22,2.75
13.63,74.7,2.66
20.5,85.83,2.61
19.97,72.72,3.14
32.53,75.97,1.16
24.05,84.07,2.44
23.83,79.45,1.96
26.17,85.9,2.52
27.05,88.27,3.14
25.67,78.47,1.77
24.2,72.2,2.5
30.32,78.03,1.18
24.92,84.18,2.4
16.38,73.35,3.02
23.78,86.43,2.75
22.6,75.3,2.61
12.13,78.03,2.01
32.27,76.38,1.13
26.67,77.83,1.63
26.02,89.98,3.08
26.15,89.92,3.07
22.18,88.2,2.91
27.48,95.02,3.67
21.83,87.78,2.86
20.72,70.92,3.35
22.83,74.27,2.71
17.72,83.3,2.62
24.27,87.25,2.8
23.83,73.67,2.54
21.18,81.28,2.27
23.48,87.32,2.8
22.37,69.08,3.48
26.12,92.87,3.52
29.9,78.55,1.15
32.86,74.9,1.4
17.91,78.01,2.28
24.48,71.73,2.48
30.27,80.52,2.48
32.58,74.93,1.36
26.91,79.6,1.73
26.1,90.78,3.2
24.93,92.77,3.51
24.03,84.07,2.44
20.42,72.85,3.12
26.31,79.3,1.77
30.22,74.17,0.96
34.17,74.9,1.36
32.65,74.9,1.37
24.73,79.21,1.88
26.63,92.8,3.48
34.33,74.38,1.16
24.02,85.55,2.72
28.45,72.5,1.16
25.33,88.32,2.88
30.75,76.15,1.14
27.9,96.3,3.68
28.02,96.23,3.5
25.75,75.38,1.8
18.25,77.1,2.27
25.74,79.16,1.82
23.13,78.68,2.02
27.98,79.42,1.62
26.17,85.0,2.41
29.73,78.47,1.36
23.43,73.75,2.59
20.03,75.03,2.73
33.13,75.98,1.35
29.86,78.64,1.15
26.92,71.37,1.67
30.66,76.83,1.2
24.6,92.83,3.51
33.27,74.55,1.12
17.65,77.47,2.32
30.58,76.82,1.19
25.98,87.13,2.7
24.42,85.98,2.67
28.93,76.17,1.19
33.53,74.22,1.05
29.93,78.74,1.24
24.37,92.17,3.39
26.7,77.9,1.62
29.91,78.7,1.2
25.6,75.61,1.83
21.48,85.82,3.06
33.58,74.09,0.91
26.47,92.47,3.44
19.3,75.67,2.52
22.98,71.47,2.9
22.57,70.42,3.26
23.57,76.78,2.12
32.74,74.81,1.41
24.15,78.23,1.93
28.39,75.63,1.19
28.35,75.64,1.2
16.22,73.83,2.89
27.13,94.77,3.7
26.17,93.57,3.67
17.94,78.68,2.39
20.17,84.85,2.65
27.1,79.95,1.76
26.35,89.9,3.05
27.27,93.07,3.4
32.56,74.92,1.36
24.53,84.92,2.51
12.17,76.6,2.88
15.68,74.97,3.19
34.27,74.47,1.16
34.45,74.41,1.2
34.39,73.79,1.05
21.07,83.2,2.43
18.02,78.9,2.37
34.37,73.98,1.89
23.75,86.17,2.7
16.05,73.92,2.94
23.42,91.67,3.31
29.08,74.68,1.08
28.87,75.45,1.14
25.32,86.02,2.61
25.55,84.15,2.35
23.98,86.02,2.69
22.97,74.12,2.69
24.76,79.05,1.87
23.13,84.85,2.74
