Latitude,Longitude,PTrain_LC1
22.95,88.55,2.94
32.94,74.39,1.51
24.07,79.08,2.24
24.18,72.03,1.84
20.45,72.88,2.14
26.8,79.25,2.09
21.67,87.35,2.92
25.7,92.02,3.64
25.28,74.67,2.01
30.19,76.63,1.72
27.14,79.75,2.1
20.62,83.35,2.73
20.9,77.6,2.22
24.27,73.38,2.23
25.55,84.87,2.6
26.05,77.37,2.0
27.07,88.2,3.08
11.68,77.13,2.74
31.28,76.25,1.64
26.7,88.48,2.85
20.43,85.98,2.86
22.13,84.8,2.81
22.68,84.55,2.94
24.63,93.77,3.77
26.05,86.98,2.74
34.4,74.32,1.69
19.02,72.85,2.13
27.25,92.4,3.84
14.6,76.68,2.44
17.89,78.46,2.52
34.01,74.64,1.82
26.82,94.83,3.4
27.87,96.37,3.42
32.65,74.82,1.55
24.1,92.6,3.31
34.48,74.24,1.78
17.33,78.41,2.57
23.35,92.83,3.7
27.35,73.1,1.66
30.19,76.51,1.71
22.36,88.12,2.95
34.53,76.2,2.5
34.38,74.99,2.17
24.02,87.15,2.89
34.28,74.44,1.7
33.6,75.02,1.87
28.26,75.37,1.74
22.25,85.8,3.15
26.52,71.81,1.65
26.77,92.6,3.19
25.5,83.85,2.52
13.62,76.42,2.58
22.25,88.67,2.98
9.17,92.83,3.04
22.55,85.82,2.93
24.92,75.58,2.05
22.03,82.7,2.63
20.78,86.73,2.9
19.97,79.3,2.32
26.2,92.52,3.17
25.78,84.73,2.58
13.0,80.18,2.4
13.07,80.25,2.41
25.25,91.73,4.0
22.1,79.0,2.36
13.25,75.75,3.01
14.23,76.43,2.62
24.88,74.63,2.06
24.65,83.1,2.57
28.25,74.92,1.71
11.0,76.97,2.32
11.03,77.05,2.31
21.78,87.75,2.95
26.33,89.47,2.92
11.77,79.77,2.33
14.48,78.83,2.33
20.47,85.93,2.85
20.22,73.05,2.14
22.52,88.78,2.98
25.68,85.35,2.63
26.84,79.53,2.1
11.15,75.82,2.07
17.31,78.87,2.52
26.92,79.21,2.08
30.4,74.9,1.6
29.66,77.45,1.8
22.97,86.05,2.94
22.15,70.58,2.03
29.39,76.99,1.79
24.04,79.1,2.25
30.73,76.79,1.7
28.43,75.51,1.74
27.72,96.23,3.37
26.57,94.7,3.48
24.05,86.9,2.91
25.88,87.13,2.75
28.16,75.46,1.76
25.68,93.23,3.37
21.43,71.22,2.07
25.3,93.72,3.98
28.68,73.12,1.55
