Latitude,Longitude,PTrain_LC1
22.95,88.55,1.75
32.94,74.39,0.64
24.07,79.08,0.28
24.18,72.03,0.44
20.45,72.88,0.94
26.8,79.25,0.43
21.67,87.35,1.81
25.7,92.02,1.71
25.28,74.67,0.26
30.19,76.63,0.58
27.14,79.75,0.47
20.62,83.35,0.73
20.9,77.6,0.28
24.27,73.38,0.16
25.55,84.87,0.77
26.05,77.37,0.33
27.07,88.2,1.34
11.68,77.13,1.23
31.28,76.25,0.77
26.7,88.48,1.29
20.43,85.98,1.56
22.13,84.8,0.77
22.68,84.55,0.47
24.63,93.77,1.66
26.05,86.98,1.14
34.4,74.32,1.39
19.02,72.85,1.15
27.25,92.4,2.17
14.6,76.68,0.92
17.89,78.46,0.44
34.01,74.64,1.46
26.82,94.83,2.0
27.87,96.37,2.21
32.65,74.82,0.63
24.1,92.6,1.91
34.48,74.24,1.46
17.33,78.41,0.52
23.35,92.83,1.57
27.35,73.1,0.42
30.19,76.51,0.58
22.36,88.12,1.87
34.53,76.2,1.82
34.38,74.99,1.61
24.02,87.15,1.21
34.28,74.44,1.39
33.6,75.02,1.47
28.26,75.37,0.48
22.25,85.8,0.74
26.52,71.81,0.39
26.77,92.6,1.93
25.5,83.85,0.6
13.62,76.42,1.01
22.25,88.67,1.93
9.17,92.83,2.65
22.55,85.82,0.95
24.92,75.58,0.25
22.03,82.7,0.36
20.78,86.73,1.77
19.97,79.3,0.37
26.2,92.52,1.97
25.78,84.73,0.74
13.0,80.18,2.12
13.07,80.25,2.15
25.25,91.73,1.8
22.1,79.0,0.32
13.25,75.75,1.02
14.23,76.43,0.92
24.88,74.63,0.24
24.65,83.1,0.39
28.25,74.92,0.48
11.0,76.97,1.47
11.03,77.05,1.47
21.78,87.75,1.84
26.33,89.47,1.55
11.77,79.77,2.17
14.48,78.83,1.49
20.47,85.93,1.55
20.22,73.05,0.89
22.52,88.78,1.87
25.68,85.35,0.86
26.84,79.53,0.45
11.15,75.82,2.06
17.31,78.87,0.68
26.92,79.21,0.44
30.4,74.9,0.55
29.66,77.45,0.58
22.97,86.05,0.93
22.15,70.58,0.5
29.39,76.99,0.54
24.04,79.1,0.28
30.73,76.79,0.65
28.43,75.51,0.49
27.72,96.23,2.1
26.57,94.7,1.96
24.05,86.9,1.09
25.88,87.13,1.18
28.16,75.46,0.49
25.68,93.23,1.85
21.43,71.22,0.57
25.3,93.72,1.94
28.68,73.12,0.47
24.88,78.97,0.31
11.83,76.07,1.25
27.22,93.12,2.05
28.78,96.27,2.17
22.22,78.43,0.23
25.68,94.3,2.1
24.47,86.25,0.83
29.98,77.1,0.59
24.79,79.08,0.31
24.52,84.95,0.71
20.68,86.85,1.82
28.75,73.99,0.48
25.07,75.5,0.24
26.22,87.02,1.14
28.67,96.15,2.36
11.4,79.7,2.18
17.6,78.75,0.5
21.52,73.65,0.45
16.45,74.33,0.74
25.17,82.53,0.43
15.58,79.88,1.75
26.63,94.92,1.98
19.07,79.07,0.53
22.12,77.5,0.15
24.05,86.15,0.82
23.18,76.97,0.15
27.93,79.28,0.5
17.56,78.22,0.49
10.97,77.28,1.51
17.29,78.03,0.47
27.12,79.41,0.46
10.7,76.75,1.8
17.23,79.13,0.79
23.67,76.23,0.18
24.45,85.17,0.73
18.72,72.9,1.09
12.5,76.3,1.15
26.5,75.67,0.36
21.1,85.33,1.02
21.7,79.68,0.22
22.12,76.9,0.24
30.69,76.09,0.59
26.72,94.23,2.03
25.27,87.22,1.24
13.63,74.7,1.92
20.5,85.83,1.49
19.97,72.72,1.02
32.53,75.97,1.36
24.05,84.07,0.52
23.83,79.45,0.3
26.17,85.9,0.96
27.05,88.27,1.62
25.67,78.47,0.33
24.2,72.2,0.41
30.32,78.03,0.86
24.92,84.18,0.61
16.38,73.35,1.51
23.78,86.43,0.94
22.6,75.3,0.11
12.13,78.03,1.32
32.27,76.38,1.18
26.67,77.83,0.38
26.02,89.98,1.66
26.15,89.92,1.64
22.18,88.2,1.91
27.48,95.02,2.09
21.83,87.78,1.85
20.72,70.92,0.86
22.83,74.27,0.26
17.72,83.3,1.53
24.27,87.25,1.19
23.83,73.67,0.28
21.18,81.28,0.26
23.48,87.32,1.4
22.37,69.08,0.66
26.12,92.87,2.0
29.9,78.55,1.03
32.86,74.9,0.71
17.91,78.01,0.44
24.48,71.73,0.48
30.27,80.52,0.3
32.58,74.93,0.64
26.91,79.6,0.45
26.1,90.78,1.78
24.93,92.77,2.07
24.03,84.07,0.52
20.42,72.85,0.96
26.31,79.3,0.4
30.22,74.17,0.53
34.17,74.9,1.42
32.65,74.9,0.65
24.73,79.21,0.32
26.63,92.8,2.01
34.33,74.38,1.39
24.02,85.55,0.61
28.45,72.5,0.46
25.33,88.32,1.37
30.75,76.15,0.6
27.9,96.3,2.11
28.02,96.23,2.22
25.75,75.38,0.3
18.25,77.1,0.4
25.74,79.16,0.36
23.13,78.68,0.23
27.98,79.42,0.51
26.17,85.0,0.8
29.73,78.47,0.65
23.43,73.75,0.46
20.03,75.03,0.27
33.13,75.98,1.44
29.86,78.64,1.1
26.92,71.37,0.43
30.66,76.83,0.63
24.6,92.83,2.08
33.27,74.55,1.07
17.65,77.47,0.44
30.58,76.82,0.62
25.98,87.13,1.17
24.42,85.98,0.79
28.93,76.17,0.51
33.53,74.22,1.32
29.93,78.74,0.92
24.37,92.17,2.09
26.7,77.9,0.38
29.91,78.7,0.98
25.6,75.61,0.3
21.48,85.82,0.71
33.58,74.09,1.27
26.47,92.47,1.97
19.3,75.67,0.38
22.98,71.47,0.55
22.57,70.42,0.64
23.57,76.78,0.17
32.74,74.81,0.63
24.15,78.23,0.23
28.39,75.63,0.49
28.35,75.64,0.49
16.22,73.83,1.39
27.13,94.77,2.08
26.17,93.57,1.88
17.94,78.68,0.42
20.17,84.85,1.14
27.1,79.95,0.48
26.35,89.9,1.61
27.27,93.07,2.03
32.56,74.92,0.64
24.53,84.92,0.72
12.17,76.6,1.21
15.68,74.97,0.76
34.27,74.47,1.39
34.45,74.41,1.44
34.39,73.79,1.29
21.07,83.2,0.59
18.02,78.9,0.43
34.37,73.98,1.15
23.75,86.17,0.91
16.05,73.92,1.33
23.42,91.67,2.13
29.08,74.68,0.49
28.87,75.45,0.5
25.32,86.02,1.0
25.55,84.15,0.64
23.98,86.02,0.84
22.97,74.12,0.31
24.76,79.05,0.31
23.13,84.85,0.46
20.0,76.3,0.26
27.5,95.75,2.09
16.73,76.92,0.67
21.7,74.03,-0.01
26.28,79.29,0.4
25.93,90.77,1.77
27.79,79.31,0.49
29.28,78.12,0.56
25.97,85.12,0.82
28.19,74.69,0.48
26.13,89.47,1.56
10.03,76.3,2.04
