Latitude,Longitude,PTrain_LC1
22.95,88.55,0.86
32.94,74.39,0.22
24.07,79.08,0.41
24.18,72.03,0.2
20.45,72.88,0.3
26.8,79.25,0.33
21.67,87.35,1.0
25.7,92.02,1.06
25.28,74.67,0.41
30.19,76.63,0.28
27.14,79.75,0.29
20.62,83.35,0.73
20.9,77.6,0.49
24.27,73.38,0.28
25.55,84.87,0.61
26.05,77.37,0.43
27.07,88.2,0.92
11.68,77.13,2.42
31.28,76.25,0.23
26.7,88.48,0.85
20.43,85.98,0.98
22.13,84.8,0.68
22.68,84.55,0.69
24.63,93.77,1.14
26.05,86.98,0.73
34.4,74.32,0.42
19.02,72.85,0.43
27.25,92.4,0.99
14.6,76.68,1.49
17.89,78.46,0.94
34.01,74.64,0.44
26.82,94.83,1.18
27.87,96.37,1.19
32.65,74.82,0.21
24.1,92.6,1.02
34.48,74.24,0.45
17.33,78.41,1.05
23.35,92.83,1.14
27.35,73.1,0.46
30.19,76.51,0.28
22.36,88.12,0.97
34.53,76.2,1.06
34.38,74.99,0.7
24.02,87.15,0.71
34.28,74.44,0.4
33.6,75.02,0.43
28.26,75.37,0.43
22.25,85.8,0.8
26.52,71.81,0.41
26.77,92.6,1.06
25.5,83.85,0.56
13.62,76.42,1.79
22.25,88.67,1.01
9.17,92.83,3.82
22.55,85.82,0.73
24.92,75.58,0.41
22.03,82.7,0.59
20.78,86.73,1.05
19.97,79.3,0.56
26.2,92.52,1.0
25.78,84.73,0.62
13.0,80.18,1.89
13.07,80.25,1.89
25.25,91.73,1.01
22.1,79.0,0.45
13.25,75.75,2.03
14.23,76.43,1.67
24.88,74.63,0.38
24.65,83.1,0.58
28.25,74.92,0.44
11.0,76.97,2.15
11.03,77.05,2.13
21.78,87.75,1.01
26.33,89.47,0.85
11.77,79.77,2.06
14.48,78.83,1.42
20.47,85.93,0.97
20.22,73.05,0.32
22.52,88.78,0.95
25.68,85.35,0.64
26.84,79.53,0.31
11.15,75.82,1.75
17.31,78.87,1.01
26.92,79.21,0.33
30.4,74.9,0.27
29.66,77.45,0.29
22.97,86.05,0.72
22.15,70.58,0.12
29.39,76.99,0.32
24.04,79.1,0.41
30.73,76.79,0.25
28.43,75.51,0.42
27.72,96.23,1.19
26.57,94.7,1.19
24.05,86.9,0.71
25.88,87.13,0.72
28.16,75.46,0.44
25.68,93.23,1.07
21.43,71.22,0.17
25.3,93.72,1.13
28.68,73.12,0.42
24.88,78.97,0.39
11.83,76.07,2.18
27.22,93.12,1.17
28.78,96.27,0.9
22.22,78.43,0.5
25.68,94.3,1.14
24.47,86.25,0.72
29.98,77.1,0.28
24.79,79.08,0.38
24.52,84.95,0.62
20.68,86.85,1.08
28.75,73.99,0.4
25.07,75.5,0.43
26.22,87.02,0.74
28.67,96.15,1.02
11.4,79.7,2.1
17.6,78.75,1.01
21.52,73.65,0.26
16.45,74.33,0.99
25.17,82.53,0.48
15.58,79.88,1.38
26.63,94.92,1.2
19.07,79.07,0.63
22.12,77.5,0.5
24.05,86.15,0.71
23.18,76.97,0.45
27.93,79.28,0.3
17.56,78.22,0.98
10.97,77.28,2.08
17.29,78.03,1.08
27.12,79.41,0.31
10.7,76.75,1.94
17.23,79.13,1.02
23.67,76.23,0.4
24.45,85.17,0.63
18.72,72.9,0.47
12.5,76.3,2.08
26.5,75.67,0.46
21.1,85.33,0.81
21.7,79.68,0.5
22.12,76.9,0.42
30.69,76.09,0.25
26.72,94.23,1.11
25.27,87.22,0.69
13.63,74.7,1.3
20.5,85.83,0.95
19.97,72.72,0.33
32.53,75.97,0.27
24.05,84.07,0.59
23.83,79.45,0.38
26.17,85.9,0.69
27.05,88.27,0.75
25.67,78.47,0.39
24.2,72.2,0.21
30.32,78.03,0.24
24.92,84.18,0.58
16.38,73.35,0.79
23.78,86.43,0.71
22.6,75.3,0.36
12.13,78.03,1.96
32.27,76.38,0.23
26.67,77.83,0.4
26.02,89.98,0.86
26.15,89.92,0.86
22.18,88.2,1.01
27.48,95.02,1.16
21.83,87.78,1.01
20.72,70.92,0.2
22.83,74.27,0.26
17.72,83.3,1.34
24.27,87.25,0.72
23.83,73.67,0.25
21.18,81.28,0.59
23.48,87.32,0.74
22.37,69.08,0.08
26.12,92.87,1.01
29.9,78.55,0.19
32.86,74.9,0.23
17.91,78.01,0.91
24.48,71.73,0.2
30.27,80.52,0.78
32.58,74.93,0.21
26.91,79.6,0.31
26.1,90.78,0.9
24.93,92.77,0.95
24.03,84.07,0.59
20.42,72.85,0.3
26.31,79.3,0.33
30.22,74.17,0.28
34.17,74.9,0.47
32.65,74.9,0.22
24.73,79.21,0.38
26.63,92.8,1.03
34.33,74.38,0.41
24.02,85.55,0.72
28.45,72.5,0.43
25.33,88.32,0.75
30.75,76.15,0.25
27.9,96.3,1.19
28.02,96.23,1.19
25.75,75.38,0.44
18.25,77.1,0.85
25.74,79.16,0.35
23.13,78.68,0.42
27.98,79.42,0.29
26.17,85.0,0.64
29.73,78.47,0.27
23.43,73.75,0.21
20.03,75.03,0.52
33.13,75.98,0.43
29.86,78.64,0.16
26.92,71.37,0.43
30.66,76.83,0.25
24.6,92.83,0.96
33.27,74.55,0.27
17.65,77.47,0.97
30.58,76.82,0.26
25.98,87.13,0.73
24.42,85.98,0.7
28.93,76.17,0.37
33.53,74.22,0.3
29.93,78.74,0.22
24.37,92.17,0.95
26.7,77.9,0.4
29.91,78.7,0.21
25.6,75.61,0.43
21.48,85.82,0.9
33.58,74.09,0.28
26.47,92.47,1.01
19.3,75.67,0.61
22.98,71.47,0.14
22.57,70.42,0.11
23.57,76.78,0.43
32.74,74.81,0.22
24.15,78.23,0.43
28.39,75.63,0.42
28.35,75.64,0.42
16.22,73.83,0.84
27.13,94.77,1.14
26.17,93.57,1.16
17.94,78.68,0.96
20.17,84.85,0.96
27.1,79.95,0.28
26.35,89.9,0.89
27.27,93.07,1.18
32.56,74.92,0.21
24.53,84.92,0.61
12.17,76.6,2.14
15.68,74.97,1.23
34.27,74.47,0.41
34.45,74.41,0.45
34.39,73.79,0.36
21.07,83.2,0.67
18.02,78.9,0.95
34.37,73.98,0.82
23.75,86.17,0.68
16.05,73.92,0.89
23.42,91.67,1.04
29.08,74.68,0.38
28.87,75.45,0.39
25.32,86.02,0.65
25.55,84.15,0.58
23.98,86.02,0.69
22.97,74.12,0.24
24.76,79.05,0.39
23.13,84.85,0.71
20.0,76.3,0.59
27.5,95.75,1.17
16.73,76.92,0.98
21.7,74.03,0.28
26.28,79.29,0.33
25.93,90.77,0.9
27.79,79.31,0.3
29.28,78.12,0.29
25.97,85.12,0.64
28.19,74.69,0.45
26.13,89.47,0.84
10.03,76.3,1.94
11.22,76.15,1.78
13.07,80.26,1.9
17.58,78.54,1.04
13.25,80.33,1.87
13.13,80.25,1.88
8.18,77.63,2.27
26.75,82.08,0.44
25.93,80.83,0.34
30.92,74.67,0.23
26.3,87.27,0.76
22.37,88.78,0.99
16.28,78.68,1.32
30.72,76.77,0.25
26.35,79.23,0.34
25.77,75.63,0.44
24.18,92.02,0.95
11.18,75.85,1.77
17.84,78.12,0.93
15.42,75.63,1.32
27.33,88.62,0.8
16.53,80.8,1.24
24.75,84.95,0.61
25.4,83.55,0.55
22.77,83.97,0.69
27.13,81.97,0.42
21.47,80.2,0.53
19.27,84.88,1.16
26.75,83.37,0.55
17.35,76.85,0.92
34.05,74.4,0.55
24.65,77.32,0.45
28.42,77.0,0.38
26.1,91.58,0.94
26.23,78.25,0.39
15.42,75.62,1.32
27.23,79.28,0.32
33.89,74.29,0.39
24.05,76.45,0.42
25.58,76.3,0.42
15.73,75.98,1.27
16.27,76.83,1.09
23.52,74.0,0.23
