Latitude,Longitude,PTrain_LC1
22.95,88.55,3.51
32.94,74.39,1.54
24.07,79.08,3.65
24.18,72.03,3.29
20.45,72.88,3.36
26.8,79.25,3.17
21.67,87.35,3.31
25.7,92.02,4.94
25.28,74.67,3.43
30.19,76.63,2.29
27.14,79.75,3.17
20.62,83.35,3.37
20.9,77.6,3.24
24.27,73.38,3.81
25.55,84.87,3.81
26.05,77.37,3.18
27.07,88.2,4.78
11.68,77.13,2.99
31.28,76.25,2.22
26.7,88.48,4.19
20.43,85.98,3.23
22.13,84.8,3.6
22.68,84.55,3.93
24.63,93.77,4.95
26.05,86.98,3.97
34.4,74.32,2.35
19.02,72.85,3.23
27.25,92.4,5.36
14.6,76.68,2.72
17.89,78.46,3.16
34.01,74.64,2.68
26.82,94.83,5.09
27.87,96.37,5.57
32.65,74.82,1.65
24.1,92.6,4.1
34.48,74.24,2.55
17.33,78.41,3.14
23.35,92.83,4.39
27.35,73.1,2.77
30.19,76.51,2.28
22.36,88.12,3.38
34.53,76.2,3.65
34.38,74.99,3.23
24.02,87.15,3.77
34.28,74.44,2.39
33.6,75.02,2.84
28.26,75.37,2.68
22.25,85.8,3.9
26.52,71.81,2.96
26.77,92.6,4.6
25.5,83.85,3.75
13.62,76.42,2.91
22.25,88.67,3.39
9.17,92.83,2.92
22.55,85.82,3.67
24.92,75.58,3.4
22.03,82.7,3.61
20.78,86.73,3.24
19.97,79.3,3.14
26.2,92.52,4.45
25.78,84.73,3.81
13.0,80.18,2.41
13.07,80.25,2.42
25.25,91.73,5.24
22.1,79.0,3.87
13.25,75.75,3.76
14.23,76.43,3.03
24.88,74.63,3.49
24.65,83.1,3.91
28.25,74.92,2.66
11.0,76.97,2.29
11.03,77.05,2.24
21.78,87.75,3.33
26.33,89.47,4.16
11.77,79.77,2.31
14.48,78.83,2.38
20.47,85.93,3.23
20.22,73.05,3.33
22.52,88.78,3.44
25.68,85.35,3.84
26.84,79.53,3.19
11.15,75.82,2.26
17.31,78.87,2.98
26.92,79.21,3.15
30.4,74.9,2.01
29.66,77.45,2.51
22.97,86.05,3.74
22.15,70.58,3.6
29.39,76.99,2.5
24.04,79.1,3.66
30.73,76.79,2.25
28.43,75.51,2.63
27.72,96.23,5.26
26.57,94.7,5.17
24.05,86.9,3.84
25.88,87.13,3.95
28.16,75.46,2.75
25.68,93.23,4.65
21.43,71.22,3.53
25.3,93.72,5.36
28.68,73.12,2.28
24.88,78.97,3.45
11.83,76.07,3.09
27.22,93.12,5.21
28.78,96.27,5.47
22.22,78.43,3.92
25.68,94.3,5.52
24.47,86.25,4.05
29.98,77.1,2.4
24.79,79.08,3.5
24.52,84.95,3.83
20.68,86.85,3.22
28.75,73.99,2.36
25.07,75.5,3.5
26.22,87.02,3.98
28.67,96.15,5.58
11.4,79.7,2.25
17.6,78.75,3.16
21.52,73.65,3.57
16.45,74.33,3.42
25.17,82.53,3.65
15.58,79.88,2.66
26.63,94.92,5.25
19.07,79.07,2.95
22.12,77.5,3.62
24.05,86.15,3.97
23.18,76.97,3.59
27.93,79.28,3.0
17.56,78.22,3.1
10.97,77.28,2.07
17.29,78.03,3.24
27.12,79.41,3.15
10.7,76.75,2.05
17.23,79.13,2.91
23.67,76.23,3.52
24.45,85.17,3.87
18.72,72.9,3.27
12.5,76.3,3.04
26.5,75.67,3.1
21.1,85.33,3.45
21.7,79.68,3.57
22.12,76.9,3.29
30.69,76.09,2.12
26.72,94.23,4.85
25.27,87.22,3.87
13.63,74.7,2.56
20.5,85.83,3.24
19.97,72.72,3.32
32.53,75.97,3.23
24.05,84.07,3.83
23.83,79.45,3.63
26.17,85.9,3.89
27.05,88.27,5.28
25.67,78.47,3.31
24.2,72.2,3.33
30.32,78.03,2.8
24.92,84.18,3.79
16.38,73.35,2.96
23.78,86.43,3.86
22.6,75.3,3.84
12.13,78.03,2.18
32.27,76.38,2.65
26.67,77.83,3.09
26.02,89.98,4.14
26.15,89.92,4.17
22.18,88.2,3.36
27.48,95.02,5.01
21.83,87.78,3.33
20.72,70.92,3.47
22.83,74.27,3.64
17.72,83.3,3.08
24.27,87.25,3.83
23.83,73.67,3.55
21.18,81.28,3.5
23.48,87.32,3.62
