Latitude,Longitude,PTrain_AC1
22.95,88.55,1.91
32.94,74.39,2.93
24.07,79.08,1.08
24.18,72.03,1.17
20.45,72.88,1.33
26.8,79.25,1.39
21.67,87.35,1.92
25.7,92.02,2.14
25.28,74.67,1.3
30.19,76.63,2.13
27.14,79.75,1.42
20.62,83.35,1.42
20.9,77.6,0.9
24.27,73.38,1.14
25.55,84.87,1.67
26.05,77.37,1.39
27.07,88.2,2.13
11.68,77.13,2.2
31.28,76.25,2.56
26.7,88.48,2.01
20.43,85.98,1.81
22.13,84.8,1.51
22.68,84.55,1.44
24.63,93.77,2.09
26.05,86.98,1.89
34.4,74.32,4.26
19.02,72.85,1.43
27.25,92.4,2.57
14.6,76.68,1.57
17.89,78.46,1.14
34.01,74.64,4.34
26.82,94.83,2.28
27.87,96.37,2.44
32.65,74.82,2.86
24.1,92.6,2.09
34.48,74.24,4.4
17.33,78.41,1.23
23.35,92.83,2.0
27.35,73.1,1.6
30.19,76.51,2.13
22.36,88.12,1.96
34.53,76.2,4.98
34.38,74.99,4.76
24.02,87.15,1.77
34.28,74.44,4.23
33.6,75.02,4.3
28.26,75.37,1.78
22.25,85.8,1.57
26.52,71.81,1.44
26.77,92.6,2.26
25.5,83.85,1.56
13.62,76.42,1.78
22.25,88.67,1.98
9.17,92.83,3.79
22.55,85.82,1.62
24.92,75.58,1.27
22.03,82.7,1.26
20.78,86.73,1.9
19.97,79.3,0.97
26.2,92.52,2.22
25.78,84.73,1.67
13.0,80.18,2.61
13.07,80.25,2.62
25.25,91.73,2.09
22.1,79.0,0.88
13.25,75.75,1.85
14.23,76.43,1.64
24.88,74.63,1.25
24.65,83.1,1.41
28.25,74.92,1.78
11.0,76.97,2.59
11.03,77.05,2.57
21.78,87.75,1.94
26.33,89.47,2.07
11.77,79.77,2.88
14.48,78.83,1.98
20.47,85.93,1.79
20.22,73.05,1.3
22.52,88.78,1.96
25.68,85.35,1.73
26.84,79.53,1.38
11.15,75.82,2.92
17.31,78.87,1.34
26.92,79.21,1.42
30.4,74.9,2.18
29.66,77.45,2.01
22.97,86.05,1.63
22.15,70.58,1.1
29.39,76.99,1.94
24.04,79.1,1.08
30.73,76.79,2.3
28.43,75.51,1.8
27.72,96.23,2.29
26.57,94.7,2.28
24.05,86.9,1.74
25.88,87.13,1.89
28.16,75.46,1.77
25.68,93.23,2.18
21.43,71.22,1.12
25.3,93.72,2.2
28.68,73.12,1.84
24.88,78.97,1.17
11.83,76.07,2.35
27.22,93.12,2.4
28.78,96.27,2.92
22.22,78.43,0.96
25.68,94.3,2.3
24.47,86.25,1.69
29.98,77.1,2.08
24.79,79.08,1.15
24.52,84.95,1.59
20.68,86.85,1.92
28.75,73.99,1.85
25.07,75.5,1.29
26.22,87.02,1.9
28.67,96.15,2.78
11.4,79.7,2.95
17.6,78.75,1.23
21.52,73.65,1.15
16.45,74.33,1.43
25.17,82.53,1.38
15.58,79.88,2.06
26.63,94.92,2.29
19.07,79.07,1.07
22.12,77.5,0.97
24.05,86.15,1.65
23.18,76.97,1.08
27.93,79.28,1.59
17.56,78.22,1.17
10.97,77.28,2.58
17.29,78.03,1.17
27.12,79.41,1.44
10.7,76.75,2.84
17.23,79.13,1.41
23.67,76.23,1.14
24.45,85.17,1.6
18.72,72.9,1.43
12.5,76.3,2.09
26.5,75.67,1.49
21.1,85.33,1.6
21.7,79.68,0.9
22.12,76.9,1.01
30.69,76.09,2.26
26.72,94.23,2.27
25.27,87.22,1.85
13.63,74.7,2.33
20.5,85.83,1.77
19.97,72.72,1.36
32.53,75.97,3.88
24.05,84.07,1.47
23.83,79.45,1.02
26.17,85.9,1.82
27.05,88.27,2.37
25.67,78.47,1.29
24.2,72.2,1.17
30.32,78.03,2.39
24.92,84.18,1.55
16.38,73.35,1.77
23.78,86.43,1.68
22.6,75.3,1.05
12.13,78.03,2.21
32.27,76.38,3.37
26.67,77.83,1.45
26.02,89.98,2.08
26.15,89.92,2.09
22.18,88.2,1.98
27.48,95.02,2.31
21.83,87.78,1.94
20.72,70.92,1.25
22.83,74.27,1.11
17.72,83.3,1.92
24.27,87.25,1.78
23.83,73.67,1.15
21.18,81.28,1.1
23.48,87.32,1.8
22.37,69.08,1.16
26.12,92.87,2.22
29.9,78.55,2.49
32.86,74.9,3.01
17.91,78.01,1.08
24.48,71.73,1.2
30.27,80.52,3.37
32.58,74.93,2.84
26.91,79.6,1.39
26.1,90.78,2.13
24.93,92.77,2.15
24.03,84.07,1.47
20.42,72.85,1.34
26.31,79.3,1.32
30.22,74.17,2.13
34.17,74.9,4.33
32.65,74.9,2.88
24.73,79.21,1.13
26.63,92.8,2.26
34.33,74.38,4.24
24.02,85.55,1.58
28.45,72.5,1.79
25.33,88.32,1.92
30.75,76.15,2.28
27.9,96.3,2.31
28.02,96.23,2.47
25.75,75.38,1.38
18.25,77.1,0.94
25.74,79.16,1.25
23.13,78.68,0.99
27.98,79.42,1.59
26.17,85.0,1.74
29.73,78.47,2.05
23.43,73.75,1.18
20.03,75.03,1.01
33.13,75.98,4.26
29.86,78.64,2.59
26.92,71.37,1.5
30.66,76.83,2.27
24.6,92.83,2.14
33.27,74.55,3.5
17.65,77.47,1.04
30.58,76.82,2.25
25.98,87.13,1.89
24.42,85.98,1.66
28.93,76.17,1.87
33.53,74.22,3.92
29.93,78.74,2.35
24.37,92.17,2.12
26.7,77.9,1.45
29.91,78.7,2.42
25.6,75.61,1.36
21.48,85.82,1.57
33.58,74.09,3.79
26.47,92.47,2.24
19.3,75.67,1.02
22.98,71.47,1.14
22.57,70.42,1.18
23.57,76.78,1.12
32.74,74.81,2.89
24.15,78.23,1.13
28.39,75.63,1.8
28.35,75.64,1.79
16.22,73.83,1.71
27.13,94.77,2.29
26.17,93.57,2.25
17.94,78.68,1.15
20.17,84.85,1.67
27.1,79.95,1.4
26.35,89.9,2.1
27.27,93.07,2.39
32.56,74.92,2.83
24.53,84.92,1.59
12.17,76.6,2.18
15.68,74.97,1.49
34.27,74.47,4.22
34.45,74.41,4.37
34.39,73.79,4.06
21.07,83.2,1.36
18.02,78.9,1.17
34.37,73.98,4.35
23.75,86.17,1.65
16.05,73.92,1.72
23.42,91.67,2.1
29.08,74.68,1.9
28.87,75.45,1.87
25.32,86.02,1.76
25.55,84.15,1.59
23.98,86.02,1.65
22.97,74.12,1.13
24.76,79.05,1.15
23.13,84.85,1.47
20.0,76.3,0.94
27.5,95.75,2.29
