Latitude,Longitude,PTrain_AC1
22.95,88.55,1.76
32.94,74.39,3.18
24.07,79.08,1.23
24.18,72.03,0.75
20.45,72.88,0.86
26.8,79.25,1.33
21.67,87.35,1.98
25.7,92.02,2.59
25.28,74.67,1.18
30.19,76.63,2.19
27.14,79.75,1.37
20.62,83.35,1.2
20.9,77.6,0.92
24.27,73.38,0.96
25.55,84.87,1.47
26.05,77.37,1.29
27.07,88.2,2.92
11.68,77.13,2.43
31.28,76.25,2.68
26.7,88.48,2.01
20.43,85.98,1.7
22.13,84.8,1.27
22.68,84.55,1.37
24.63,93.77,2.5
26.05,86.98,1.65
34.4,74.32,4.58
19.02,72.85,0.9
27.25,92.4,3.43
14.6,76.68,1.73
17.89,78.46,1.22
34.01,74.64,4.42
26.82,94.83,3.04
27.87,96.37,4.32
32.65,74.82,3.02
24.1,92.6,1.91
34.48,74.24,4.69
17.33,78.41,1.26
23.35,92.83,2.13
27.35,73.1,1.59
30.19,76.51,2.19
22.36,88.12,2.02
34.53,76.2,5.22
34.38,74.99,4.83
24.02,87.15,1.48
34.28,74.44,4.51
33.6,75.02,4.21
28.26,75.37,1.81
22.25,85.8,1.5
26.52,71.81,1.31
26.77,92.6,2.36
25.5,83.85,1.44
13.62,76.42,1.87
22.25,88.67,2.04
9.17,92.83,3.81
22.55,85.82,1.42
24.92,75.58,1.1
22.03,82.7,1.15
20.78,86.73,1.92
19.97,79.3,1.04
26.2,92.52,2.05
25.78,84.73,1.52
13.0,80.18,2.52
13.07,80.25,2.52
25.25,91.73,2.65
22.1,79.0,1.29
13.25,75.75,1.66
14.23,76.43,1.7
24.88,74.63,1.08
24.65,83.1,1.51
28.25,74.92,1.82
11.0,76.97,2.81
11.03,77.05,2.83
21.78,87.75,2.01
26.33,89.47,1.83
11.77,79.77,2.86
14.48,78.83,1.93
20.47,85.93,1.67
20.22,73.05,0.79
22.52,88.78,1.93
25.68,85.35,1.5
26.84,79.53,1.33
11.15,75.82,2.87
17.31,78.87,1.26
26.92,79.21,1.35
30.4,74.9,2.2
29.66,77.45,2.06
22.97,86.05,1.43
22.15,70.58,0.6
29.39,76.99,1.97
24.04,79.1,1.24
30.73,76.79,2.4
28.43,75.51,1.82
27.72,96.23,3.76
26.57,94.7,3.11
24.05,86.9,1.49
25.88,87.13,1.6
28.16,75.46,1.82
25.68,93.23,2.25
21.43,71.22,0.58
25.3,93.72,2.97
28.68,73.12,1.79
24.88,78.97,1.18
11.83,76.07,2.2
27.22,93.12,3.42
28.78,96.27,4.39
22.22,78.43,1.33
25.68,94.3,3.3
24.47,86.25,1.57
29.98,77.1,2.14
24.79,79.08,1.19
24.52,84.95,1.37
20.68,86.85,1.96
28.75,73.99,1.83
25.07,75.5,1.21
26.22,87.02,1.69
28.67,96.15,4.63
11.4,79.7,2.98
17.6,78.75,1.23
21.52,73.65,0.7
16.45,74.33,0.95
25.17,82.53,1.33
15.58,79.88,1.84
26.63,94.92,3.25
19.07,79.07,1.08
22.12,77.5,1.07
24.05,86.15,1.5
23.18,76.97,1.04
27.93,79.28,1.56
17.56,78.22,1.25
10.97,77.28,2.93
17.29,78.03,1.29
27.12,79.41,1.39
10.7,76.75,3.04
17.23,79.13,1.28
23.67,76.23,0.97
24.45,85.17,1.4
18.72,72.9,0.87
12.5,76.3,2.07
26.5,75.67,1.41
21.1,85.33,1.39
21.7,79.68,1.13
22.12,76.9,0.82
30.69,76.09,2.33
26.72,94.23,2.63
25.27,87.22,1.47
13.63,74.7,1.99
20.5,85.83,1.64
19.97,72.72,0.86
32.53,75.97,3.69
24.05,84.07,1.34
23.83,79.45,1.15
26.17,85.9,1.63
27.05,88.27,3.17
25.67,78.47,1.24
24.2,72.2,0.77
30.32,78.03,2.5
24.92,84.18,1.38
16.38,73.35,1.22
23.78,86.43,1.47
22.6,75.3,0.83
12.13,78.03,2.59
32.27,76.38,3.38
26.67,77.83,1.36
26.02,89.98,1.77
26.15,89.92,1.81
22.18,88.2,2.09
27.48,95.02,3.16
21.83,87.78,2.01
20.72,70.92,0.72
22.83,74.27,0.74
17.72,83.3,1.8
24.27,87.25,1.49
23.83,73.67,0.81
21.18,81.28,1.12
23.48,87.32,1.54
22.37,69.08,0.72
26.12,92.87,2.07
29.9,78.55,2.58
32.86,74.9,3.19
17.91,78.01,1.23
24.48,71.73,0.78
30.27,80.52,3.33
32.58,74.93,3.0
26.91,79.6,1.34
26.1,90.78,1.84
24.93,92.77,1.81
24.03,84.07,1.33
20.42,72.85,0.87
26.31,79.3,1.25
30.22,74.17,2.13
34.17,74.9,4.48
32.65,74.9,3.04
24.73,79.21,1.18
26.63,92.8,2.22
34.33,74.38,4.54
24.02,85.55,1.62
28.45,72.5,1.72
25.33,88.32,1.56
30.75,76.15,2.35
27.9,96.3,3.86
28.02,96.23,4.35
25.75,75.38,1.27
18.25,77.1,1.24
25.74,79.16,1.19
23.13,78.68,1.06
27.98,79.42,1.56
26.17,85.0,1.62
29.73,78.47,2.13
23.43,73.75,0.77
20.03,75.03,0.69
33.13,75.98,4.05
29.86,78.64,2.64
26.92,71.37,1.4
30.66,76.83,2.36
24.6,92.83,1.81
33.27,74.55,3.71
17.65,77.47,1.3
30.58,76.82,2.33
25.98,87.13,1.62
24.42,85.98,1.54
28.93,76.17,1.87
33.53,74.22,4.05
29.93,78.74,2.44
24.37,92.17,1.8
26.7,77.9,1.37
29.91,78.7,2.51
25.6,75.61,1.18
21.48,85.82,1.55
33.58,74.09,4.08
26.47,92.47,2.12
19.3,75.67,0.8
22.98,71.47,0.68
22.57,70.42,0.78
23.57,76.78,1.04
32.74,74.81,3.06
24.15,78.23,1.18
28.39,75.63,1.83
28.35,75.64,1.82
16.22,73.83,1.2
27.13,94.77,2.91
26.17,93.57,2.91
17.94,78.68,1.22
20.17,84.85,1.53
27.1,79.95,1.35
26.35,89.9,1.89
27.27,93.07,3.39
32.56,74.92,2.99
24.53,84.92,1.36
12.17,76.6,2.24
15.68,74.97,1.13
34.27,74.47,4.51
34.45,74.41,4.65
34.39,73.79,4.48
21.07,83.2,1.16
18.02,78.9,1.21
34.37,73.98,4.72
23.75,86.17,1.41
16.05,73.92,1.2
23.42,91.67,2.04
29.08,74.68,1.89
28.87,75.45,1.86
25.32,86.02,1.44
25.55,84.15,1.46
23.98,86.02,1.45
22.97,74.12,0.75
24.76,79.05,1.2
23.13,84.85,1.51
20.0,76.3,0.89
27.5,95.75,3.41
16.73,76.92,1.38
21.7,74.03,0.7
26.28,79.29,1.25
25.93,90.77,1.83
27.79,79.31,1.52
29.28,78.12,1.92
25.97,85.12,1.56
28.19,74.69,1.82
26.13,89.47,1.77
10.03,76.3,3.3
11.22,76.15,2.83
13.07,80.26,2.52
17.58,78.54,1.25
13.25,80.33,2.48
13.13,80.25,2.5
8.18,77.63,4.06
26.75,82.08,1.59
25.93,80.83,1.27
30.92,74.67,2.33
26.3,87.27,1.74
22.37,88.78,1.99
16.28,78.68,1.37
30.72,76.77,2.39
26.35,79.23,1.26
25.77,75.63,1.26
24.18,92.02,1.83
11.18,75.85,2.84
17.84,78.12,1.23
15.42,75.63,1.3
27.33,88.62,3.37
16.53,80.8,1.71
24.75,84.95,1.38
25.4,83.55,1.41
22.77,83.97,1.45
27.13,81.97,1.65
21.47,80.2,1.11
19.27,84.88,1.87
26.75,83.37,1.71
17.35,76.85,1.29
34.05,74.4,4.54
24.65,77.32,1.28
28.42,77.0,1.77
26.1,91.58,1.92
26.23,78.25,1.31
15.42,75.62,1.29
27.23,79.28,1.42
33.89,74.29,4.41
24.05,76.45,1.03
25.58,76.3,1.16
15.73,75.98,1.33
16.27,76.83,1.44
23.52,74.0,0.76
20.1,84.57,1.5
9.92,77.53,3.34
34.16,74.57,4.45
30.65,78.85,3.04
27.85,78.47,1.58
14.55,78.73,1.9
29.9,78.68,2.67
26.01,79.38,1.21
32.79,74.77,3.08
29.97,78.53,2.57
26.7,94.12,2.58
17.61,78.47,1.25
27.72,79.65,1.5
22.77,87.8,1.81
23.28,84.55,1.54
20.88,73.72,0.65
28.3,75.71,1.82
22.9,88.16,1.79
20.13,78.32,1.03
29.85,77.05,2.1
25.22,87.17,1.47
23.95,87.1,1.48
22.7,70.65,0.76
27.22,73.47,1.58
30.72,75.98,2.34
32.98,74.41,3.26
28.36,74.9,1.83
27.7,79.57,1.49
20.67,79.13,1.03
22.25,88.5,2.01
33.26,74.14,3.75
27.32,84.32,1.99
23.27,87.97,1.66
31.52,76.02,2.64
27.98,72.25,1.62
24.9,72.83,0.95
20.72,70.99,0.74
34.08,74.57,4.4
14.97,78.25,1.75
34.1,74.58,4.4
21.92,85.37,1.48
22.02,69.92,0.57
22.26,88.97,2.05
22.86,88.04,1.8
16.75,77.3,1.38
25.73,75.54,1.25
19.92,77.05,1.01
25.93,85.33,1.55
18.17,73.3,0.94
21.33,69.9,0.67
16.72,75.43,1.08
17.21,78.9,1.27
14.83,76.63,1.65
25.96,75.59,1.28
12.84,80.06,2.54
25.6,85.2,1.48
18.98,84.02,1.54
20.37,83.37,1.23
17.63,80.93,1.41
22.55,72.22,0.87
20.28,84.7,1.47
14.98,74.92,1.31
15.17,77.38,1.71
16.28,76.62,1.4
24.67,84.77,1.36
30.64,76.81,2.35
30.1,79.97,2.77
28.07,94.57,4.04
24.67,75.6,1.13
18.02,79.57,1.2
27.38,80.17,1.41
17.82,73.1,1.01
13.0,76.15,1.87
28.08,96.5,4.55
23.98,85.37,1.66
29.17,75.73,1.94
14.28,74.45,1.78
22.77,77.77,0.95
10.58,92.55,3.53
17.45,78.47,1.25
9.5,76.63,3.5
15.8,76.98,1.56
15.02,75.95,1.47
30.03,77.89,2.52
28.18,75.39,1.81
34.28,74.2,4.64
13.0,75.7,1.74
33.39,74.23,3.94
27.65,79.95,1.47
15.43,75.8,1.34
26.86,79.06,1.34
31.03,78.73,3.15
22.57,75.82,0.89
34.53,75.13,5.01
24.6,87.08,1.51
17.55,75.9,1.05
22.62,86.13,1.46
23.67,84.95,1.5
26.39,79.48,1.24
26.53,75.87,1.46
13.95,76.62,1.85
29.93,78.52,2.57
26.0,92.87,2.04
14.03,75.68,1.62
13.54,77.3,2.15
27.57,93.85,3.95
12.82,77.03,2.21
13.23,77.12,2.14
16.47,76.53,1.35
34.3,74.25,4.6
28.78,95.88,4.66
24.53,84.02,1.35
30.17,76.54,2.18
27.68,76.45,1.78
25.05,84.63,1.38
27.6,78.05,1.54
26.27,91.37,1.92
23.83,73.03,0.78
24.77,93.9,2.56
22.72,75.8,0.89
17.69,78.87,1.22
27.16,79.27,1.41
29.84,78.75,2.75
24.68,74.13,1.05
27.68,74.07,1.69
11.57,75.6,2.71
11.77,79.38,2.81
27.24,79.44,1.41
34.65,76.02,5.37
30.1,77.75,2.2
20.13,85.15,1.63
24.28,85.17,1.55
27.33,82.7,1.78
23.2,79.95,1.17
19.08,82.03,1.26
26.82,75.8,1.59
26.9,70.92,1.41
21.05,75.57,0.67
25.35,72.62,0.97
26.53,88.72,1.91
32.67,74.83,3.08
22.82,86.18,1.43
22.82,86.18,1.43
22.88,84.13,1.59
25.08,73.08,1.0
18.2,75.2,0.84
24.53,76.17,1.04
25.45,78.58,1.23
21.92,84.08,1.21
26.3,73.02,1.24
30.55,79.57,2.89
33.19,74.15,3.57
14.53,76.35,1.64
22.23,85.65,1.47
25.48,84.42,1.46
25.05,84.08,1.38
26.2,73.94,1.31
28.88,74.07,1.86
26.72,89.88,2.22
21.73,75.15,0.68
22.47,70.07,0.78
26.1,92.73,2.03
26.38,79.19,1.27
24.92,86.22,1.42
17.61,78.88,1.23
25.55,82.32,1.38
23.63,75.13,0.9
28.05,94.18,3.44
30.64,76.05,2.31
30.8,75.82,2.35
29.28,77.42,1.95
33.98,74.27,4.5
28.06,75.28,1.81
25.1,78.8,1.23
33.78,74.07,4.06
26.21,73.07,1.19
33.34,74.21,3.8
32.6,74.87,3.0
24.43,85.52,1.57
23.1,74.15,0.76
22.17,86.63,1.64
30.03,77.83,2.17
17.74,78.47,1.24
28.33,75.68,1.82
16.33,74.78,1.0
16.43,74.68,0.98
25.38,74.3,1.25
29.8,78.65,2.51
22.52,85.63,1.5
26.13,87.62,1.7
20.78,85.72,1.53
20.82,75.97,0.73
21.85,87.92,2.05
10.95,78.08,3.07
24.32,92.0,1.81
16.95,82.23,1.88
27.07,88.47,3.15
18.33,84.13,1.89
11.73,78.97,2.78
32.4,78.25,3.78
20.27,81.48,1.17
22.67,76.73,0.88
11.83,75.33,2.59
26.43,80.37,1.25
8.08,77.5,4.07
31.33,75.33,2.49
10.92,79.83,3.14
10.07,78.8,3.35
29.7,77.03,2.07
14.78,74.13,1.65
33.0,74.9,3.65
21.62,85.58,1.48
21.32,70.32,0.61
24.98,79.92,1.13
17.25,80.15,1.39
21.83,76.37,0.78
21.82,75.62,0.69
27.9,80.8,1.61
22.08,82.15,1.25
9.95,76.27,3.33
10.23,77.47,2.28
12.95,78.3,2.19
16.7,74.23,0.88
22.53,88.33,1.93
22.65,88.45,1.87
7.22,93.73,4.21
10.75,79.35,3.19
25.15,75.85,1.1
25.18,75.9,1.11
17.55,80.63,1.38
9.53,76.6,3.48
11.25,75.78,2.83
23.4,88.52,1.64
10.4,78.67,3.23
33.58,75.5,3.91
34.42,74.3,4.61
15.83,78.07,1.52
26.85,79.5,1.33
25.22,82.72,1.36
13.24,76.86,2.08
19.28,74.37,0.64
17.87,78.76,1.22
17.22,78.03,1.3
13.55,76.01,1.76
22.5,73.75,0.77
21.53,73.43,0.74
32.68,74.76,3.02
31.91,75.45,2.72
29.92,77.07,2.12
13.02,80.12,2.51
27.57,79.35,1.47
27.51,79.51,1.45
30.02,79.07,2.75
13.35,77.98,2.16
34.3,73.95,4.66
34.12,74.81,4.43
28.62,72.97,1.78
22.17,85.62,1.47
27.78,79.32,1.57
21.85,72.13,0.87
17.5,74.75,0.82
26.7,89.45,2.2
28.19,75.7,1.81
20.03,77.83,1.05
25.25,94.47,3.17
26.89,79.65,1.34
17.92,82.97,1.69
22.44,88.1,1.98
11.7,75.53,2.66
30.04,73.95,2.08
9.82,77.15,2.93
21.95,85.32,1.47
21.23,78.9,1.05
22.05,78.3,1.31
26.8,75.64,1.54
19.25,73.15,0.87
19.5,83.32,1.33
33.23,74.39,3.63
32.96,74.41,3.25
24.6,84.82,1.36
29.79,78.71,2.43
19.9,86.12,1.94
29.87,78.72,2.7
20.27,85.18,1.6
21.42,79.27,1.19
17.07,78.49,1.28
25.4,79.5,1.14
12.85,74.9,2.23
28.93,74.89,1.86
23.1,71.4,0.72
23.43,85.32,1.57
12.42,78.38,2.45
11.83,75.67,2.54
23.48,70.47,0.79
22.42,71.87,0.77
25.13,75.58,1.2
24.54,75.71,1.08
25.7,81.35,1.3
17.28,76.22,1.16
21.78,85.97,1.55
21.32,77.61,0.97
10.92,76.43,2.96
10.47,79.73,3.29
20.23,83.28,1.23
18.15,73.0,0.94
27.05,79.39,1.38
26.65,79.99,1.28
27.23,79.25,1.42
23.1,74.87,0.79
28.37,76.9,1.78
29.82,78.53,2.58
19.72,76.27,0.88
33.77,74.35,4.36
30.66,76.84,2.36
26.18,92.73,2.21
23.32,91.32,2.06
25.05,75.0,1.15
26.49,79.19,1.25
9.18,76.55,3.63
10.98,78.23,3.1
34.45,74.29,4.61
24.75,78.25,1.2
24.03,79.2,1.2
17.75,77.9,1.25
27.08,79.82,1.37
15.85,77.27,1.55
22.84,88.42,1.81
24.98,78.27,1.22
23.6,74.62,0.81
23.35,77.07,1.05
16.62,73.9,0.86
23.63,85.0,1.54
22.6,81.47,1.59
18.75,73.55,0.59
26.99,79.64,1.35
24.82,78.76,1.21
33.53,77.5,4.89
24.37,82.95,1.39
25.05,84.05,1.38
25.07,83.95,1.38
16.55,73.62,1.14
29.89,78.66,2.66
24.86,78.86,1.23
29.12,75.52,1.91
25.5,75.85,1.14
23.97,93.22,2.33
23.37,93.12,2.39
29.98,78.62,2.55
24.97,85.1,1.4
22.53,88.32,1.93
26.52,85.97,1.74
26.25,76.33,1.33
28.04,75.65,1.85
25.65,94.03,3.22
33.23,74.63,3.99
20.18,85.62,1.71
28.12,74.76,1.81
25.35,75.53,1.12
18.12,73.0,0.87
21.18,71.65,0.74
25.53,86.55,1.5
26.82,70.7,1.34
21.51,77.52,1.34
22.52,79.03,1.3
21.43,78.97,1.04
13.18,80.04,2.44
27.69,79.67,1.49
17.97,78.72,1.21
16.97,78.35,1.3
34.29,74.23,4.61
34.17,74.27,4.57
15.2,76.22,1.5
19.83,83.73,1.36
12.46,80.1,2.68
24.53,75.65,1.06
16.75,77.78,1.35
10.08,78.75,3.36
13.93,78.27,1.97
27.69,79.65,1.49
16.1,78.3,1.45
16.03,79.95,1.73
28.23,95.0,3.69
11.15,75.97,2.84
26.75,94.83,3.33
29.54,77.49,2.02
9.23,76.87,3.62
33.5,74.83,4.42
21.43,74.43,0.65
12.71,76.95,2.23
8.77,78.1,3.84
11.73,75.88,2.08
24.38,84.53,1.38
25.85,85.6,1.54
30.4,77.95,2.55
12.48,76.87,2.25
8.37,77.0,3.97
34.1,74.65,4.4
17.67,82.23,1.54
34.11,74.52,4.45
18.93,77.48,1.14
9.8,76.8,3.01
17.83,73.92,0.68
23.72,85.5,1.49
23.8,81.35,1.39
12.92,74.82,2.22
26.62,89.83,2.12
24.65,79.15,1.18
29.98,78.7,2.46
24.22,84.67,1.48
23.97,87.17,1.49
17.97,78.86,1.21
27.83,79.47,1.52
16.13,76.58,1.41
9.75,76.57,3.41
11.98,75.95,2.04
24.71,79.22,1.19
