Latitude,Longitude,PTrain_AC1
22.95,88.55,1.96
32.94,74.39,0.89
24.07,79.08,0.94
24.18,72.03,0.49
20.45,72.88,1.15
26.8,79.25,0.62
21.67,87.35,2.58
25.7,92.02,2.16
25.28,74.67,0.93
30.19,76.63,0.63
27.14,79.75,0.58
20.62,83.35,1.53
20.9,77.6,1.06
24.27,73.38,0.78
25.55,84.87,1.3
26.05,77.37,0.83
27.07,88.2,2.27
11.68,77.13,4.94
31.28,76.25,0.7
26.7,88.48,1.88
20.43,85.98,2.35
22.13,84.8,1.39
22.68,84.55,1.45
24.63,93.77,1.99
26.05,86.98,1.6
34.4,74.32,1.41
19.02,72.85,1.4
27.25,92.4,2.26
14.6,76.68,3.31
17.89,78.46,2.14
34.01,74.64,1.4
26.82,94.83,2.51
27.87,96.37,3.13
32.65,74.82,0.87
24.1,92.6,1.74
34.48,74.24,1.41
17.33,78.41,2.39
23.35,92.83,1.95
27.35,73.1,1.04
30.19,76.51,0.63
22.36,88.12,2.49
34.53,76.2,2.17
34.38,74.99,1.67
24.02,87.15,1.53
34.28,74.44,1.38
33.6,75.02,1.38
28.26,75.37,0.95
22.25,85.8,1.81
26.52,71.81,0.98
26.77,92.6,2.2
25.5,83.85,1.17
13.62,76.42,3.91
22.25,88.67,2.49
9.17,92.83,5.32
22.55,85.82,1.61
24.92,75.58,0.87
22.03,82.7,1.17
20.78,86.73,2.65
19.97,79.3,1.26
26.2,92.52,1.94
25.78,84.73,1.32
13.0,80.18,4.53
13.07,80.25,4.55
25.25,91.73,2.04
22.1,79.0,1.39
13.25,75.75,4.39
14.23,76.43,3.69
24.88,74.63,0.87
24.65,83.1,1.24
28.25,74.92,0.98
11.0,76.97,4.59
11.03,77.05,4.55
21.78,87.75,2.59
26.33,89.47,1.82
11.77,79.77,4.83
14.48,78.83,3.27
20.47,85.93,2.29
20.22,73.05,1.09
22.52,88.78,2.25
25.68,85.35,1.36
26.84,79.53,0.6
11.15,75.82,4.27
17.31,78.87,2.3
26.92,79.21,0.62
30.4,74.9,0.62
29.66,77.45,0.64
22.97,86.05,1.57
22.15,70.58,0.42
29.39,76.99,0.66
24.04,79.1,0.96
30.73,76.79,0.65
28.43,75.51,0.91
27.72,96.23,2.87
26.57,94.7,2.53
24.05,86.9,1.53
25.88,87.13,1.56
28.16,75.46,0.97
25.68,93.23,1.98
21.43,71.22,0.53
25.3,93.72,2.22
28.68,73.12,0.97
24.88,78.97,0.79
11.83,76.07,4.81
27.22,93.12,2.72
28.78,96.27,2.68
22.22,78.43,1.36
25.68,94.3,2.39
24.47,86.25,1.53
29.98,77.1,0.63
24.79,79.08,0.81
24.52,84.95,1.26
20.68,86.85,2.72
28.75,73.99,0.9
25.07,75.5,0.95
26.22,87.02,1.63
28.67,96.15,2.99
11.4,79.7,4.85
17.6,78.75,2.3
21.52,73.65,0.9
16.45,74.33,2.48
25.17,82.53,0.98
15.58,79.88,3.5
26.63,94.92,2.6
19.07,79.07,1.38
22.12,77.5,1.09
24.05,86.15,1.49
23.18,76.97,0.91
27.93,79.28,0.59
17.56,78.22,2.23
10.97,77.28,4.4
17.29,78.03,2.48
27.12,79.41,0.61
10.7,76.75,4.3
17.23,79.13,2.32
23.67,76.23,0.82
24.45,85.17,1.3
18.72,72.9,1.5
12.5,76.3,4.49
26.5,75.67,0.99
21.1,85.33,1.76
21.7,79.68,1.23
22.12,76.9,0.77
30.69,76.09,0.62
26.72,94.23,2.28
25.27,87.22,1.45
13.63,74.7,3.42
20.5,85.83,2.23
19.97,72.72,1.2
32.53,75.97,0.9
24.05,84.07,1.21
23.83,79.45,0.93
26.17,85.9,1.51
27.05,88.27,1.96
25.67,78.47,0.76
24.2,72.2,0.53
30.32,78.03,0.71
24.92,84.18,1.19
16.38,73.35,2.27
23.78,86.43,1.51
