Latitude,Longitude,PTrain_AC1
22.95,88.55,3.1
32.94,74.39,0.51
24.07,79.08,1.51
24.18,72.03,1.02
20.45,72.88,2.45
26.8,79.25,1.21
21.67,87.35,3.25
25.7,92.02,3.26
25.28,74.67,1.01
30.19,76.63,0.76
27.14,79.75,1.17
20.62,83.35,2.9
20.9,77.6,2.01
24.27,73.38,1.07
25.55,84.87,2.41
26.05,77.37,1.21
27.07,88.2,2.76
11.68,77.13,5.17
31.28,76.25,0.56
26.7,88.48,2.94
20.43,85.98,3.33
22.13,84.8,2.76
22.68,84.55,2.63
24.63,93.77,3.57
26.05,86.98,2.71
34.4,74.32,0.57
19.02,72.85,2.91
27.25,92.4,3.25
14.6,76.68,4.1
17.89,78.46,3.12
34.01,74.64,0.63
26.82,94.83,3.91
27.87,96.37,3.85
32.65,74.82,0.5
24.1,92.6,3.42
34.48,74.24,0.65
17.33,78.41,3.34
23.35,92.83,3.42
27.35,73.1,0.61
30.19,76.51,0.75
22.36,88.12,3.18
34.53,76.2,1.51
34.38,74.99,1.04
24.02,87.15,2.77
34.28,74.44,0.56
33.6,75.02,0.64
28.26,75.37,0.81
22.25,85.8,2.85
26.52,71.81,0.54
26.77,92.6,3.58
25.5,83.85,2.23
13.62,76.42,4.53
22.25,88.67,3.25
9.17,92.83,5.17
22.55,85.82,2.81
24.92,75.58,1.17
22.03,82.7,2.47
20.78,86.73,3.37
19.97,79.3,2.37
26.2,92.52,3.53
25.78,84.73,2.37
13.0,80.18,4.8
13.07,80.25,4.79
25.25,91.73,3.13
22.1,79.0,1.81
13.25,75.75,4.83
14.23,76.43,4.35
24.88,74.63,1.07
24.65,83.1,2.14
28.25,74.92,0.76
11.0,76.97,5.13
11.03,77.05,5.1
21.78,87.75,3.26
26.33,89.47,3.08
11.77,79.77,5.03
14.48,78.83,4.2
20.47,85.93,3.31
20.22,73.05,2.47
22.52,88.78,3.2
25.68,85.35,2.48
26.84,79.53,1.21
11.15,75.82,5.12
17.31,78.87,3.37
26.92,79.21,1.2
30.4,74.9,0.63
29.66,77.45,0.85
22.97,86.05,2.77
22.15,70.58,1.61
29.39,76.99,0.86
24.04,79.1,1.51
30.73,76.79,0.69
28.43,75.51,0.82
27.72,96.23,4.02
26.57,94.7,3.85
24.05,86.9,2.73
25.88,87.13,2.74
28.16,75.46,0.82
25.68,93.23,3.57
21.43,71.22,1.88
25.3,93.72,3.52
28.68,73.12,0.58
24.88,78.97,1.4
11.83,76.07,5.17
27.22,93.12,3.53
28.78,96.27,3.42
22.22,78.43,1.88
25.68,94.3,3.63
24.47,86.25,2.61
29.98,77.1,0.8
24.79,79.08,1.41
24.52,84.95,2.47
20.68,86.85,3.4
28.75,73.99,0.65
25.07,75.5,1.13
26.22,87.02,2.72
28.67,96.15,3.54
11.4,79.7,5.08
17.6,78.75,3.28
21.52,73.65,2.0
16.45,74.33,3.68
25.17,82.53,1.99
15.58,79.88,4.16
26.63,94.92,3.87
19.07,79.07,2.63
22.12,77.5,1.84
24.05,86.15,2.63
23.18,76.97,1.61
27.93,79.28,1.09
17.56,78.22,3.2
10.97,77.28,5.03
17.29,78.03,3.33
27.12,79.41,1.17
