Latitude,Longitude,PTrain_AC1
22.95,88.55,2.67
32.94,74.39,2.57
24.07,79.08,0.86
24.18,72.03,0.9
20.45,72.88,1.77
26.8,79.25,0.81
21.67,87.35,2.95
25.7,92.02,3.49
25.28,74.67,1.07
30.19,76.63,1.43
27.14,79.75,0.81
20.62,83.35,1.33
20.9,77.6,0.96
24.27,73.38,0.92
25.55,84.87,1.72
26.05,77.37,0.96
27.07,88.2,3.32
11.68,77.13,3.24
31.28,76.25,1.87
26.7,88.48,2.7
20.43,85.98,2.46
22.13,84.8,1.4
22.68,84.55,1.25
24.63,93.77,3.27
26.05,86.98,2.27
34.4,74.32,3.48
19.02,72.85,2.09
27.25,92.4,4.89
14.6,76.68,2.24
17.89,78.46,1.37
34.01,74.64,3.27
26.82,94.83,4.23
27.87,96.37,5.19
32.65,74.82,2.45
24.1,92.6,2.95
34.48,74.24,3.44
17.33,78.41,1.48
23.35,92.83,2.62
27.35,73.1,1.39
30.19,76.51,1.43
22.36,88.12,3.02
34.53,76.2,3.85
34.38,74.99,3.36
24.02,87.15,2.02
34.28,74.44,3.42
33.6,75.02,3.11
28.26,75.37,1.33
22.25,85.8,1.51
26.52,71.81,1.31
26.77,92.6,3.69
25.5,83.85,1.49
13.62,76.42,2.57
22.25,88.67,3.07
9.17,92.83,4.29
22.55,85.82,1.65
24.92,75.58,0.97
22.03,82.7,1.07
20.78,86.73,2.88
19.97,79.3,1.14
26.2,92.52,3.49
25.78,84.73,1.73
13.0,80.18,3.88
13.07,80.25,3.93
25.25,91.73,3.6
22.1,79.0,1.1
13.25,75.75,2.91
14.23,76.43,2.39
24.88,74.63,0.99
24.65,83.1,1.3
28.25,74.92,1.37
11.0,76.97,3.36
11.03,77.05,3.33
21.78,87.75,3.0
26.33,89.47,2.87
11.77,79.77,4.14
14.48,78.83,2.65
20.47,85.93,2.41
20.22,73.05,1.64
22.52,88.78,2.91
25.68,85.35,1.85
26.84,79.53,0.79
11.15,75.82,4.15
17.31,78.87,1.53
26.92,79.21,0.82
30.4,74.9,1.49
29.66,77.45,1.31
22.97,86.05,1.66
22.15,70.58,1.07
29.39,76.99,1.26
24.04,79.1,0.86
30.73,76.79,1.62
28.43,75.51,1.31
27.72,96.23,4.75
26.57,94.7,4.22
24.05,86.9,1.91
25.88,87.13,2.27
28.16,75.46,1.34
25.68,93.23,3.42
21.43,71.22,1.14
25.3,93.72,4.06
28.68,73.12,1.44
24.88,78.97,0.8
11.83,76.07,3.33
27.22,93.12,4.54
28.78,96.27,5.54
22.22,78.43,1.12
25.68,94.3,4.59
24.47,86.25,1.78
29.98,77.1,1.38
24.79,79.08,0.8
24.52,84.95,1.57
20.68,86.85,2.95
28.75,73.99,1.37
25.07,75.5,1.05
26.22,87.02,2.31
28.67,96.15,5.65
11.4,79.7,4.18
17.6,78.75,1.41
21.52,73.65,1.08
16.45,74.33,1.9
25.17,82.53,1.18
15.58,79.88,3.05
26.63,94.92,4.33
19.07,79.07,1.28
22.12,77.5,0.9
24.05,86.15,1.69
23.18,76.97,0.84
27.93,79.28,0.92
17.56,78.22,1.44
10.97,77.28,3.31
17.29,78.03,1.52
27.12,79.41,0.82
10.7,76.75,3.69
17.23,79.13,1.61
23.67,76.23,0.83
24.45,85.17,1.59
18.72,72.9,2.06
12.5,76.3,2.99
26.5,75.67,1.17
21.1,85.33,1.68
21.7,79.68,0.99
22.12,76.9,0.78
30.69,76.09,1.57
26.72,94.23,4.01
25.27,87.22,2.2
13.63,74.7,3.61
20.5,85.83,2.33
19.97,72.72,1.89
32.53,75.97,2.44
24.05,84.07,1.35
23.83,79.45,0.81
26.17,85.9,2.06
27.05,88.27,3.84
25.67,78.47,0.84
24.2,72.2,0.89
30.32,78.03,1.65
24.92,84.18,1.49
16.38,73.35,2.78
23.78,86.43,1.75
22.6,75.3,0.78
12.13,78.03,2.93
32.27,76.38,2.47
26.67,77.83,0.94
26.02,89.98,2.92
26.15,89.92,2.93
22.18,88.2,3.13
27.48,95.02,4.42
21.83,87.78,3.01
20.72,70.92,1.62
22.83,74.27,0.83
17.72,83.3,2.77
24.27,87.25,2.03
23.83,73.67,0.84
21.18,81.28,1.01
23.48,87.32,2.19
22.37,69.08,1.34
26.12,92.87,3.53
29.9,78.55,1.67
32.86,74.9,2.63
17.91,78.01,1.41
24.48,71.73,0.94
30.27,80.52,2.4
