Latitude,Longitude,PTrain_AC1
22.95,88.55,3.7
32.94,74.39,2.05
24.07,79.08,1.08
24.18,72.03,1.6
20.45,72.88,3.02
26.8,79.25,1.13
21.67,87.35,3.95
25.7,92.02,3.38
25.28,74.67,1.05
30.19,76.63,1.22
27.14,79.75,1.11
20.62,83.35,2.06
20.9,77.6,1.54
24.27,73.38,0.87
25.55,84.87,2.57
26.05,77.37,1.23
27.07,88.2,2.74
11.68,77.13,4.39
31.28,76.25,1.18
26.7,88.48,3.61
20.43,85.98,3.37
22.13,84.8,2.15
22.68,84.55,1.78
24.63,93.77,3.62
26.05,86.98,3.25
34.4,74.32,2.09
19.02,72.85,3.43
27.25,92.4,4.87
14.6,76.68,3.25
17.89,78.46,2.2
34.01,74.64,1.96
26.82,94.83,4.9
27.87,96.37,4.69
32.65,74.82,2.02
24.1,92.6,4.0
34.48,74.24,2.04
17.33,78.41,2.37
23.35,92.83,3.32
27.35,73.1,1.27
30.19,76.51,1.23
22.36,88.12,4.03
34.53,76.2,3.22
34.38,74.99,2.36
24.02,87.15,2.88
34.28,74.44,2.02
33.6,75.02,1.88
28.26,75.37,1.2
22.25,85.8,2.14
26.52,71.81,1.4
26.77,92.6,4.74
25.5,83.85,2.24
13.62,76.42,3.71
22.25,88.67,4.11
9.17,92.83,4.97
22.55,85.82,2.41
24.92,75.58,1.12
22.03,82.7,1.68
20.78,86.73,3.86
19.97,79.3,1.74
26.2,92.52,4.74
25.78,84.73,2.54
13.0,80.18,4.48
13.07,80.25,4.54
25.25,91.73,3.3
22.1,79.0,1.47
13.25,75.75,4.23
14.23,76.43,3.55
24.88,74.63,1.03
24.65,83.1,1.68
28.25,74.92,1.21
11.0,76.97,4.15
11.03,77.05,4.08
21.78,87.75,4.0
26.33,89.47,4.02
11.77,79.77,4.64
14.48,78.83,3.23
20.47,85.93,3.32
20.22,73.05,2.85
22.52,88.78,3.94
25.68,85.35,2.75
26.84,79.53,1.12
11.15,75.82,4.84
17.31,78.87,2.35
26.92,79.21,1.13
30.4,74.9,1.29
29.66,77.45,1.15
22.97,86.05,2.39
22.15,70.58,2.09
29.39,76.99,1.19
24.04,79.1,1.08
30.73,76.79,1.25
28.43,75.51,1.22
27.72,96.23,5.2
26.57,94.7,4.6
24.05,86.9,2.68
25.88,87.13,3.31
28.16,75.46,1.15
25.68,93.23,4.26
21.43,71.22,2.24
25.3,93.72,3.92
28.68,73.12,1.47
24.88,78.97,1.11
11.83,76.07,4.56
27.22,93.12,4.1
28.78,96.27,4.46
22.22,78.43,1.37
25.68,94.3,4.38
24.47,86.25,2.29
29.98,77.1,1.19
24.79,79.08,1.09
24.52,84.95,2.3
20.68,86.85,3.94
28.75,73.99,1.33
25.07,75.5,0.99
26.22,87.02,3.31
28.67,96.15,4.39
11.4,79.7,4.61
17.6,78.75,2.28
21.52,73.65,1.96
16.45,74.33,3.16
25.17,82.53,1.82
15.58,79.88,3.86
26.63,94.92,4.61
19.07,79.07,1.86
22.12,77.5,1.24
24.05,86.15,2.26
23.18,76.97,1.07
27.93,79.28,1.11
17.56,78.22,2.29
10.97,77.28,3.91
17.29,78.03,2.46
27.12,79.41,1.1
10.7,76.75,4.16
17.23,79.13,2.41
23.67,76.23,1.06
24.45,85.17,2.29
18.72,72.9,3.41
12.5,76.3,4.19
26.5,75.67,1.24
21.1,85.33,2.49
21.7,79.68,1.51
22.12,76.9,1.31
30.69,76.09,1.3
26.72,94.23,5.08
25.27,87.22,3.27
13.63,74.7,4.66
20.5,85.83,3.23
19.97,72.72,3.19
32.53,75.97,1.02
24.05,84.07,1.96
23.83,79.45,1.15
26.17,85.9,2.98
27.05,88.27,3.64
25.67,78.47,1.14
24.2,72.2,1.53
30.32,78.03,0.85
24.92,84.18,2.22
16.38,73.35,4.12
23.78,86.43,2.43
22.6,75.3,1.02
12.13,78.03,3.63
32.27,76.38,1.18
26.67,77.83,1.23
26.02,89.98,4.12
26.15,89.92,4.11
22.18,88.2,4.15
27.48,95.02,5.32
21.83,87.78,4.02
20.72,70.92,2.97
22.83,74.27,1.35
17.72,83.3,3.79
24.27,87.25,2.87
23.83,73.67,1.26
21.18,81.28,1.6
23.48,87.32,3.13
22.37,69.08,2.57
26.12,92.87,4.8
29.9,78.55,0.51
32.86,74.9,2.06
17.91,78.01,2.22
24.48,71.73,1.68
30.27,80.52,2.78
32.58,74.93,1.97
26.91,79.6,1.11
26.1,90.78,4.35
24.93,92.77,4.57
24.03,84.07,1.96
20.42,72.85,3.06
26.31,79.3,1.14
30.22,74.17,1.3
34.17,74.9,2.27
32.65,74.9,1.99
24.73,79.21,1.09
26.63,92.8,4.96
34.33,74.38,2.04
24.02,85.55,1.9
28.45,72.5,1.6
25.33,88.32,3.49
30.75,76.15,1.3
27.9,96.3,5.2
28.02,96.23,4.68
25.75,75.38,1.17
18.25,77.1,2.3
25.74,79.16,1.16
23.13,78.68,1.23
27.98,79.42,1.12
26.17,85.0,2.68
29.73,78.47,1.08
23.43,73.75,1.66
20.03,75.03,1.65
33.13,75.98,1.5
29.86,78.64,0.41
26.92,71.37,1.51
30.66,76.83,1.26
24.6,92.83,4.48
33.27,74.55,1.73
17.65,77.47,2.41
30.58,76.82,1.25
25.98,87.13,3.32
24.42,85.98,2.25
28.93,76.17,1.23
