Latitude,Longitude,PTrain_AC1
22.95,88.55,1.28
32.94,74.39,3.05
24.07,79.08,0.97
24.18,72.03,0.78
20.45,72.88,1.02
26.8,79.25,1.13
21.67,87.35,1.65
25.7,92.02,1.53
25.28,74.67,1.19
30.19,76.63,2.01
27.14,79.75,1.14
20.62,83.35,1.28
20.9,77.6,0.89
24.27,73.38,1.08
25.55,84.87,1.27
26.05,77.37,1.19
27.07,88.2,2.04
11.68,77.13,3.91
31.28,76.25,2.29
26.7,88.48,1.58
20.43,85.98,1.65
22.13,84.8,1.16
22.68,84.55,1.25
24.63,93.77,1.33
26.05,86.98,1.37
34.4,74.32,3.54
19.02,72.85,1.15
27.25,92.4,1.85
14.6,76.68,2.64
17.89,78.46,1.72
34.01,74.64,3.34
26.82,94.83,1.78
27.87,96.37,2.24
32.65,74.82,2.91
24.1,92.6,1.04
34.48,74.24,3.53
17.33,78.41,1.9
23.35,92.83,1.15
27.35,73.1,1.49
30.19,76.51,2.01
22.36,88.12,1.55
34.53,76.2,4.1
34.38,74.99,3.63
24.02,87.15,1.13
34.28,74.44,3.47
33.6,75.02,3.16
28.26,75.37,1.67
22.25,85.8,1.33
26.52,71.81,1.26
26.77,92.6,1.56
25.5,83.85,1.24
13.62,76.42,3.05
22.25,88.67,1.55
9.17,92.83,5.32
22.55,85.82,1.22
24.92,75.58,1.11
22.03,82.7,1.09
20.78,86.73,1.76
19.97,79.3,1.02
26.2,92.52,1.32
25.78,84.73,1.31
13.0,80.18,3.53
13.07,80.25,3.53
25.25,91.73,1.49
22.1,79.0,1.05
13.25,75.75,3.19
14.23,76.43,2.86
24.88,74.63,1.13
24.65,83.1,1.25
28.25,74.92,1.68
11.0,76.97,3.88
11.03,77.05,3.88
21.78,87.75,1.64
26.33,89.47,1.39
11.77,79.77,3.89
14.48,78.83,2.7
20.47,85.93,1.62
20.22,73.05,0.99
22.52,88.78,1.42
25.68,85.35,1.29
26.84,79.53,1.11
11.15,75.82,3.54
17.31,78.87,1.84
26.92,79.21,1.16
30.4,74.9,2.1
29.66,77.45,1.84
22.97,86.05,1.19
22.15,70.58,0.69
29.39,76.99,1.81
24.04,79.1,0.98
30.73,76.79,2.14
28.43,75.51,1.69
27.72,96.23,2.1
26.57,94.7,1.78
24.05,86.9,1.15
25.88,87.13,1.31
28.16,75.46,1.66
25.68,93.23,1.31
21.43,71.22,0.72
25.3,93.72,1.61
28.68,73.12,1.72
24.88,78.97,0.96
11.83,76.07,3.57
27.22,93.12,2.06
28.78,96.27,2.05
22.22,78.43,1.22
25.68,94.3,1.79
24.47,86.25,1.26
29.98,77.1,1.94
24.79,79.08,0.96
24.52,84.95,1.16
20.68,86.85,1.8
28.75,73.99,1.74
25.07,75.5,1.21
26.22,87.02,1.41
28.67,96.15,2.24
11.4,79.7,3.99
17.6,78.75,1.83
21.52,73.65,0.93
16.45,74.33,1.83
25.17,82.53,1.11
15.58,79.88,2.61
26.63,94.92,1.84
19.07,79.07,1.16
22.12,77.5,1.08
24.05,86.15,1.21
23.18,76.97,1.05
27.93,79.28,1.33
17.56,78.22,1.79
10.97,77.28,3.89
17.29,78.03,1.96
27.12,79.41,1.17
10.7,76.75,3.82
17.23,79.13,1.86
23.67,76.23,1.02
24.45,85.17,1.17
18.72,72.9,1.19
12.5,76.3,3.43
26.5,75.67,1.35
21.1,85.33,1.34
21.7,79.68,0.97
22.12,76.9,0.84
30.69,76.09,2.16
26.72,94.23,1.61
25.27,87.22,1.17
13.63,74.7,2.62
20.5,85.83,1.59
19.97,72.72,1.04
32.53,75.97,2.45
24.05,84.07,1.15
23.83,79.45,0.87
26.17,85.9,1.4
27.05,88.27,1.9
25.67,78.47,1.07
24.2,72.2,0.81
30.32,78.03,1.9
24.92,84.18,1.18
16.38,73.35,1.69
23.78,86.43,1.17
22.6,75.3,1.05
12.13,78.03,3.59
32.27,76.38,2.48
26.67,77.83,1.24
26.02,89.98,1.28
26.15,89.92,1.33
22.18,88.2,1.63
27.48,95.02,1.93
21.83,87.78,1.63
20.72,70.92,0.81
22.83,74.27,0.93
17.72,83.3,2.35
24.27,87.25,1.14
23.83,73.67,0.93
21.18,81.28,1.1
23.48,87.32,1.16
22.37,69.08,0.68
26.12,92.87,1.3
29.9,78.55,1.69
32.86,74.9,2.99
17.91,78.01,1.66
24.48,71.73,0.79
30.27,80.52,2.21
32.58,74.93,2.88
26.91,79.6,1.11
26.1,90.78,1.29
24.93,92.77,1.02
24.03,84.07,1.14
20.42,72.85,1.03
26.31,79.3,1.05
30.22,74.17,2.05
34.17,74.9,3.52
32.65,74.9,2.91
24.73,79.21,0.93
26.63,92.8,1.46
34.33,74.38,3.5
24.02,85.55,1.34
28.45,72.5,1.66
25.33,88.32,1.18
30.75,76.15,2.17
27.9,96.3,2.15
28.02,96.23,2.27
25.75,75.38,1.24
18.25,77.1,1.58
25.74,79.16,0.99
23.13,78.68,0.89
27.98,79.42,1.33
26.17,85.0,1.4
29.73,78.47,1.79
23.43,73.75,0.85
20.03,75.03,1.11
33.13,75.98,2.82
29.86,78.64,1.63
26.92,71.37,1.35
30.66,76.83,2.12
24.6,92.83,0.99
33.27,74.55,3.05
17.65,77.47,1.77
30.58,76.82,2.1
25.98,87.13,1.34
24.42,85.98,1.25
28.93,76.17,1.75
33.53,74.22,3.06
29.93,78.74,1.73
24.37,92.17,1.02
26.7,77.9,1.24
29.91,78.7,1.7
25.6,75.61,1.17
21.48,85.82,1.47
33.58,74.09,3.08
26.47,92.47,1.4
19.3,75.67,1.18
22.98,71.47,0.72
22.57,70.42,0.78
23.57,76.78,1.05
32.74,74.81,2.96
24.15,78.23,1.02
28.39,75.63,1.68
28.35,75.64,1.68
16.22,73.83,1.73
27.13,94.77,1.78
26.17,93.57,1.69
17.94,78.68,1.76
20.17,84.85,1.63
27.1,79.95,1.1
26.35,89.9,1.4
27.27,93.07,2.06
32.56,74.92,2.87
24.53,84.92,1.15
12.17,76.6,3.57
15.68,74.97,2.16
34.27,74.47,3.47
34.45,74.41,3.55
34.39,73.79,3.55
21.07,83.2,1.19
18.02,78.9,1.73
34.37,73.98,3.25
23.75,86.17,1.14
16.05,73.92,1.8
23.42,91.67,1.22
29.08,74.68,1.8
28.87,75.45,1.76
25.32,86.02,1.21
25.55,84.15,1.26
23.98,86.02,1.18
22.97,74.12,0.91
24.76,79.05,0.96
23.13,84.85,1.33
20.0,76.3,1.15
27.5,95.75,1.99
16.73,76.92,1.79
21.7,74.03,1.13
26.28,79.29,1.05
25.93,90.77,1.26
27.79,79.31,1.3
29.28,78.12,1.72
25.97,85.12,1.35
28.19,74.69,1.67
26.13,89.47,1.33
10.03,76.3,3.94
11.22,76.15,3.56
13.07,80.26,3.53
17.58,78.54,1.89
13.25,80.33,3.48
13.13,80.25,3.5
8.18,77.63,4.63
26.75,82.08,1.31
25.93,80.83,0.99
30.92,74.67,2.24
26.3,87.27,1.43
22.37,88.78,1.49
16.28,78.68,2.3
30.72,76.77,2.14
26.35,79.23,1.07
25.77,75.63,1.22
24.18,92.02,1.04
11.18,75.85,3.54
17.84,78.12,1.69
15.42,75.63,2.31
