Latitude,Longitude,PTrain_AC1
22.95,88.55,1.25
32.94,74.39,3.19
24.07,79.08,1.4
24.18,72.03,0.73
20.45,72.88,0.81
26.8,79.25,1.67
21.67,87.35,1.53
25.7,92.02,2.06
25.28,74.67,1.28
30.19,76.63,2.37
27.14,79.75,1.7
20.62,83.35,1.11
20.9,77.6,0.87
24.27,73.38,0.92
25.55,84.87,1.6
26.05,77.37,1.59
27.07,88.2,2.57
11.68,77.13,2.9
31.28,76.25,2.67
26.7,88.48,1.9
20.43,85.98,1.44
22.13,84.8,1.15
22.68,84.55,1.32
24.63,93.77,1.89
26.05,86.98,1.64
34.4,74.32,4.15
19.02,72.85,0.88
27.25,92.4,2.75
14.6,76.68,1.62
17.89,78.46,1.14
34.01,74.64,4.1
26.82,94.83,2.27
27.87,96.37,3.09
32.65,74.82,3.1
24.1,92.6,1.24
34.48,74.24,4.23
17.33,78.41,1.23
23.35,92.83,1.5
27.35,73.1,1.77
30.19,76.51,2.37
22.36,88.12,1.47
34.53,76.2,5.12
34.38,74.99,4.57
24.02,87.15,1.22
34.28,74.44,4.09
33.6,75.02,3.98
28.26,75.37,2.04
22.25,85.8,1.33
26.52,71.81,1.42
26.77,92.6,1.88
25.5,83.85,1.63
13.62,76.42,2.01
22.25,88.67,1.47
9.17,92.83,4.72
22.55,85.82,1.21
24.92,75.58,1.24
22.03,82.7,1.16
20.78,86.73,1.58
19.97,79.3,0.9
26.2,92.52,1.58
25.78,84.73,1.67
13.0,80.18,2.84
13.07,80.25,2.86
25.25,91.73,2.16
22.1,79.0,1.33
13.25,75.75,2.28
14.23,76.43,1.84
24.88,74.63,1.15
24.65,83.1,1.63
28.25,74.92,2.03
11.0,76.97,2.91
11.03,77.05,2.88
21.78,87.75,1.53
26.33,89.47,1.64
11.77,79.77,3.22
14.48,78.83,1.84
20.47,85.93,1.42
20.22,73.05,0.74
22.52,88.78,1.37
25.68,85.35,1.6
26.84,79.53,1.67
11.15,75.82,2.99
17.31,78.87,1.19
26.92,79.21,1.7
30.4,74.9,2.39
29.66,77.45,2.26
22.97,86.05,1.22
22.15,70.58,0.48
29.39,76.99,2.21
24.04,79.1,1.4
30.73,76.79,2.51
28.43,75.51,2.06
27.72,96.23,2.69
26.57,94.7,2.34
24.05,86.9,1.26
25.88,87.13,1.56
28.16,75.46,2.03
25.68,93.23,1.67
21.43,71.22,0.48
25.3,93.72,2.37
28.68,73.12,2.05
24.88,78.97,1.43
11.83,76.07,2.76
27.22,93.12,2.69
28.78,96.27,3.19
22.22,78.43,1.38
25.68,94.3,2.65
24.47,86.25,1.46
29.98,77.1,2.33
24.79,79.08,1.43
24.52,84.95,1.4
20.68,86.85,1.61
28.75,73.99,2.08
25.07,75.5,1.32
26.22,87.02,1.69
28.67,96.15,3.31
11.4,79.7,3.31
17.6,78.75,1.2
21.52,73.65,0.66
