Latitude,Longitude,PTrain_AP1
26.25,78.25,987.78
30.56,76.21,983.27
24.4,83.58,988.19
30.27,76.03,983.64
25.65,87.13,998.82
22.95,88.55,1000.98
32.94,74.39,979.78
24.07,79.08,976.14
24.18,72.03,994.85
20.45,72.88,1002.59
26.8,79.25,989.81
21.67,87.35,1001.15
25.7,92.02,954.11
25.28,74.67,978.19
30.19,76.63,983.8
27.14,79.75,990.07
20.62,83.35,991.94
20.9,77.6,984.5
24.27,73.38,973.13
25.55,84.87,996.46
26.05,77.37,986.05
27.07,88.2,952.91
11.68,77.13,960.19
31.28,76.25,971.47
26.7,88.48,994.22
20.43,85.98,1000.68
22.13,84.8,991.07
22.68,84.55,977.57
24.63,93.77,959.06
26.05,86.98,996.83
34.4,74.32,920.92
19.02,72.85,1003.95
27.25,92.4,880.72
14.6,76.68,975.07
17.89,78.46,975.85
34.01,74.64,908.24
26.82,94.83,985.53
27.87,96.37,959.51
32.65,74.82,980.55
24.1,92.6,991.96
34.48,74.24,908.73
17.33,78.41,974.87
23.35,92.83,969.9
27.35,73.1,981.29
30.19,76.51,983.88
22.36,88.12,1000.96
34.53,76.2,842.76
34.38,74.99,871.92
24.02,87.15,994.25
34.28,74.44,920.6
33.6,75.02,904.96
28.26,75.37,981.74
22.25,85.8,976.77
26.52,71.81,984.73
26.77,92.6,993.24
25.5,83.85,995.61
13.62,76.42,968.45
22.25,88.67,1001.11
9.17,92.83,1007.75
22.55,85.82,989.48
24.92,75.58,980.98
22.03,82.7,987.58
20.78,86.73,1001.62
19.97,79.3,989.42
26.2,92.52,997.7
25.78,84.73,996.0
13.0,80.18,1006.2
13.07,80.25,1006.71
25.25,91.73,927.82
22.1,79.0,963.59
13.25,75.75,950.89
14.23,76.43,966.5
24.88,74.63,978.56
24.65,83.1,982.74
28.25,74.92,981.17
11.0,76.97,986.36
11.03,77.05,986.61
21.78,87.75,1000.87
26.33,89.47,998.11
11.77,79.77,1007.18
14.48,78.83,998.14
20.47,85.93,1000.81
20.22,73.05,1000.91
22.52,88.78,1001.06
25.68,85.35,997.06
26.84,79.53,990.05
11.15,75.82,1008.49
17.31,78.87,983.37
26.92,79.21,989.75
30.4,74.9,984.73
29.66,77.45,983.93
22.97,86.05,988.39
22.15,70.58,995.31
29.39,76.99,985.5
24.04,79.1,975.4
30.73,76.79,980.36
28.43,75.51,982.87
27.72,96.23,989.02
26.57,94.7,975.47
24.05,86.9,990.85
25.88,87.13,998.04
28.16,75.46,980.18
25.68,93.23,985.67
21.43,71.22,995.82
25.3,93.72,931.09
28.68,73.12,986.29
24.88,78.97,983.85
11.83,76.07,970.56
27.22,93.12,952.15
28.78,96.27,891.28
22.22,78.43,959.96
25.68,94.3,920.9
24.47,86.25,982.07
29.98,77.1,983.72
24.79,79.08,982.4
24.52,84.95,992.37
20.68,86.85,1001.9
28.75,73.99,984.76
25.07,75.5,975.67
26.22,87.02,997.17
28.67,96.15,919.49
11.4,79.7,1007.75
17.6,78.75,976.22
21.52,73.65,990.25
16.45,74.33,976.83
25.17,82.53,994.52
15.58,79.88,1002.86
26.63,94.92,972.75
19.07,79.07,992.2
22.12,77.5,971.6
24.05,86.15,983.69
23.18,76.97,974.87
27.93,79.28,988.9
17.56,78.22,976.15
10.97,77.28,989.87
17.29,78.03,969.25
27.12,79.41,989.24
10.7,76.75,1001.04
17.23,79.13,987.13
23.67,76.23,978.61
24.45,85.17,990.69
18.72,72.9,1001.31
12.5,76.3,966.6
26.5,75.67,982.65
21.1,85.33,993.1
21.7,79.68,979.15
22.12,76.9,986.11
30.69,76.09,983.3
26.72,94.23,994.56
25.27,87.22,999.45
13.63,74.7,1007.13
20.5,85.83,1000.29
19.97,72.72,1003.51
32.53,75.97,896.35
24.05,84.07,988.57
23.83,79.45,979.17
26.17,85.9,996.76
27.05,88.27,885.25
25.67,78.47,985.91
24.2,72.2,993.1
30.32,78.03,963.4
24.92,84.18,993.84
16.38,73.35,1004.35
23.78,86.43,987.57
22.6,75.3,970.51
12.13,78.03,984.64
32.27,76.38,936.74
26.67,77.83,988.0
26.02,89.98,998.83
26.15,89.92,998.26
22.18,88.2,1000.84
27.48,95.02,995.12
21.83,87.78,1001.11
20.72,70.92,1002.69
22.83,74.27,984.1
17.72,83.3,995.65
24.27,87.25,993.29
23.83,73.67,985.61
21.18,81.28,984.83
