Latitude,Longitude,PTrain_AP1
30.52,76.84,999.28
29.89,78.66,933.64
24.67,79.16,998.55
33.68,75.08,928.95
21.93,69.77,1011.3
25.58,72.67,1005.74
22.87,78.22,997.15
29.82,78.72,961.18
26.25,78.25,1004.78
30.56,76.21,1001.04
24.4,83.58,1004.19
30.27,76.03,1001.55
25.65,87.13,1014.61
22.95,88.55,1015.88
32.94,74.39,996.38
24.07,79.08,991.46
24.18,72.03,1008.88
20.45,72.88,1014.17
26.8,79.25,1007.49
21.67,87.35,1015.91
25.7,92.02,968.4
25.28,74.67,993.18
30.19,76.63,1001.63
27.14,79.75,1007.96
20.62,83.35,1005.75
20.9,77.6,997.06
24.27,73.38,987.14
25.55,84.87,1012.83
26.05,77.37,1002.55
27.07,88.2,967.93
11.68,77.13,965.09
31.28,76.25,988.05
26.7,88.48,1010.06
20.43,85.98,1014.63
22.13,84.8,1005.9
22.68,84.55,992.59
24.63,93.77,972.9
26.05,86.98,1012.83
34.4,74.32,932.98
19.02,72.85,1013.97
27.25,92.4,890.54
14.6,76.68,981.84
17.89,78.46,985.92
34.01,74.64,919.58
26.82,94.83,999.39
27.87,96.37,972.49
32.65,74.82,997.04
24.1,92.6,1006.05
34.48,74.24,920.23
17.33,78.41,984.47
23.35,92.83,984.17
27.35,73.1,997.78
30.19,76.51,1001.74
22.36,88.12,1015.94
34.53,76.2,851.6
34.38,74.99,881.85
24.02,87.15,1009.76
34.28,74.44,932.66
33.6,75.02,916.09
28.26,75.37,999.17
22.25,85.8,991.9
26.52,71.81,1000.38
26.77,92.6,1007.54
25.5,83.85,1012.24
13.62,76.42,974.27
22.25,88.67,1015.89
9.17,92.83,1012.0
22.55,85.82,1004.67
24.92,75.58,995.94
22.03,82.7,1002.18
20.78,86.73,1015.86
19.97,79.3,1002.1
26.2,92.52,1011.83
25.78,84.73,1012.51
13.0,80.18,1013.96
13.07,80.25,1014.54
25.25,91.73,941.32
22.1,79.0,976.97
13.25,75.75,955.71
14.23,76.43,972.64
24.88,74.63,993.28
24.65,83.1,998.82
28.25,74.92,998.54
11.0,76.97,991.6
11.03,77.05,991.91
21.78,87.75,1015.63
26.33,89.47,1013.39
11.77,79.77,1014.07
14.48,78.83,1006.39
20.47,85.93,1014.77
20.22,73.05,1012.11
22.52,88.78,1015.84
25.68,85.35,1013.34
26.84,79.53,1007.82
11.15,75.82,1013.87
17.31,78.87,993.4
26.92,79.21,1007.46
30.4,74.9,1002.83
29.66,77.45,1001.73
22.97,86.05,1003.74
22.15,70.58,1007.24
29.39,76.99,1003.47
24.04,79.1,990.66
30.73,76.79,997.74
28.43,75.51,1000.47
27.72,96.23,1002.79
26.57,94.7,989.28
24.05,86.9,1006.44
25.88,87.13,1013.92
28.16,75.46,997.48
25.68,93.23,999.77
21.43,71.22,1007.19
25.3,93.72,944.03
28.68,73.12,1004.04
24.88,78.97,1000.06
11.83,76.07,975.31
27.22,93.12,965.79
28.78,96.27,900.55
22.22,78.43,972.72
25.68,94.3,933.09
24.47,86.25,997.84
29.98,77.1,1001.51
24.79,79.08,998.53
24.52,84.95,1008.26
20.68,86.85,1016.06
28.75,73.99,1002.54
25.07,75.5,990.54
26.22,87.02,1013.21
28.67,96.15,930.33
11.4,79.7,1014.43
17.6,78.75,986.22
21.52,73.65,1002.7
16.45,74.33,984.03
25.17,82.53,1011.34
15.58,79.88,1012.39
26.63,94.92,986.48
19.07,79.07,1003.99
22.12,77.5,984.42
24.05,86.15,999.36
23.18,76.97,988.47
27.93,79.28,1006.83
17.56,78.22,985.86
10.97,77.28,995.39
17.29,78.03,978.44
27.12,79.41,1007.03
10.7,76.75,1006.42
17.23,79.13,997.29
23.67,76.23,992.59
