Latitude,Longitude,PTrain_AP1
22.87,78.22,986.52
29.82,78.72,949.24
26.25,78.25,992.69
30.56,76.21,988.21
24.4,83.58,992.01
30.27,76.03,988.75
25.65,87.13,1003.01
22.95,88.55,1004.96
32.94,74.39,984.09
24.07,79.08,979.98
24.18,72.03,999.3
20.45,72.88,1006.59
26.8,79.25,994.99
21.67,87.35,1005.24
25.7,92.02,958.66
25.28,74.67,982.08
30.19,76.63,988.78
27.14,79.75,995.23
20.62,83.35,994.74
20.9,77.6,987.72
24.27,73.38,977.0
25.55,84.87,1000.79
26.05,77.37,990.71
27.07,88.2,956.69
11.68,77.13,960.52
31.28,76.25,975.19
26.7,88.48,998.67
20.43,85.98,1003.95
22.13,84.8,994.3
22.68,84.55,980.94
24.63,93.77,963.74
26.05,86.98,1001.14
34.4,74.32,923.71
19.02,72.85,1007.34
27.25,92.4,885.2
14.6,76.68,976.2
17.89,78.46,977.94
34.01,74.64,911.37
26.82,94.83,989.93
27.87,96.37,963.28
32.65,74.82,984.75
24.1,92.6,996.23
34.48,74.24,911.86
17.33,78.41,976.81
23.35,92.83,974.8
27.35,73.1,986.21
30.19,76.51,988.9
22.36,88.12,1005.25
34.53,76.2,846.79
34.38,74.99,876.09
24.02,87.15,998.06
34.28,74.44,923.39
33.6,75.02,908.21
28.26,75.37,986.81
22.25,85.8,980.62
26.52,71.81,989.53
26.77,92.6,997.7
25.5,83.85,1000.1
13.62,76.42,969.29
22.25,88.67,1005.36
9.17,92.83,1008.52
22.55,85.82,993.07
24.92,75.58,984.83
22.03,82.7,990.73
20.78,86.73,1005.33
19.97,79.3,992.48
26.2,92.52,1002.09
25.78,84.73,1000.44
13.0,80.18,1006.98
13.07,80.25,1007.53
25.25,91.73,932.8
22.1,79.0,966.9
13.25,75.75,951.87
14.23,76.43,967.55
24.88,74.63,982.38
24.65,83.1,986.55
28.25,74.92,986.25
11.0,76.97,986.41
11.03,77.05,986.67
21.78,87.75,1005.02
26.33,89.47,1002.49
11.77,79.77,1007.57
14.48,78.83,999.18
20.47,85.93,1004.05
20.22,73.05,1004.63
22.52,88.78,1005.18
25.68,85.35,1001.38
26.84,79.53,995.23
11.15,75.82,1008.67
17.31,78.87,985.27
26.92,79.21,994.93
30.4,74.9,990.19
29.66,77.45,988.83
22.97,86.05,992.04
22.15,70.58,999.77
29.39,76.99,990.71
24.04,79.1,979.21
30.73,76.79,984.81
28.43,75.51,988.07
27.72,96.23,993.42
26.57,94.7,979.76
24.05,86.9,994.65
25.88,87.13,1002.3
28.16,75.46,985.1
25.68,93.23,989.95
21.43,71.22,999.93
25.3,93.72,936.01
28.68,73.12,992.17
24.88,78.97,988.22
11.83,76.07,970.97
27.22,93.12,956.34
28.78,96.27,896.11
22.22,78.43,963.04
25.68,94.3,925.82
24.47,86.25,985.82
29.98,77.1,988.61
24.79,79.08,986.68
24.52,84.95,996.16
20.68,86.85,1005.61
28.75,73.99,990.4
25.07,75.5,979.4
26.22,87.02,1001.56
28.67,96.15,923.52
11.4,79.7,1008.02
17.6,78.75,978.22
21.52,73.65,994.13
16.45,74.33,978.78
25.17,82.53,999.19
15.58,79.88,1004.46
26.63,94.92,977.01
19.07,79.07,994.85
22.12,77.5,974.68
24.05,86.15,987.4
23.18,76.97,978.14
27.93,79.28,994.01
17.56,78.22,978.15
10.97,77.28,989.95
17.29,78.03,971.19
27.12,79.41,994.38
10.7,76.75,1001.01
17.23,79.13,989.0
23.67,76.23,982.05
24.45,85.17,994.42
18.72,72.9,1004.57
12.5,76.3,967.16
26.5,75.67,987.18
21.1,85.33,996.27
21.7,79.68,982.64
22.12,76.9,989.4
30.69,76.09,988.23
26.72,94.23,999.11
25.27,87.22,1003.5
13.63,74.7,1008.19
20.5,85.83,1003.5
19.97,72.72,1007.34
32.53,75.97,899.96
24.05,84.07,992.21
23.83,79.45,983.19
26.17,85.9,1001.21
27.05,88.27,889.59
25.67,78.47,990.54
24.2,72.2,997.49
30.32,78.03,966.59
24.92,84.18,997.92
16.38,73.35,1006.59
23.78,86.43,991.3
22.6,75.3,973.81
12.13,78.03,985.13
32.27,76.38,939.28
26.67,77.83,993.03
26.02,89.98,1003.11
26.15,89.92,1002.57
22.18,88.2,1005.21
27.48,95.02,999.84
21.83,87.78,1005.27
20.72,70.92,1006.97
22.83,74.27,987.95
17.72,83.3,998.43
24.27,87.25,997.13
23.83,73.67,989.64
21.18,81.28,987.86
23.48,87.32,1001.56
22.37,69.08,1006.83
26.12,92.87,1002.37
29.9,78.55,946.71
32.86,74.9,978.84
17.91,78.01,978.38
24.48,71.73,1000.85
30.27,80.52,792.18
32.58,74.93,984.4
26.91,79.6,995.07
26.1,90.78,1003.21
24.93,92.77,1004.74
24.03,84.07,992.59
20.42,72.85,1007.17
26.31,79.3,994.92
30.22,74.17,991.16
