Latitude,Longitude,PTrain_DT2
22.95,88.55,25.93
32.94,74.39,19.37
24.07,79.08,27.12
24.18,72.03,29.18
20.45,72.88,27.99
26.8,79.25,24.2
21.67,87.35,25.56
25.7,92.02,20.94
25.28,74.67,27.62
30.19,76.63,21.49
27.14,79.75,23.65
20.62,83.35,29.52
20.9,77.6,31.44
24.27,73.38,28.71
25.55,84.87,24.44
26.05,77.37,25.78
27.07,88.2,19.74
11.68,77.13,31.39
31.28,76.25,20.33
26.7,88.48,22.2
20.43,85.98,27.27
22.13,84.8,28.07
22.68,84.55,27.29
24.63,93.77,22.11
26.05,86.98,23.52
34.4,74.32,15.06
19.02,72.85,28.51
27.25,92.4,13.03
14.6,76.68,33.68
17.89,78.46,32.63
34.01,74.64,14.32
26.82,94.83,20.41
27.87,96.37,18.06
32.65,74.82,19.39
24.1,92.6,24.91
34.48,74.24,14.19
17.33,78.41,32.62
23.35,92.83,24.4
27.35,73.1,25.58
30.19,76.51,21.53
22.36,88.12,25.27
34.53,76.2,6.64
34.38,74.99,10.67
24.02,87.15,25.93
34.28,74.44,15.15
33.6,75.02,14.29
28.26,75.37,23.75
22.25,85.8,26.9
26.52,71.81,27.12
26.77,92.6,21.47
25.5,83.85,24.6
13.62,76.42,32.84
22.25,88.67,25.34
9.17,92.83,27.67
22.55,85.82,27.18
24.92,75.58,27.84
22.03,82.7,28.81
20.78,86.73,26.11
19.97,79.3,31.74
26.2,92.52,22.52
25.78,84.73,24.13
13.0,80.18,28.59
13.07,80.25,28.35
25.25,91.73,19.4
22.1,79.0,28.55
13.25,75.75,30.91
14.23,76.43,32.87
24.88,74.63,28.1
24.65,83.1,25.49
28.25,74.92,23.89
11.0,76.97,32.04
11.03,77.05,32.23
21.78,87.75,25.47
26.33,89.47,22.81
11.77,79.77,28.58
14.48,78.83,32.17
20.47,85.93,27.37
20.22,73.05,28.87
22.52,88.78,25.65
25.68,85.35,24.24
26.84,79.53,24.06
11.15,75.82,29.32
17.31,78.87,32.51
26.92,79.21,24.08
30.4,74.9,21.81
29.66,77.45,21.76
22.97,86.05,26.86
22.15,70.58,29.26
29.39,76.99,22.17
24.04,79.1,27.12
30.73,76.79,20.88
28.43,75.51,23.54
27.72,96.23,19.3
26.57,94.7,20.26
24.05,86.9,25.89
25.88,87.13,23.78
28.16,75.46,23.8
25.68,93.23,22.58
21.43,71.22,29.62
25.3,93.72,18.98
28.68,73.12,24.02
24.88,78.97,26.46
11.83,76.07,30.62
27.22,93.12,18.51
28.78,96.27,14.88
22.22,78.43,28.55
25.68,94.3,17.48
24.47,86.25,25.3
29.98,77.1,21.56
24.79,79.08,26.48
24.52,84.95,25.74
20.68,86.85,26.02
28.75,73.99,23.69
25.07,75.5,27.51
26.22,87.02,23.27
28.67,96.15,16.03
11.4,79.7,28.78
17.6,78.75,32.42
21.52,73.65,29.48
16.45,74.33,31.96
25.17,82.53,25.2
15.58,79.88,29.13
26.63,94.92,19.98
19.07,79.07,32.55
22.12,77.5,29.83
24.05,86.15,25.84
23.18,76.97,29.13
27.93,79.28,22.97
17.56,78.22,32.84
10.97,77.28,32.72
17.29,78.03,32.64
27.12,79.41,23.79
10.7,76.75,31.62
17.23,79.13,32.3
23.67,76.23,29.01
24.45,85.17,25.76
18.72,72.9,28.82
12.5,76.3,31.71
26.5,75.67,25.79
21.1,85.33,28.24
21.7,79.68,29.52
22.12,76.9,30.63
30.69,76.09,21.17
