Latitude,Longitude,PTrain_DT2
22.95,88.55,22.44
32.94,74.39,17.12
24.07,79.08,23.81
24.18,72.03,26.44
20.45,72.88,26.94
26.8,79.25,20.51
21.67,87.35,22.74
25.7,92.02,17.69
25.28,74.67,24.57
30.19,76.63,18.17
27.14,79.75,19.89
20.62,83.35,26.27
20.9,77.6,28.48
24.27,73.38,25.9
25.55,84.87,21.02
26.05,77.37,22.43
27.07,88.2,16.7
11.68,77.13,29.01
31.28,76.25,17.45
26.7,88.48,18.88
20.43,85.98,24.49
22.13,84.8,24.64
22.68,84.55,23.86
24.63,93.77,18.93
26.05,86.98,20.05
34.4,74.32,13.3
19.02,72.85,27.88
27.25,92.4,11.14
14.6,76.68,30.89
17.89,78.46,29.64
34.01,74.64,12.44
26.82,94.83,17.73
27.87,96.37,15.73
32.65,74.82,17.1
24.1,92.6,21.33
34.48,74.24,12.45
17.33,78.41,29.68
23.35,92.83,20.88
27.35,73.1,22.37
30.19,76.51,18.2
22.36,88.12,22.19
34.53,76.2,4.45
34.38,74.99,8.75
24.02,87.15,22.23
34.28,74.44,13.37
33.6,75.02,12.3
28.26,75.37,20.31
22.25,85.8,23.43
26.52,71.81,24.07
26.77,92.6,18.38
25.5,83.85,21.2
13.62,76.42,30.32
22.25,88.67,22.28
9.17,92.83,26.95
22.55,85.82,23.67
24.92,75.58,24.77
22.03,82.7,25.52
20.78,86.73,23.54
19.97,79.3,28.63
26.2,92.52,19.28
25.78,84.73,20.71
13.0,80.18,27.58
13.07,80.25,27.44
25.25,91.73,16.24
22.1,79.0,25.38
13.25,75.75,29.07
14.23,76.43,30.32
24.88,74.63,25.09
24.65,83.1,22.17
28.25,74.92,20.48
11.0,76.97,29.88
11.03,77.05,29.96
21.78,87.75,22.61
26.33,89.47,19.39
11.77,79.77,27.73
14.48,78.83,29.66
20.47,85.93,24.56
20.22,73.05,27.65
22.52,88.78,22.39
25.68,85.35,20.79
26.84,79.53,20.33
11.15,75.82,28.94
17.31,78.87,29.6
26.92,79.21,20.39
30.4,74.9,18.5
29.66,77.45,18.34
22.97,86.05,23.29
22.15,70.58,27.67
29.39,76.99,18.68
24.04,79.1,23.81
30.73,76.79,17.76
28.43,75.51,20.07
27.72,96.23,16.79
26.57,94.7,17.58
24.05,86.9,22.21
25.88,87.13,20.28
28.16,75.46,20.38
25.68,93.23,19.4
21.43,71.22,28.15
25.3,93.72,16.14
28.68,73.12,20.6
24.88,78.97,23.04
11.83,76.07,29.25
27.22,93.12,15.81
28.78,96.27,13.49
22.22,78.43,25.55
25.68,94.3,14.95
24.47,86.25,21.72
29.98,77.1,18.19
24.79,79.08,23.06
24.52,84.95,22.29
20.68,86.85,23.51
28.75,73.99,20.24
25.07,75.5,24.47
26.22,87.02,19.82
28.67,96.15,14.18
11.4,79.7,27.86
17.6,78.75,29.46
21.52,73.65,27.5
16.45,74.33,30.45
25.17,82.53,21.77
15.58,79.88,27.64
26.63,94.92,17.35
19.07,79.07,29.44
22.12,77.5,26.91
24.05,86.15,22.25
23.18,76.97,26.19
27.93,79.28,19.28
17.56,78.22,29.88
10.97,77.28,30.17
17.29,78.03,29.7
27.12,79.41,20.07
10.7,76.75,29.85
17.23,79.13,29.45
23.67,76.23,26.04
24.45,85.17,22.29
18.72,72.9,28.22
12.5,76.3,29.66
26.5,75.67,22.54
21.1,85.33,24.98
21.7,79.68,26.36
22.12,76.9,27.72
30.69,76.09,17.98
26.72,94.23,18.29
25.27,87.22,21.07
13.63,74.7,29.02
20.5,85.83,24.65
19.97,72.72,27.25
32.53,75.97,13.43
24.05,84.07,22.96
23.83,79.45,23.9
26.17,85.9,20.04
27.05,88.27,11.96
25.67,78.47,22.35
24.2,72.2,26.39
30.32,78.03,17.47
24.92,84.18,21.93
16.38,73.35,28.93
23.78,86.43,22.52
22.6,75.3,27.11
12.13,78.03,30.23
32.27,76.38,15.55
26.67,77.83,21.36
26.02,89.98,19.76
26.15,89.92,19.58
22.18,88.2,22.13
27.48,95.02,17.3
21.83,87.78,22.58
20.72,70.92,27.39
22.83,74.27,26.89
