Latitude,Longitude,PTrain_DT2
22.95,88.55,32.17
32.94,74.39,31.5
24.07,79.08,38.35
24.18,72.03,37.35
20.45,72.88,30.87
26.8,79.25,37.14
21.67,87.35,30.0
25.7,92.02,29.56
25.28,74.67,38.37
30.19,76.63,34.48
27.14,79.75,36.7
20.62,83.35,37.46
20.9,77.6,40.04
24.27,73.38,37.63
25.55,84.87,35.92
26.05,77.37,38.01
27.07,88.2,29.82
11.68,77.13,33.34
31.28,76.25,32.82
26.7,88.48,32.85
20.43,85.98,32.52
22.13,84.8,36.77
22.68,84.55,36.86
24.63,93.77,29.85
26.05,86.98,34.45
34.4,74.32,25.75
19.02,72.85,30.61
27.25,92.4,19.38
14.6,76.68,37.42
17.89,78.46,39.02
34.01,74.64,25.07
26.82,94.83,27.94
27.87,96.37,23.73
32.65,74.82,31.66
24.1,92.6,31.83
34.48,74.24,24.61
17.33,78.41,38.52
23.35,92.83,30.88
27.35,73.1,37.63
30.19,76.51,34.53
22.36,88.12,29.95
34.53,76.2,17.65
34.38,74.99,21.22
24.02,87.15,34.85
34.28,74.44,25.85
33.6,75.02,25.18
28.26,75.37,36.56
22.25,85.8,34.79
26.52,71.81,38.21
26.77,92.6,30.2
25.5,83.85,36.39
13.62,76.42,35.72
22.25,88.67,29.91
9.17,92.83,29.47
22.55,85.82,35.29
24.92,75.58,38.62
22.03,82.7,38.62
20.78,86.73,30.43
19.97,79.3,40.1
26.2,92.52,31.1
25.78,84.73,35.76
13.0,80.18,31.26
13.07,80.25,30.96
25.25,91.73,27.53
22.1,79.0,38.15
13.25,75.75,32.44
14.23,76.43,36.08
24.88,74.63,38.42
24.65,83.1,36.99
28.25,74.92,36.64
11.0,76.97,33.97
11.03,77.05,34.27
21.78,87.75,29.87
26.33,89.47,32.82
11.77,79.77,30.91
14.48,78.83,36.27
20.47,85.93,32.76
20.22,73.05,32.1
22.52,88.78,30.9
25.68,85.35,35.59
26.84,79.53,37.03
11.15,75.82,30.5
17.31,78.87,38.38
26.92,79.21,37.05
30.4,74.9,34.85
29.66,77.45,34.8
22.97,86.05,35.37
22.15,70.58,33.58
29.39,76.99,35.28
24.04,79.1,38.32
30.73,76.79,33.67
28.43,75.51,36.44
27.72,96.23,25.58
26.57,94.7,27.87
24.05,86.9,35.1
25.88,87.13,34.54
28.16,75.46,36.55
25.68,93.23,30.87
21.43,71.22,33.61
