Latitude,Longitude,PTrain_DT2
22.95,88.55,26.14
32.94,74.39,23.2
24.07,79.08,27.01
24.18,72.03,30.82
20.45,72.88,29.74
26.8,79.25,25.97
21.67,87.35,26.19
25.7,92.02,21.79
25.28,74.67,29.22
30.19,76.63,24.89
27.14,79.75,25.47
20.62,83.35,27.53
20.9,77.6,29.37
24.27,73.38,29.94
25.55,84.87,25.63
26.05,77.37,27.47
27.07,88.2,21.49
11.68,77.13,27.55
31.28,76.25,23.63
26.7,88.48,24.18
20.43,85.98,26.82
22.13,84.8,26.87
22.68,84.55,26.14
24.63,93.77,21.93
26.05,86.98,25.14
34.4,74.32,19.11
19.02,72.85,29.89
27.25,92.4,15.38
14.6,76.68,29.57
17.89,78.46,29.01
34.01,74.64,18.54
26.82,94.83,21.74
27.87,96.37,18.59
32.65,74.82,23.06
24.1,92.6,24.91
34.48,74.24,18.67
17.33,78.41,28.93
23.35,92.83,23.68
27.35,73.1,28.62
30.19,76.51,24.96
22.36,88.12,26.01
34.53,76.2,12.42
34.38,74.99,16.16
24.02,87.15,26.1
34.28,74.44,19.18
33.6,75.02,18.4
28.26,75.37,26.92
22.25,85.8,25.88
26.52,71.81,29.94
26.77,92.6,23.36
25.5,83.85,25.68
13.62,76.42,28.93
22.25,88.67,25.97
9.17,92.83,26.8
22.55,85.82,26.48
24.92,75.58,29.05
22.03,82.7,27.21
20.78,86.73,26.45
19.97,79.3,28.97
26.2,92.52,24.06
25.78,84.73,25.47
13.0,80.18,28.0
13.07,80.25,27.96
25.25,91.73,20.06
22.1,79.0,27.06
13.25,75.75,27.51
14.23,76.43,28.94
24.88,74.63,29.46
24.65,83.1,25.74
28.25,74.92,27.12
11.0,76.97,28.75
11.03,77.05,28.82
21.78,87.75,26.11
26.33,89.47,24.61
11.77,79.77,27.99
14.48,78.83,29.15
20.47,85.93,26.86
20.22,73.05,30.05
22.52,88.78,26.04
25.68,85.35,25.55
26.84,79.53,25.78
11.15,75.82,28.87
17.31,78.87,29.06
26.92,79.21,25.92
30.4,74.9,25.58
29.66,77.45,24.89
22.97,86.05,26.32
22.15,70.58,30.96
29.39,76.99,25.39
24.04,79.1,26.98
30.73,76.79,24.21
28.43,75.51,26.76
27.72,96.23,20.44
26.57,94.7,21.35
24.05,86.9,26.0
25.88,87.13,25.28
28.16,75.46,26.9
25.68,93.23,23.48
21.43,71.22,30.9
25.3,93.72,19.4
28.68,73.12,27.73
24.88,78.97,27.02
11.83,76.07,27.96
27.22,93.12,20.14
28.78,96.27,15.81
22.22,78.43,27.12
25.68,94.3,18.08
24.47,86.25,25.52
29.98,77.1,24.81
24.79,79.08,26.94
24.52,84.95,26.07
20.68,86.85,26.42
28.75,73.99,27.25
25.07,75.5,28.8
26.22,87.02,25.02
28.67,96.15,16.61
11.4,79.7,28.04
17.6,78.75,28.83
21.52,73.65,30.16
16.45,74.33,29.93
25.17,82.53,25.97
15.58,79.88,28.29
26.63,94.92,20.99
19.07,79.07,29.37
22.12,77.5,28.5
24.05,86.15,25.78
23.18,76.97,28.7
27.93,79.28,25.22
17.56,78.22,29.14
10.97,77.28,29.04
17.29,78.03,28.83
27.12,79.41,25.67
10.7,76.75,29.12
17.23,79.13,29.04
23.67,76.23,29.15
24.45,85.17,26.02
18.72,72.9,29.96
12.5,76.3,28.27
26.5,75.67,28.07
21.1,85.33,26.89
21.7,79.68,27.79
