Latitude,Longitude,PTrain_DT2
22.95,88.55,29.64
32.94,74.39,34.02
24.07,79.08,28.96
24.18,72.03,31.33
20.45,72.88,28.14
26.8,79.25,31.44
21.67,87.35,29.35
25.7,92.02,26.3
25.28,74.67,31.0
30.19,76.63,33.79
27.14,79.75,31.37
20.62,83.35,29.67
20.9,77.6,29.37
24.27,73.38,29.5
25.55,84.87,30.75
26.05,77.37,31.54
27.07,88.2,27.56
11.68,77.13,26.72
31.28,76.25,32.5
26.7,88.48,30.52
20.43,85.98,29.57
22.13,84.8,29.44
22.68,84.55,28.56
24.63,93.77,25.75
26.05,86.98,30.75
34.4,74.32,29.01
19.02,72.85,27.69
27.25,92.4,22.38
14.6,76.68,29.63
17.89,78.46,29.41
34.01,74.64,27.73
26.82,94.83,28.16
27.87,96.37,27.22
32.65,74.82,33.32
24.1,92.6,28.05
34.48,74.24,28.23
17.33,78.41,29.31
23.35,92.83,26.25
27.35,73.1,33.74
30.19,76.51,33.89
22.36,88.12,29.41
34.53,76.2,24.68
34.38,74.99,25.91
24.02,87.15,29.75
34.28,74.44,28.91
33.6,75.02,27.19
28.26,75.37,33.75
22.25,85.8,28.15
26.52,71.81,33.47
26.77,92.6,29.32
25.5,83.85,30.73
13.62,76.42,28.23
22.25,88.67,29.28
9.17,92.83,28.65
22.55,85.82,29.2
24.92,75.58,30.81
22.03,82.7,29.36
20.78,86.73,29.34
19.97,79.3,29.9
26.2,92.52,29.32
25.78,84.73,30.85
13.0,80.18,29.97
13.07,80.25,29.9
25.25,91.73,24.68
22.1,79.0,27.67
13.25,75.75,24.47
14.23,76.43,28.17
24.88,74.63,30.68
24.65,83.1,29.38
28.25,74.92,33.9
11.0,76.97,28.93
11.03,77.05,29.26
21.78,87.75,29.28
26.33,89.47,30.41
11.77,79.77,29.85
14.48,78.83,31.11
20.47,85.93,29.63
20.22,73.05,28.21
22.52,88.78,29.41
25.68,85.35,30.83
26.84,79.53,31.34
11.15,75.82,28.72
17.31,78.87,29.81
26.92,79.21,31.53
30.4,74.9,35.02
29.66,77.45,33.2
22.97,86.05,29.18
22.15,70.58,28.42
29.39,76.99,33.67
24.04,79.1,28.89
30.73,76.79,33.21
28.43,75.51,33.92
27.72,96.23,28.94
26.57,94.7,27.36
24.05,86.9,29.53
25.88,87.13,30.73
28.16,75.46,33.47
25.68,93.23,27.92
21.43,71.22,28.16
25.3,93.72,24.51
28.68,73.12,35.67
24.88,78.97,29.97
11.83,76.07,25.13
27.22,93.12,26.64
28.78,96.27,24.06
22.22,78.43,27.48
25.68,94.3,24.04
24.47,86.25,29.08
29.98,77.1,33.45
24.79,79.08,29.77
24.52,84.95,29.98
20.68,86.85,29.3
28.75,73.99,35.05
25.07,75.5,30.46
26.22,87.02,30.87
28.67,96.15,25.42
11.4,79.7,30.03
17.6,78.75,29.34
21.52,73.65,28.4
16.45,74.33,26.52
25.17,82.53,30.54
15.58,79.88,29.8
26.63,94.92,27.2
19.07,79.07,30.38
22.12,77.5,28.47
24.05,86.15,29.09
23.18,76.97,29.06
27.93,79.28,31.9
17.56,78.22,29.49
10.97,77.28,30.35
17.29,78.03,29.01
27.12,79.41,31.48
10.7,76.75,30.1
17.23,79.13,29.98
23.67,76.23,29.69
24.45,85.17,29.81
18.72,72.9,27.35
12.5,76.3,26.55
26.5,75.67,32.27
21.1,85.33,29.38
21.7,79.68,28.81
22.12,76.9,29.62
30.69,76.09,34.04
26.72,94.23,28.84
25.27,87.22,30.55
13.63,74.7,28.16
20.5,85.83,29.63
19.97,72.72,27.94
32.53,75.97,26.14
24.05,84.07,29.61
23.83,79.45,29.03
26.17,85.9,31.01
27.05,88.27,22.6
25.67,78.47,30.78
24.2,72.2,31.19
30.32,78.03,30.73
24.92,84.18,30.3
16.38,73.35,27.37
23.78,86.43,29.27
22.6,75.3,28.39
12.13,78.03,30.99
32.27,76.38,28.93
26.67,77.83,31.95
26.02,89.98,30.16
26.15,89.92,30.2
22.18,88.2,29.28
27.48,95.02,29.32
21.83,87.78,29.32
20.72,70.92,27.66
22.83,74.27,29.2
17.72,83.3,28.65
24.27,87.25,29.73
23.83,73.67,30.18
21.18,81.28,29.29
23.48,87.32,29.84
22.37,69.08,28.2
26.12,92.87,29.16
29.9,78.55,28.6
32.86,74.9,32.61
17.91,78.01,29.53
24.48,71.73,31.77
30.27,80.52,18.54
32.58,74.93,33.3
26.91,79.6,31.32
26.1,90.78,29.97
24.93,92.77,28.87
24.03,84.07,29.63
20.42,72.85,28.16
26.31,79.3,31.14
30.22,74.17,35.51
34.17,74.9,28.29
32.65,74.9,33.15
24.73,79.21,29.7
26.63,92.8,29.54
34.33,74.38,28.95
24.02,85.55,28.27
28.45,72.5,35.93
25.33,88.32,30.23
30.75,76.15,33.96
27.9,96.3,29.07
28.02,96.23,27.31
25.75,75.38,31.56
18.25,77.1,29.04
25.74,79.16,30.81
23.13,78.68,29.17
27.98,79.42,31.85
26.17,85.0,31.07
29.73,78.47,32.03
23.43,73.75,30.52
20.03,75.03,28.11
33.13,75.98,25.68
29.86,78.64,27.68
26.92,71.37,34.18
30.66,76.83,33.33
24.6,92.83,28.71
33.27,74.55,30.9
17.65,77.47,29.23
30.58,76.82,33.39
25.98,87.13,30.77
24.42,85.98,29.18
28.93,76.17,34.07
33.53,74.22,28.97
29.93,78.74,29.76
24.37,92.17,28.97
26.7,77.9,31.94
29.91,78.7,29.16
25.6,75.61,31.68
21.48,85.82,27.47
33.58,74.09,29.95
26.47,92.47,29.52
19.3,75.67,28.8
22.98,71.47,29.94
22.57,70.42,28.84
23.57,76.78,29.37
32.74,74.81,33.25
24.15,78.23,29.44
28.39,75.63,33.73
28.35,75.64,33.7
16.22,73.83,27.9
27.13,94.77,29.14
26.17,93.57,26.56
17.94,78.68,29.2
20.17,84.85,29.04
27.1,79.95,31.3
26.35,89.9,30.19
27.27,93.07,26.91
32.56,74.92,33.32
24.53,84.92,30.06
12.17,76.6,27.13
15.68,74.97,26.62
34.27,74.47,28.9
34.45,74.41,28.45
34.39,73.79,30.29
21.07,83.2,29.57
18.02,78.9,29.3
34.37,73.98,22.62
23.75,86.17,29.44
16.05,73.92,27.58
23.42,91.67,28.69
29.08,74.68,35.01
28.87,75.45,34.44
25.32,86.02,30.64
25.55,84.15,30.74
23.98,86.02,29.33
22.97,74.12,29.51
24.76,79.05,29.74
23.13,84.85,27.99
20.0,76.3,28.72
27.5,95.75,29.12
16.73,76.92,30.35
21.7,74.03,25.8
26.28,79.29,31.14
25.93,90.77,29.8
27.79,79.31,31.88
29.28,78.12,32.85
25.97,85.12,30.99
28.19,74.69,33.9
26.13,89.47,30.33
10.03,76.3,28.88
11.22,76.15,29.32
13.07,80.26,29.81
17.58,78.54,29.0
13.25,80.33,29.8
13.13,80.25,29.9
8.18,77.63,28.94
26.75,82.08,31.24
25.93,80.83,30.68
30.92,74.67,35.01
26.3,87.27,30.81
22.37,88.78,29.32
16.28,78.68,28.56
30.72,76.77,33.27
26.35,79.23,31.19
25.77,75.63,31.63
24.18,92.02,28.97
11.18,75.85,28.62
17.84,78.12,29.5
15.42,75.63,27.66
27.33,88.62,23.86
16.53,80.8,30.2
24.75,84.95,30.17
25.4,83.55,30.67
22.77,83.97,28.08
27.13,81.97,31.39
21.47,80.2,29.11
19.27,84.88,29.32
26.75,83.37,31.36
17.35,76.85,29.85
34.05,74.4,24.93
24.65,77.32,29.6
28.42,77.0,33.24
26.1,91.58,29.65
26.23,78.25,31.32
15.42,75.62,27.59
27.23,79.28,31.61
33.89,74.29,27.0
24.05,76.45,29.94
25.58,76.3,31.67
15.73,75.98,28.42
16.27,76.83,30.22
23.52,74.0,30.61
20.1,84.57,29.55
9.92,77.53,30.06
34.16,74.57,28.81
30.65,78.85,23.05
27.85,78.47,32.3
14.55,78.73,31.17
29.9,78.68,27.36
26.01,79.38,30.91
32.79,74.77,33.22
29.97,78.53,28.85
26.7,94.12,28.9
17.61,78.47,29.08
27.72,79.65,31.62
22.77,87.8,29.74
23.28,84.55,27.94
20.88,73.72,27.93
28.3,75.71,33.61
22.9,88.16,29.68
20.13,78.32,29.51
29.85,77.05,33.5
25.22,87.17,30.49
23.95,87.1,29.7
22.7,70.65,29.07
27.22,73.47,33.45
30.72,75.98,34.09
32.98,74.41,33.57
28.36,74.9,34.05
27.7,79.57,31.69
20.67,79.13,29.44
22.25,88.5,29.33
33.26,74.14,30.85
27.32,84.32,31.5
23.27,87.97,29.83
31.52,76.02,33.35
27.98,72.25,35.49
24.9,72.83,31.32
20.72,70.99,27.74
34.08,74.57,28.43
14.97,78.25,31.01
34.1,74.58,28.55
21.92,85.37,27.63
22.02,69.92,27.97
22.26,88.97,29.22
22.86,88.04,29.68
16.75,77.3,30.22
25.73,75.54,31.58
19.92,77.05,28.89
25.93,85.33,30.97
18.17,73.3,27.87
21.33,69.9,27.65
16.72,75.43,28.09
17.21,78.9,29.93
14.83,76.63,29.31
25.96,75.59,31.87
12.84,80.06,30.03
25.6,85.2,30.79
18.98,84.02,27.92
20.37,83.37,29.73
17.63,80.93,30.78
22.55,72.22,29.46
20.28,84.7,29.0
14.98,74.92,26.62
15.17,77.38,30.67
16.28,76.62,29.98
24.67,84.77,30.16
30.64,76.81,33.37
30.1,79.97,23.13
28.07,94.57,27.21
24.67,75.6,30.16
18.02,79.57,30.17
27.38,80.17,31.19
17.82,73.1,27.49
13.0,76.15,25.82
28.08,96.5,25.59
23.98,85.37,28.02
29.17,75.73,34.34
14.28,74.45,27.92
22.77,77.77,29.46
10.58,92.55,28.92
17.45,78.47,29.22
9.5,76.63,29.3
15.8,76.98,30.93
15.02,75.95,28.64
30.03,77.89,37.41
28.18,75.39,33.58
34.28,74.2,26.86
13.0,75.7,24.64
33.39,74.23,29.42
27.65,79.95,31.42
15.43,75.8,28.05
26.86,79.06,31.62
31.03,78.73,21.76
22.57,75.82,28.49
34.53,75.13,24.92
24.6,87.08,29.74
17.55,75.9,29.3
22.62,86.13,29.25
23.67,84.95,28.52
26.39,79.48,31.22
26.53,75.87,32.07
13.95,76.62,29.05
29.93,78.52,28.81
26.0,92.87,29.11
14.03,75.68,27.39
13.54,77.3,29.75
27.57,93.85,24.58
12.82,77.03,28.75
13.23,77.12,28.73
16.47,76.53,30.01
34.3,74.25,27.98
28.78,95.88,26.46
24.53,84.02,30.03
30.17,76.54,33.87
27.68,76.45,32.36
25.05,84.63,30.48
27.6,78.05,32.38
26.27,91.37,29.9
23.83,73.03,30.41
24.77,93.9,25.77
22.72,75.8,28.61
17.69,78.87,29.39
27.16,79.27,31.57
29.84,78.75,25.39
24.68,74.13,30.25
27.68,74.07,33.73
11.57,75.6,28.63
11.77,79.38,30.44
27.24,79.44,31.54
34.65,76.02,23.6
30.1,77.75,32.78
20.13,85.15,29.46
24.28,85.17,28.92
27.33,82.7,31.59
23.2,79.95,28.76
19.08,82.03,28.39
26.82,75.8,31.98
26.9,70.92,34.12
21.05,75.57,29.69
25.35,72.62,32.37
26.53,88.72,30.51
32.67,74.83,32.99
22.82,86.18,29.61
22.82,86.18,29.56
22.88,84.13,27.33
25.08,73.08,31.46
18.2,75.2,28.22
24.53,76.17,30.56
25.45,78.58,30.52
21.92,84.08,29.36
26.3,73.02,33.09
30.55,79.57,25.05
33.19,74.15,32.1
14.53,76.35,28.51
22.23,85.65,28.17
25.48,84.42,30.69
25.05,84.08,30.46
26.2,73.94,32.41
28.88,74.07,35.11
26.72,89.88,29.65
21.73,75.15,29.02
22.47,70.07,28.58
26.1,92.73,29.28
26.38,79.19,31.24
24.92,86.22,30.33
17.61,78.88,29.4
25.55,82.32,30.67
23.63,75.13,29.49
28.05,94.18,29.28
30.64,76.05,34.09
30.8,75.82,34.21
29.28,77.42,33.25
33.98,74.27,24.73
28.06,75.28,33.45
25.1,78.8,30.03
33.78,74.07,31.19
26.21,73.07,33.15
33.34,74.21,30.6
32.6,74.87,33.35
24.43,85.52,29.01
23.1,74.15,29.71
22.17,86.63,29.27
30.03,77.83,32.81
17.74,78.47,29.08
28.33,75.68,33.67
16.33,74.78,26.85
16.43,74.68,26.89
25.38,74.3,30.75
29.8,78.65,28.92
22.52,85.63,27.91
26.13,87.62,30.68
20.78,85.72,29.74
20.82,75.97,29.33
21.85,87.92,29.26
10.95,78.08,31.86
24.32,92.0,28.99
16.95,82.23,29.56
27.07,88.47,26.21
18.33,84.13,29.43
11.73,78.97,30.89
32.4,78.25,23.72
20.27,81.48,29.1
22.67,76.73,29.46
11.83,75.33,28.39
26.43,80.37,30.8
8.08,77.5,28.48
31.33,75.33,34.31
10.92,79.83,29.89
10.07,78.8,30.0
29.7,77.03,33.49
14.78,74.13,27.92
33.0,74.9,29.49
21.62,85.58,28.02
21.32,70.32,27.98
24.98,79.92,29.9
17.25,80.15,30.59
21.83,76.37,29.43
21.82,75.62,29.63
27.9,80.8,31.33
22.08,82.15,28.74
9.95,76.27,28.76
10.23,77.47,18.57
12.95,78.3,28.04
