Latitude,Longitude,PTrain_DT2
22.95,88.55,22.77
32.94,74.39,18.09
24.07,79.08,23.74
24.18,72.03,27.44
20.45,72.88,27.81
26.8,79.25,21.4
21.67,87.35,23.11
25.7,92.02,17.87
25.28,74.67,25.28
30.19,76.63,19.53
27.14,79.75,20.81
20.62,83.35,25.61
20.9,77.6,27.52
24.27,73.38,26.23
25.55,84.87,21.87
26.05,77.37,23.27
27.07,88.2,17.48
11.68,77.13,27.48
31.28,76.25,18.6
26.7,88.48,19.99
20.43,85.98,24.5
22.13,84.8,24.31
22.68,84.55,23.38
24.63,93.77,18.58
26.05,86.98,21.13
34.4,74.32,14.15
19.02,72.85,28.59
27.25,92.4,12.34
14.6,76.68,29.2
17.89,78.46,28.09
34.01,74.64,13.53
26.82,94.83,18.07
27.87,96.37,15.51
32.65,74.82,18.09
24.1,92.6,21.35
34.48,74.24,13.58
17.33,78.41,28.12
23.35,92.83,20.24
27.35,73.1,23.73
30.19,76.51,19.57
22.36,88.12,22.59
34.53,76.2,6.71
34.38,74.99,10.66
24.02,87.15,22.57
34.28,74.44,14.25
33.6,75.02,13.44
28.26,75.37,21.72
22.25,85.8,22.9
26.52,71.81,25.41
26.77,92.6,19.29
25.5,83.85,21.93
13.62,76.42,28.71
22.25,88.67,22.63
9.17,92.83,26.65
22.55,85.82,23.5
24.92,75.58,25.35
22.03,82.7,24.95
20.78,86.73,23.8
19.97,79.3,27.45
26.2,92.52,20.15
25.78,84.73,21.61
13.0,80.18,27.47
13.07,80.25,27.42
25.25,91.73,16.29
22.1,79.0,24.69
13.25,75.75,27.58
14.23,76.43,28.69
24.88,74.63,25.68
24.65,83.1,22.36
28.25,74.92,21.9
11.0,76.97,28.55
11.03,77.05,28.58
21.78,87.75,22.96
26.33,89.47,20.53
11.77,79.77,27.57
14.48,78.83,28.61
20.47,85.93,24.55
20.22,73.05,28.27
22.52,88.78,22.7
25.68,85.35,21.73
26.84,79.53,21.2
11.15,75.82,28.72
17.31,78.87,28.22
26.92,79.21,21.31
