Latitude,Longitude,PTrain_RH2
22.95,88.55,67.82
32.94,74.39,52.73
24.07,79.08,44.14
24.18,72.03,35.98
20.45,72.88,52.1
26.8,79.25,50.6
21.67,87.35,67.87
25.7,92.02,68.78
25.28,74.67,33.69
30.19,76.63,49.23
27.14,79.75,53.11
20.62,83.35,59.83
20.9,77.6,44.03
24.27,73.38,33.06
25.55,84.87,60.31
26.05,77.37,42.13
27.07,88.2,61.69
11.68,77.13,62.94
31.28,76.25,49.25
26.7,88.48,67.61
20.43,85.98,67.57
22.13,84.8,60.32
22.68,84.55,56.72
24.63,93.77,72.72
26.05,86.98,64.4
34.4,74.32,48.9
19.02,72.85,55.58
27.25,92.4,76.64
14.6,76.68,55.39
17.89,78.46,50.64
34.01,74.64,49.77
26.82,94.83,80.14
27.87,96.37,80.42
32.65,74.82,54.05
24.1,92.6,72.43
34.48,74.24,49.02
17.33,78.41,52.33
23.35,92.83,70.36
27.35,73.1,31.45
30.19,76.51,48.92
22.36,88.12,67.82
34.53,76.2,56.66
34.38,74.99,53.01
24.02,87.15,63.42
34.28,74.44,48.88
33.6,75.02,50.41
28.26,75.37,38.99
22.25,85.8,59.99
26.52,71.81,28.87
26.77,92.6,75.69
25.5,83.85,58.38
13.62,76.42,57.97
22.25,88.67,68.74
9.17,92.83,85.33
22.55,85.82,61.55
24.92,75.58,36.26
22.03,82.7,54.91
20.78,86.73,68.53
19.97,79.3,49.84
26.2,92.52,75.61
25.78,84.73,60.1
13.0,80.18,74.27
13.07,80.25,74.52
25.25,91.73,68.75
22.1,79.0,42.74
13.25,75.75,60.0
14.23,76.43,56.3
24.88,74.63,34.21
24.65,83.1,53.5
28.25,74.92,37.62
11.0,76.97,67.25
11.03,77.05,67.02
21.78,87.75,68.16
26.33,89.47,69.67
11.77,79.77,75.71
14.48,78.83,65.44
20.47,85.93,67.42
20.22,73.05,51.39
22.52,88.78,68.57
25.68,85.35,61.33
26.84,79.53,51.76
11.15,75.82,73.66
17.31,78.87,55.31
26.92,79.21,50.64
30.4,74.9,45.84
29.66,77.45,49.87
22.97,86.05,61.24
22.15,70.58,41.37
29.39,76.99,48.06
24.04,79.1,44.06
30.73,76.79,50.68
28.43,75.51,40.14
27.72,96.23,84.81
26.57,94.7,78.03
24.05,86.9,62.29
25.88,87.13,64.84
28.16,75.46,38.59
25.68,93.23,74.52
21.43,71.22,43.8
25.3,93.72,73.2
28.68,73.12,35.66
24.88,78.97,45.75
11.83,76.07,65.27
27.22,93.12,72.57
28.78,96.27,77.62
22.22,78.43,40.97
25.68,94.3,75.39
24.47,86.25,59.42
29.98,77.1,49.82
24.79,79.08,45.72
24.52,84.95,59.1
20.68,86.85,68.93
28.75,73.99,37.76
25.07,75.5,34.98
