Latitude,Longitude,PTrain_RH2
22.95,88.55,61.34
32.94,74.39,34.18
24.07,79.08,17.99
24.18,72.03,27.28
20.45,72.88,58.26
26.8,79.25,23.71
21.67,87.35,69.12
25.7,92.02,46.62
25.28,74.67,15.57
30.19,76.63,26.67
27.14,79.75,25.01
20.62,83.35,36.5
20.9,77.6,17.04
24.27,73.38,18.47
25.55,84.87,35.67
26.05,77.37,19.43
27.07,88.2,39.12
11.68,77.13,43.63
31.28,76.25,28.54
26.7,88.48,45.43
20.43,85.98,60.15
22.13,84.8,38.17
22.68,84.55,31.3
24.63,93.77,49.58
26.05,86.98,42.44
34.4,74.32,40.28
19.02,72.85,61.02
27.25,92.4,63.32
14.6,76.68,31.02
17.89,78.46,23.27
34.01,74.64,40.46
26.82,94.83,58.65
27.87,96.37,61.09
32.65,74.82,34.24
24.1,92.6,58.31
34.48,74.24,41.23
17.33,78.41,26.02
23.35,92.83,53.63
27.35,73.1,15.08
30.19,76.51,26.52
22.36,88.12,69.31
34.53,76.2,48.59
34.38,74.99,44.68
24.02,87.15,46.4
34.28,74.44,39.93
33.6,75.02,39.92
28.26,75.37,19.59
22.25,85.8,41.41
26.52,71.81,14.99
26.77,92.6,56.15
25.5,83.85,32.28
13.62,76.42,36.87
22.25,88.67,69.72
9.17,92.83,75.98
22.55,85.82,44.02
24.92,75.58,16.71
22.03,82.7,26.52
20.78,86.73,67.88
19.97,79.3,19.97
26.2,92.52,57.07
25.78,84.73,35.24
13.0,80.18,68.66
13.07,80.25,69.92
25.25,91.73,46.19
22.1,79.0,17.14
13.25,75.75,45.84
14.23,76.43,34.75
24.88,74.63,16.51
24.65,83.1,26.2
28.25,74.92,18.86
11.0,76.97,49.92
11.03,77.05,48.7
21.78,87.75,69.58
26.33,89.47,49.85
11.77,79.77,70.69
14.48,78.83,45.27
20.47,85.93,59.28
20.22,73.05,53.89
22.52,88.78,66.25
25.68,85.35,37.52
26.84,79.53,24.19
11.15,75.82,71.51
17.31,78.87,30.03
26.92,79.21,23.84
30.4,74.9,25.28
29.66,77.45,26.27
22.97,86.05,42.83
22.15,70.58,42.72
29.39,76.99,25.19
24.04,79.1,17.94
30.73,76.79,28.18
28.43,75.51,20.4
27.72,96.23,63.05
26.57,94.7,56.24
24.05,86.9,43.72
25.88,87.13,43.34
28.16,75.46,19.16
25.68,93.23,54.07
21.43,71.22,44.12
25.3,93.72,50.68
28.68,73.12,19.04
24.88,78.97,19.55
11.83,76.07,54.65
27.22,93.12,52.37
28.78,96.27,68.53
22.22,78.43,16.07
25.68,94.3,54.57
24.47,86.25,36.56
29.98,77.1,26.67
24.79,79.08,19.39
24.52,84.95,34.4
20.68,86.85,68.98
28.75,73.99,19.72
25.07,75.5,15.24
26.22,87.02,42.72
28.67,96.15,64.36
11.4,79.7,70.32
17.6,78.75,26.33
21.52,73.65,40.82
16.45,74.33,42.81
25.17,82.53,28.13
15.58,79.88,61.44
26.63,94.92,56.53
19.07,79.07,22.33
22.12,77.5,15.39
24.05,86.15,37.46
23.18,76.97,15.78
27.93,79.28,25.63
17.56,78.22,23.9
10.97,77.28,46.53
17.29,78.03,23.86
27.12,79.41,24.35
10.7,76.75,57.41
17.23,79.13,33.11
23.67,76.23,16.95
24.45,85.17,34.67
18.72,72.9,59.82
12.5,76.3,45.54
26.5,75.67,17.28
21.1,85.33,45.56
21.7,79.68,17.96
22.12,76.9,18.17
30.69,76.09,27.5
26.72,94.23,59.55
25.27,87.22,44.75
13.63,74.7,69.17
20.5,85.83,57.82
19.97,72.72,59.77
32.53,75.97,36.57
24.05,84.07,30.29
23.83,79.45,18.7
26.17,85.9,39.37
27.05,88.27,52.07
25.67,78.47,20.21
24.2,72.2,26.52
30.32,78.03,27.4
24.92,84.18,32.29
16.38,73.35,65.01
23.78,86.43,41.04
22.6,75.3,19.49
12.13,78.03,38.72
32.27,76.38,33.17
26.67,77.83,21.31
26.02,89.98,51.71
26.15,89.92,51.25
22.18,88.2,71.39
27.48,95.02,62.32
21.83,87.78,69.66
20.72,70.92,57.25
22.83,74.27,29.28
17.72,83.3,64.73
24.27,87.25,45.22
23.83,73.67,25.39
21.18,81.28,22.26
23.48,87.32,52.12
22.37,69.08,53.41
26.12,92.87,57.73
29.9,78.55,27.25
32.86,74.9,34.9
17.91,78.01,21.42
24.48,71.73,27.46
30.27,80.52,47.22
32.58,74.93,33.94
26.91,79.6,24.38
26.1,90.78,53.77
24.93,92.77,59.42
24.03,84.07,30.36
20.42,72.85,58.89
26.31,79.3,23.0
30.22,74.17,24.03
34.17,74.9,41.32
32.65,74.9,34.14
24.73,79.21,19.52
26.63,92.8,58.16
34.33,74.38,40.06
24.02,85.55,31.88
28.45,72.5,18.34
25.33,88.32,46.95
30.75,76.15,27.75
27.9,96.3,63.36
28.02,96.23,61.09
25.75,75.38,16.27
18.25,77.1,18.17
25.74,79.16,21.86
23.13,78.68,17.44
27.98,79.42,25.98
26.17,85.0,36.47
29.73,78.47,27.46
23.43,73.75,32.83
20.03,75.03,23.89
33.13,75.98,39.93
29.86,78.64,27.95
26.92,71.37,15.16
30.66,76.83,28.17
24.6,92.83,59.89
33.27,74.55,34.63
17.65,77.47,20.2
30.58,76.82,27.92
25.98,87.13,43.28
24.42,85.98,35.81
28.93,76.17,22.95
33.53,74.22,36.31
29.93,78.74,27.31
24.37,92.17,61.32
26.7,77.9,21.44
29.91,78.7,27.27
25.6,75.61,17.33
21.48,85.82,43.94
33.58,74.09,35.11
26.47,92.47,57.23
19.3,75.67,22.76
22.98,71.47,38.65
22.57,70.42,50.79
23.57,76.78,16.01
32.74,74.81,34.74
24.15,78.23,17.16
28.39,75.63,20.28
28.35,75.64,20.2
16.22,73.83,57.44
27.13,94.77,61.62
26.17,93.57,51.42
17.94,78.68,23.72
20.17,84.85,52.29
27.1,79.95,25.37
26.35,89.9,50.56
27.27,93.07,52.39
32.56,74.92,33.81
24.53,84.92,34.62
12.17,76.6,45.38
15.68,74.97,40.01
34.27,74.47,39.93
34.45,74.41,41.13
34.39,73.79,38.55
21.07,83.2,32.75
18.02,78.9,24.28
34.37,73.98,49.29
23.75,86.17,39.82
16.05,73.92,57.08
23.42,91.67,67.48
29.08,74.68,21.53
28.87,75.45,21.83
25.32,86.02,40.08
25.55,84.15,33.17
23.98,86.02,37.96
22.97,74.12,30.81
24.76,79.05,19.27
23.13,84.85,30.32
20.0,76.3,18.1
27.5,95.75,63.1
16.73,76.92,21.95
21.7,74.03,26.45
26.28,79.29,22.98
25.93,90.77,53.39
27.79,79.31,25.53
29.28,78.12,26.56
25.97,85.12,36.85
28.19,74.69,18.32
26.13,89.47,50.02
10.03,76.3,71.85
11.22,76.15,65.13
13.07,80.26,69.99
17.58,78.54,24.95
13.25,80.33,70.08
13.13,80.25,69.4
8.18,77.63,73.06
26.75,82.08,28.7
25.93,80.83,24.89
30.92,74.67,26.78
26.3,87.27,43.18
22.37,88.78,68.15
16.28,78.68,34.04
30.72,76.77,28.17
26.35,79.23,22.95
25.77,75.63,16.76
24.18,92.02,62.36
11.18,75.85,70.88
17.84,78.12,22.12
15.42,75.63,35.74
27.33,88.62,48.28
16.53,80.8,58.13
24.75,84.95,34.77
25.4,83.55,31.23
22.77,83.97,26.93
27.13,81.97,28.95
21.47,80.2,19.23
19.27,84.88,67.89
26.75,83.37,32.06
17.35,76.85,20.24
34.05,74.4,43.59
24.65,77.32,15.88
28.42,77.0,22.75
26.1,91.58,55.38
26.23,78.25,20.88
15.42,75.62,35.79
27.23,79.28,24.37
33.89,74.29,39.74
24.05,76.45,16.63
25.58,76.3,18.33
15.73,75.98,30.79
16.27,76.83,23.7
23.52,74.0,30.53
20.1,84.57,52.7
9.92,77.53,49.23
34.16,74.57,39.59
30.65,78.85,38.21
27.85,78.47,24.17
14.55,78.73,44.02
29.9,78.68,28.43
26.01,79.38,22.6
32.79,74.77,34.98
29.97,78.53,27.31
26.7,94.12,59.51
17.61,78.47,24.46
27.72,79.65,25.84
22.77,87.8,63.14
23.28,84.55,28.5
20.88,73.72,39.67
28.3,75.71,20.14
22.9,88.16,62.34
20.13,78.32,17.44
29.85,77.05,26.23
25.22,87.17,44.42
23.95,87.1,46.34
22.7,70.65,47.89
27.22,73.47,15.15
30.72,75.98,27.42
32.98,74.41,33.91
28.36,74.9,19.2
27.7,79.57,25.73
20.67,79.13,18.3
22.25,88.5,68.91
33.26,74.14,33.83
27.32,84.32,34.77
23.27,87.97,57.84
31.52,76.02,30.09
27.98,72.25,17.15
24.9,72.83,18.68
20.72,70.99,57.91
34.08,74.57,40.2
14.97,78.25,37.16
34.1,74.58,40.2
21.92,85.37,37.46
22.02,69.92,44.69
22.26,88.97,69.82
22.86,88.04,62.64
16.75,77.3,22.71
25.73,75.54,16.57
19.92,77.05,16.75
25.93,85.33,37.58
18.17,73.3,58.93
21.33,69.9,55.65
16.72,75.43,29.38
17.21,78.9,31.36
14.83,76.63,30.59
25.96,75.59,16.97
12.84,80.06,66.72
25.6,85.2,36.95
18.98,84.02,51.79
20.37,83.37,38.59
17.63,80.93,44.09
22.55,72.22,51.04
20.28,84.7,49.1
14.98,74.92,48.3
15.17,77.38,27.28
16.28,76.62,24.51
24.67,84.77,34.21
30.64,76.81,28.1
30.1,79.97,36.77
28.07,94.57,58.01
24.67,75.6,15.69
18.02,79.57,28.96
27.38,80.17,25.98
17.82,73.1,62.98
13.0,76.15,42.82
28.08,96.5,63.38
23.98,85.37,30.71
29.17,75.73,22.76
14.28,74.45,67.95
22.77,77.77,17.1
10.58,92.55,75.61
17.45,78.47,25.52
9.5,76.63,66.49
15.8,76.98,25.43
15.02,75.95,35.81
30.03,77.89,29.64
28.18,75.39,19.24
34.28,74.2,41.69
13.0,75.7,47.82
33.39,74.23,35.28
27.65,79.95,26.17
15.43,75.8,34.26
26.86,79.06,23.66
31.03,78.73,41.17
22.57,75.82,17.47
34.53,75.13,46.81
24.6,87.08,42.73
17.55,75.9,24.63
22.62,86.13,46.49
23.67,84.95,30.91
26.39,79.48,23.65
26.53,75.87,17.15
13.95,76.62,34.23
29.93,78.52,27.18
26.0,92.87,57.75
14.03,75.68,44.49
13.54,77.3,30.0
27.57,93.85,58.78
12.82,77.03,36.4
13.23,77.12,33.12
16.47,76.53,24.37
34.3,74.25,40.56
28.78,95.88,62.29
24.53,84.02,31.16
30.17,76.54,26.5
27.68,76.45,19.09
25.05,84.63,34.43
27.6,78.05,23.04
26.27,91.37,55.34
23.83,73.03,28.17
24.77,93.9,49.87
22.72,75.8,17.52
17.69,78.87,26.43
27.16,79.27,24.22
29.84,78.75,31.02
24.68,74.13,16.68
27.68,74.07,16.58
11.57,75.6,71.29
11.77,79.38,63.03
27.24,79.44,24.64
34.65,76.02,50.88
30.1,77.75,27.75
20.13,85.15,57.77
24.28,85.17,31.72
27.33,82.7,30.99
23.2,79.95,18.85
19.08,82.03,32.54
26.82,75.8,16.63
26.9,70.92,14.8
21.05,75.57,24.38
25.35,72.62,18.88
26.53,88.72,46.72
32.67,74.83,33.92
22.82,86.18,47.09
22.82,86.18,46.8
22.88,84.13,26.47
25.08,73.08,17.71
18.2,75.2,26.97
24.53,76.17,17.27
25.45,78.58,19.88
21.92,84.08,32.73
26.3,73.02,15.97
30.55,79.57,34.44
33.19,74.15,33.48
14.53,76.35,33.94
22.23,85.65,40.22
25.48,84.42,33.92
25.05,84.08,32.45
26.2,73.94,15.47
28.88,74.07,20.15
26.72,89.88,47.45
21.73,75.15,24.26
22.47,70.07,52.65
26.1,92.73,57.9
26.38,79.19,22.97
24.92,86.22,40.55
17.61,78.88,27.08
25.55,82.32,27.84
23.63,75.13,19.04
28.05,94.18,59.57
30.64,76.05,27.29
30.8,75.82,27.56
29.28,77.42,25.33
33.98,74.27,43.55
28.06,75.28,18.64
25.1,78.8,19.34
33.78,74.07,35.52
26.21,73.07,16.66
33.34,74.21,34.45
32.6,74.87,34.04
24.43,85.52,32.99
23.1,74.15,30.04
22.17,86.63,55.74
30.03,77.83,27.77
17.74,78.47,23.77
28.33,75.68,20.21
16.33,74.78,37.79
16.43,74.68,37.89
25.38,74.3,14.29
29.8,78.65,26.93
22.52,85.63,37.43
26.13,87.62,44.28
20.78,85.72,53.57
20.82,75.97,20.86
21.85,87.92,70.61
