Latitude,Longitude,PTrain_RH2
22.95,88.55,60.89
32.94,74.39,57.61
24.07,79.08,43.45
24.18,72.03,33.13
20.45,72.88,48.07
26.8,79.25,54.09
21.67,87.35,62.62
25.7,92.02,61.56
25.28,74.67,32.85
30.19,76.63,55.54
27.14,79.75,57.0
20.62,83.35,49.88
20.9,77.6,36.72
24.27,73.38,28.83
25.55,84.87,57.03
26.05,77.37,44.19
27.07,88.2,60.36
11.68,77.13,44.55
31.28,76.25,54.96
26.7,88.48,64.26
20.43,85.98,60.6
22.13,84.8,51.45
22.68,84.55,48.2
24.63,93.77,63.32
26.05,86.98,60.36
34.4,74.32,54.62
19.02,72.85,51.16
27.25,92.4,76.38
14.6,76.68,39.05
17.89,78.46,37.69
34.01,74.64,56.19
26.82,94.83,74.35
27.87,96.37,77.75
32.65,74.82,58.82
24.1,92.6,63.05
34.48,74.24,55.41
17.33,78.41,38.78
23.35,92.83,59.74
27.35,73.1,35.79
30.19,76.51,55.26
22.36,88.12,62.4
34.53,76.2,70.62
34.38,74.99,62.54
24.02,87.15,55.89
34.28,74.44,54.58
33.6,75.02,56.92
28.26,75.37,44.63
22.25,85.8,50.64
26.52,71.81,30.85
26.77,92.6,69.95
25.5,83.85,56.09
13.62,76.42,41.21
22.25,88.67,63.15
9.17,92.83,78.49
22.55,85.82,53.04
24.92,75.58,35.05
22.03,82.7,46.6
20.78,86.73,63.06
19.97,79.3,39.77
26.2,92.52,68.72
25.78,84.73,57.49
13.0,80.18,67.06
13.07,80.25,67.75
25.25,91.73,61.66
22.1,79.0,39.45
13.25,75.75,43.37
14.23,76.43,39.92
24.88,74.63,32.3
24.65,83.1,50.4
28.25,74.92,43.28
11.0,76.97,51.58
11.03,77.05,51.04
21.78,87.75,62.85
26.33,89.47,64.61
11.77,79.77,68.48
14.48,78.83,52.54
20.47,85.93,60.32
20.22,73.05,46.55
22.52,88.78,62.3
25.68,85.35,57.84
26.84,79.53,55.3
11.15,75.82,66.28
17.31,78.87,42.17
26.92,79.21,54.3
30.4,74.9,52.55
29.66,77.45,55.95
22.97,86.05,52.86
22.15,70.58,36.62
29.39,76.99,54.25
24.04,79.1,43.35
30.73,76.79,56.7
28.43,75.51,45.95
27.72,96.23,81.15
26.57,94.7,71.98
24.05,86.9,54.68
25.88,87.13,60.33
28.16,75.46,44.1
25.68,93.23,66.38
21.43,71.22,38.64
25.3,93.72,66.58
28.68,73.12,42.04
24.88,78.97,46.21
11.83,76.07,50.28
27.22,93.12,69.0
28.78,96.27,76.83
22.22,78.43,37.49
25.68,94.3,70.53
24.47,86.25,52.53
29.98,77.1,56.01
24.79,79.08,46.09
24.52,84.95,53.54
20.68,86.85,63.64
28.75,73.99,44.13
25.07,75.5,34.07
26.22,87.02,61.07
28.67,96.15,76.59
11.4,79.7,68.54
17.6,78.75,39.49
21.52,73.65,38.94
16.45,74.33,42.12
25.17,82.53,54.26
15.58,79.88,61.17
26.63,94.92,72.51
19.07,79.07,40.29
22.12,77.5,35.61
24.05,86.15,52.21
23.18,76.97,35.55
27.93,79.28,57.43
17.56,78.22,37.66
10.97,77.28,50.66
17.29,78.03,36.76
27.12,79.41,55.48
10.7,76.75,58.42
17.23,79.13,44.39
23.67,76.23,34.82
24.45,85.17,53.23
18.72,72.9,50.38
12.5,76.3,45.44
26.5,75.67,39.42
21.1,85.33,54.2
21.7,79.68,40.61
22.12,76.9,36.79
30.69,76.09,55.77
26.72,94.23,74.03
25.27,87.22,59.17
13.63,74.7,62.47
20.5,85.83,59.69
19.97,72.72,49.3
32.53,75.97,54.73
24.05,84.07,50.96
23.83,79.45,44.8
26.17,85.9,59.66
27.05,88.27,69.07
25.67,78.47,46.89
24.2,72.2,32.69
30.32,78.03,54.87
24.92,84.18,54.18
16.38,73.35,56.25
23.78,86.43,53.18
22.6,75.3,32.02
12.13,78.03,45.99
32.27,76.38,53.82
26.67,77.83,48.17
26.02,89.98,64.34
26.15,89.92,64.53
22.18,88.2,63.09
27.48,95.02,78.8
21.83,87.78,62.89
20.72,70.92,45.42
22.83,74.27,34.36
17.72,83.3,61.66
24.27,87.25,55.91
23.83,73.67,32.65
21.18,81.28,43.06
23.48,87.32,57.3
22.37,69.08,39.95
26.12,92.87,69.28
29.9,78.55,52.76
32.86,74.9,58.19
17.91,78.01,36.24
24.48,71.73,33.13
30.27,80.52,64.12
32.58,74.93,58.69
26.91,79.6,55.72
26.1,90.78,65.7
24.93,92.77,66.53
24.03,84.07,51.02
20.42,72.85,48.46
26.31,79.3,52.8
30.22,74.17,50.6
34.17,74.9,56.84
32.65,74.9,58.54
24.73,79.21,46.45
26.63,92.8,71.04
34.33,74.38,54.57
24.02,85.55,49.82
28.45,72.5,39.93
25.33,88.32,60.7
30.75,76.15,56.04
27.9,96.3,81.76
28.02,96.23,77.74
25.75,75.38,36.21
18.25,77.1,33.03
25.74,79.16,50.45
23.13,78.68,41.29
27.98,79.42,58.13
26.17,85.0,58.86
29.73,78.47,57.91
23.43,73.75,36.52
20.03,75.03,33.89
33.13,75.98,58.17
29.86,78.64,52.33
26.92,71.37,30.74
30.66,76.83,56.93
24.6,92.83,65.99
33.27,74.55,53.49
17.65,77.47,34.28
30.58,76.82,56.74
25.98,87.13,60.62
24.42,85.98,52.39
28.93,76.17,50.32
33.53,74.22,52.64
29.93,78.74,54.84
24.37,92.17,64.67
26.7,77.9,48.51
29.91,78.7,53.83
25.6,75.61,37.24
21.48,85.82,50.78
33.58,74.09,51.25
26.47,92.47,69.64
19.3,75.67,34.83
22.98,71.47,36.56
22.57,70.42,39.98
23.57,76.78,35.64
32.74,74.81,59.08
24.15,78.23,41.08
28.39,75.63,45.89
28.35,75.64,45.76
16.22,73.83,52.8
27.13,94.77,77.21
26.17,93.57,66.89
17.94,78.68,37.99
20.17,84.85,55.92
27.1,79.95,57.82
26.35,89.9,64.76
27.27,93.07,69.03
32.56,74.92,58.6
24.53,84.92,53.77
12.17,76.6,46.08
15.68,74.97,41.13
34.27,74.47,54.63
34.45,74.41,55.46
34.39,73.79,52.86
21.07,83.2,48.45
18.02,78.9,38.68
34.37,73.98,66.09
23.75,86.17,53.33
16.05,73.92,52.24
23.42,91.67,63.82
29.08,74.68,47.24
28.87,75.45,48.11
25.32,86.02,57.59
25.55,84.15,56.45
23.98,86.02,52.65
22.97,74.12,35.02
24.76,79.05,45.86
23.13,84.85,47.84
20.0,76.3,33.51
27.5,95.75,80.38
16.73,76.92,35.13
21.7,74.03,30.69
26.28,79.29,52.72
25.93,90.77,64.87
27.79,79.31,57.31
29.28,78.12,57.2
25.97,85.12,58.47
28.19,74.69,42.35
26.13,89.47,64.08
10.03,76.3,67.25
11.22,76.15,62.72
13.07,80.26,67.7
17.58,78.54,38.13
13.25,80.33,67.68
13.13,80.25,67.41
8.18,77.63,69.06
26.75,82.08,58.55
25.93,80.83,55.56
30.92,74.67,53.95
26.3,87.27,61.5
22.37,88.78,62.77
16.28,78.68,42.59
30.72,76.77,56.73
26.35,79.23,52.63
25.77,75.63,37.22
24.18,92.02,64.34
11.18,75.85,65.73
17.84,78.12,36.69
15.42,75.63,39.98
27.33,88.62,66.6
16.53,80.8,59.94
24.75,84.95,54.42
25.4,83.55,55.49
22.77,83.97,46.51
27.13,81.97,59.65
21.47,80.2,41.38
19.27,84.88,63.53
26.75,83.37,59.55
17.35,76.85,33.97
34.05,74.4,60.06
24.65,77.32,38.39
28.42,77.0,50.63
26.1,91.58,66.75
26.23,78.25,47.93
15.42,75.62,39.94
27.23,79.28,55.36
33.89,74.29,54.88
24.05,76.45,35.83
25.58,76.3,39.72
15.73,75.98,37.86
16.27,76.83,35.72
23.52,74.0,36.1
20.1,84.57,56.79
9.92,77.53,52.38
34.16,74.57,54.57
30.65,78.85,56.61
27.85,78.47,54.17
14.55,78.73,51.73
29.9,78.68,52.39
26.01,79.38,52.14
32.79,74.77,59.17
29.97,78.53,53.09
26.7,94.12,73.78
17.61,78.47,37.86
27.72,79.65,58.21
22.77,87.8,60.59
23.28,84.55,47.46
20.88,73.72,38.67
28.3,75.71,45.71
22.9,88.16,60.6
20.13,78.32,37.28
29.85,77.05,55.48
25.22,87.17,58.81
23.95,87.1,55.68
22.7,70.65,38.89
27.22,73.47,35.94
30.72,75.98,55.56
32.98,74.41,56.66
28.36,74.9,43.81
27.7,79.57,57.94
20.67,79.13,39.27
22.25,88.5,62.84
33.26,74.14,52.09
27.32,84.32,61.12
23.27,87.97,59.37
31.52,76.02,57.23
27.98,72.25,37.37
24.9,72.83,30.54
20.72,70.99,45.95
34.08,74.57,55.68
14.97,78.25,46.66
34.1,74.58,55.64
21.92,85.37,48.85
22.02,69.92,36.61
22.26,88.97,63.4
22.86,88.04,60.53
16.75,77.3,35.95
25.73,75.54,36.76
19.92,77.05,33.98
25.93,85.33,58.56
18.17,73.3,51.66
21.33,69.9,42.92
16.72,75.43,36.63
17.21,78.9,43.1
14.83,76.63,38.52
25.96,75.59,37.75
12.84,80.06,65.92
25.6,85.2,57.49
18.98,84.02,54.23
20.37,83.37,50.73
17.63,80.93,53.11
22.55,72.22,42.25
20.28,84.7,54.46
14.98,74.92,46.39
15.17,77.38,38.31
16.28,76.62,35.94
24.67,84.77,54.07
30.64,76.81,56.88
30.1,79.97,57.31
28.07,94.57,74.42
24.67,75.6,33.78
18.02,79.57,43.02
27.38,80.17,59.08
17.82,73.1,53.63
13.0,76.15,42.77
28.08,96.5,76.86
23.98,85.37,49.24
29.17,75.73,49.78
14.28,74.45,60.89
22.77,77.77,38.61
10.58,92.55,78.18
17.45,78.47,38.53
9.5,76.63,64.18
15.8,76.98,37.52
15.02,75.95,41.21
30.03,77.89,43.12
28.18,75.39,44.14
34.28,74.2,56.59
13.0,75.7,44.74
33.39,74.23,52.14
27.65,79.95,59.09
15.43,75.8,39.54
26.86,79.06,53.73
31.03,78.73,60.19
22.57,75.82,32.59
34.53,75.13,66.54
24.6,87.08,55.66
17.55,75.9,35.81
22.62,86.13,53.96
23.67,84.95,49.08
26.39,79.48,54.1
26.53,75.87,39.75
13.95,76.62,40.4
29.93,78.52,52.93
26.0,92.87,68.93
14.03,75.68,45.36
13.54,77.3,37.64
27.57,93.85,73.47
12.82,77.03,41.33
13.23,77.12,38.92
16.47,76.53,36.01
34.3,74.25,55.03
28.78,95.88,76.73
24.53,84.02,52.7
30.17,76.54,55.28
27.68,76.45,44.61
25.05,84.63,55.44
27.6,78.05,51.81
26.27,91.37,67.29
23.83,73.03,33.15
24.77,93.9,64.02
22.72,75.8,32.66
17.69,78.87,39.77
27.16,79.27,55.09
29.84,78.75,52.64
24.68,74.13,30.62
27.68,74.07,38.96
11.57,75.6,65.78
11.77,79.38,63.96
27.24,79.44,56.01
34.65,76.02,73.54
30.1,77.75,57.64
20.13,85.15,59.02
24.28,85.17,50.75
27.33,82.7,60.81
23.2,79.95,44.27
19.08,82.03,45.12
26.82,75.8,39.7
26.9,70.92,29.21
21.05,75.57,36.97
25.35,72.62,32.09
26.53,88.72,64.07
32.67,74.83,57.95
22.82,86.18,54.89
22.82,86.18,54.69
22.88,84.13,46.25
25.08,73.08,30.86
18.2,75.2,35.63
24.53,76.17,36.34
25.45,78.58,46.47
21.92,84.08,49.37
26.3,73.02,33.55
30.55,79.57,55.89
33.19,74.15,53.34
14.53,76.35,39.78
22.23,85.65,50.28
25.48,84.42,56.47
25.05,84.08,54.78
26.2,73.94,34.05
28.88,74.07,44.86
26.72,89.88,63.91
21.73,75.15,34.76
22.47,70.07,40.42
26.1,92.73,69.16
26.38,79.19,52.61
24.92,86.22,56.44
17.61,78.88,40.12
25.55,82.32,55.11
23.63,75.13,32.44
28.05,94.18,76.63
30.64,76.05,55.54
30.8,75.82,55.59
29.28,77.42,54.82
33.98,74.27,59.85
28.06,75.28,43.17
25.1,78.8,45.83
33.78,74.07,52.25
26.21,73.07,33.91
33.34,74.21,52.39
32.6,74.87,58.77
24.43,85.52,51.61
23.1,74.15,34.97
22.17,86.63,57.14
30.03,77.83,57.87
17.74,78.47,37.55
28.33,75.68,45.8
16.33,74.78,39.85
16.43,74.68,39.88
25.38,74.3,31.45
29.8,78.65,53.14
22.52,85.63,49.31
26.13,87.62,61.59
20.78,85.72,58.11
20.82,75.97,35.43
21.85,87.92,63.17
10.95,78.08,52.46
24.32,92.0,64.25
16.95,82.23,64.57
27.07,88.47,61.42
18.33,84.13,64.56
11.73,78.97,58.83
32.4,78.25,61.84
20.27,81.48,42.71
22.67,76.73,35.88
11.83,75.33,64.96
