Latitude,Longitude,PTrain_WSD
22.95,88.55,4.33
32.94,74.39,2.06
24.07,79.08,3.75
24.18,72.03,5.75
20.45,72.88,7.59
26.8,79.25,2.82
21.67,87.35,5.91
25.7,92.02,1.46
25.28,74.67,4.17
30.19,76.63,2.33
27.14,79.75,2.71
20.62,83.35,3.78
20.9,77.6,4.07
24.27,73.38,4.91
25.55,84.87,2.05
26.05,77.37,3.27
27.07,88.2,1.97
11.68,77.13,6.28
31.28,76.25,1.92
26.7,88.48,1.31
20.43,85.98,5.38
22.13,84.8,3.32
22.68,84.55,3.02
24.63,93.77,1.54
26.05,86.98,1.68
34.4,74.32,1.23
19.02,72.85,7.43
27.25,92.4,3.05
14.6,76.68,5.32
17.89,78.46,4.54
34.01,74.64,1.42
26.82,94.83,0.74
27.87,96.37,1.59
32.65,74.82,2.1
24.1,92.6,2.26
34.48,74.24,1.3
17.33,78.41,4.66
23.35,92.83,2.45
27.35,73.1,3.89
30.19,76.51,2.35
22.36,88.12,5.63
34.53,76.2,3.06
34.38,74.99,2.02
24.02,87.15,2.86
34.28,74.44,1.24
33.6,75.02,1.55
28.26,75.37,3.12
22.25,85.8,3.55
26.52,71.81,4.59
26.77,92.6,0.72
25.5,83.85,2.23
13.62,76.42,5.64
22.25,88.67,5.53
9.17,92.83,11.67
22.55,85.82,3.54
24.92,75.58,3.98
22.03,82.7,3.12
20.78,86.73,6.02
19.97,79.3,3.82
26.2,92.52,0.89
25.78,84.73,2.04
13.0,80.18,8.03
13.07,80.25,8.11
25.25,91.73,1.9
22.1,79.0,4.88
13.25,75.75,5.52
14.23,76.43,5.47
24.88,74.63,4.3
24.65,83.1,2.69
28.25,74.92,3.21
11.0,76.97,7.05
11.03,77.05,6.99
21.78,87.75,5.85
26.33,89.47,1.29
11.77,79.77,8.62
14.48,78.83,5.85
20.47,85.93,5.29
20.22,73.05,7.09
22.52,88.78,4.99
25.68,85.35,1.97
26.84,79.53,2.79
11.15,75.82,8.59
17.31,78.87,4.61
26.92,79.21,2.81
30.4,74.9,2.53
29.66,77.45,2.36
22.97,86.05,3.28
22.15,70.58,7.12
29.39,76.99,2.51
24.04,79.1,3.78
30.73,76.79,2.13
28.43,75.51,3.03
27.72,96.23,1.01
26.57,94.7,0.92
24.05,86.9,2.74
25.88,87.13,1.72
28.16,75.46,3.14
25.68,93.23,0.95
21.43,71.22,6.88
25.3,93.72,1.99
28.68,73.12,3.45
24.88,78.97,3.34
11.83,76.07,6.52
27.22,93.12,1.36
28.78,96.27,3.14
22.22,78.43,4.85
25.68,94.3,2.42
24.47,86.25,2.35
29.98,77.1,2.33
24.79,79.08,3.39
24.52,84.95,2.32
20.68,86.85,6.13
28.75,73.99,3.22
25.07,75.5,4.0
26.22,87.02,1.63
28.67,96.15,2.48
11.4,79.7,8.75
17.6,78.75,4.57
21.52,73.65,6.18
16.45,74.33,5.44
25.17,82.53,2.53
15.58,79.88,6.81
26.63,94.92,1.0
19.07,79.07,3.91
22.12,77.5,4.29
24.05,86.15,2.55
23.18,76.97,4.03
27.93,79.28,2.59
17.56,78.22,4.61
10.97,77.28,6.97
17.29,78.03,4.81
27.12,79.41,2.75
10.7,76.75,7.78
17.23,79.13,4.69
23.67,76.23,4.04
24.45,85.17,2.33
18.72,72.9,7.23
12.5,76.3,6.04
26.5,75.67,3.55
21.1,85.33,4.03
21.7,79.68,4.01
22.12,76.9,3.95
30.69,76.09,2.27
26.72,94.23,0.62
25.27,87.22,2.0
13.63,74.7,7.67
20.5,85.83,5.16
19.97,72.72,7.6
32.53,75.97,1.76
24.05,84.07,2.53
23.83,79.45,3.7
26.17,85.9,1.79
27.05,88.27,3.56
25.67,78.47,3.19
24.2,72.2,5.67
30.32,78.03,1.98
24.92,84.18,2.28
16.38,73.35,7.24
23.78,86.43,2.78
22.6,75.3,4.51
12.13,78.03,6.21
32.27,76.38,1.47
26.67,77.83,3.04
26.02,89.98,1.37
26.15,89.92,1.31
22.18,88.2,5.9
27.48,95.02,0.71
21.83,87.78,5.84
20.72,70.92,7.88
22.83,74.27,5.34
17.72,83.3,6.57
24.27,87.25,2.63
23.83,73.67,5.25
21.18,81.28,3.5
23.48,87.32,3.55
22.37,69.08,8.5
26.12,92.87,0.86
29.9,78.55,2.2
32.86,74.9,1.93
17.91,78.01,4.59
24.48,71.73,5.86
30.27,80.52,4.57
32.58,74.93,2.08
26.91,79.6,2.77
26.1,90.78,1.23
24.93,92.77,1.58
24.03,84.07,2.53
20.42,72.85,7.64
26.31,79.3,2.92
30.22,74.17,2.7
34.17,74.9,1.38
32.65,74.9,2.04
24.73,79.21,3.4
26.63,92.8,0.73
34.33,74.38,1.24
24.02,85.55,2.58
28.45,72.5,3.7
25.33,88.32,1.82
30.75,76.15,2.25
27.9,96.3,1.05
28.02,96.23,1.55
25.75,75.38,3.83
18.25,77.1,4.97
25.74,79.16,3.05
23.13,78.68,3.78
27.98,79.42,2.57
26.17,85.0,1.93
29.73,78.47,2.19
23.43,73.75,5.77
20.03,75.03,4.7
33.13,75.98,1.84
29.86,78.64,2.32
26.92,71.37,4.65
30.66,76.83,2.17
24.6,92.83,1.81
33.27,74.55,1.41
17.65,77.47,4.9
30.58,76.82,2.19
25.98,87.13,1.69
24.42,85.98,2.37
28.93,76.17,2.77
33.53,74.22,1.33
29.93,78.74,2.05
24.37,92.17,2.41
26.7,77.9,3.03
29.91,78.7,2.11
25.6,75.61,3.78
21.48,85.82,3.91
33.58,74.09,1.28
26.47,92.47,0.82
19.3,75.67,4.57
22.98,71.47,6.77
22.57,70.42,8.07
23.57,76.78,3.97
32.74,74.81,2.11
24.15,78.23,3.68
28.39,75.63,3.02
28.35,75.64,3.04
16.22,73.83,6.61
27.13,94.77,0.65
26.17,93.57,1.18
17.94,78.68,4.55
20.17,84.85,4.94
27.1,79.95,2.7
26.35,89.9,1.22
27.27,93.07,1.26
32.56,74.92,2.08
24.53,84.92,2.31
12.17,76.6,6.2
15.68,74.97,5.29
34.27,74.47,1.24
34.45,74.41,1.28
34.39,73.79,1.2
21.07,83.2,3.49
18.02,78.9,4.48
34.37,73.98,2.83
23.75,86.17,2.7
16.05,73.92,6.54
23.42,91.67,3.98
29.08,74.68,2.99
28.87,75.45,2.91
25.32,86.02,2.02
25.55,84.15,2.17
23.98,86.02,2.58
22.97,74.12,5.51
24.76,79.05,3.41
23.13,84.85,2.93
20.0,76.3,4.49
27.5,95.75,0.84
16.73,76.92,4.76
21.7,74.03,4.84
26.28,79.29,2.92
25.93,90.77,1.31
27.79,79.31,2.62
29.28,78.12,2.4
25.97,85.12,1.94
28.19,74.69,3.28
26.13,89.47,1.36
10.03,76.3,9.13
11.22,76.15,8.1
13.07,80.26,8.11
17.58,78.54,4.66
13.25,80.33,8.07
13.13,80.25,8.05
8.18,77.63,10.38
26.75,82.08,2.47
25.93,80.83,2.82
30.92,74.67,2.42
26.3,87.27,1.57
22.37,88.78,5.27
16.28,78.68,4.97
30.72,76.77,2.14
26.35,79.23,2.92
25.77,75.63,3.75
24.18,92.02,2.72
11.18,75.85,8.52
17.84,78.12,4.59
15.42,75.63,5.23
27.33,88.62,3.16
16.53,80.8,6.37
24.75,84.95,2.24
25.4,83.55,2.3
22.77,83.97,3.1
27.13,81.97,2.44
21.47,80.2,3.73
19.27,84.88,6.53
26.75,83.37,2.21
17.35,76.85,4.79
34.05,74.4,2.03
24.65,77.32,3.77
28.42,77.0,2.77
26.1,91.58,1.1
26.23,78.25,3.09
15.42,75.62,5.23
27.23,79.28,2.74
33.89,74.29,1.5
24.05,76.45,3.91
25.58,76.3,3.58
15.73,75.98,5.12
16.27,76.83,4.88
23.52,74.0,5.49
20.1,84.57,5.0
9.92,77.53,7.6
34.16,74.57,1.25
30.65,78.85,2.9
27.85,78.47,2.7
14.55,78.73,5.76
29.9,78.68,2.35
26.01,79.38,2.97
32.79,74.77,2.11
29.97,78.53,2.14
26.7,94.12,0.62
17.61,78.47,4.66
27.72,79.65,2.6
22.77,87.8,4.86
23.28,84.55,2.94
20.88,73.72,5.93
28.3,75.71,3.04
22.9,88.16,4.62
20.13,78.32,4.15
29.85,77.05,2.37
25.22,87.17,2.03
23.95,87.1,2.91
22.7,70.65,7.79
27.22,73.47,3.86
30.72,75.98,2.27
32.98,74.41,1.92
28.36,74.9,3.18
27.7,79.57,2.61
20.67,79.13,3.92
22.25,88.5,5.47
33.26,74.14,1.39
27.32,84.32,1.97
23.27,87.97,4.03
31.52,76.02,2.04
27.98,72.25,3.93
24.9,72.83,4.9
20.72,70.99,7.93
34.08,74.57,1.35
14.97,78.25,5.29
34.1,74.58,1.33
21.92,85.37,3.46
22.02,69.92,7.38
22.26,88.97,5.45
22.86,88.04,4.71
16.75,77.3,4.75
25.73,75.54,3.78
19.92,77.05,4.51
25.93,85.33,1.92
18.17,73.3,7.01
21.33,69.9,8.12
16.72,75.43,4.97
17.21,78.9,4.65
14.83,76.63,5.29
25.96,75.59,3.7
12.84,80.06,7.91
25.6,85.2,2.0
18.98,84.02,5.18
20.37,83.37,3.97
17.63,80.93,5.07
22.55,72.22,7.71
20.28,84.7,4.67
14.98,74.92,5.78
15.17,77.38,5.07
16.28,76.62,4.9
24.67,84.77,2.28
30.64,76.81,2.18
30.1,79.97,2.99
28.07,94.57,1.37
24.67,75.6,4.06
18.02,79.57,4.34
27.38,80.17,2.63
17.82,73.1,7.3
13.0,76.15,5.72
28.08,96.5,2.47
23.98,85.37,2.65
29.17,75.73,2.76
14.28,74.45,7.48
22.77,77.77,3.8
10.58,92.55,10.6
17.45,78.47,4.65
9.5,76.63,8.99
15.8,76.98,4.84
15.02,75.95,5.31
30.03,77.89,2.97
28.18,75.39,3.14
34.28,74.2,1.53
13.0,75.7,5.7
33.39,74.23,1.33
27.65,79.95,2.59
15.43,75.8,5.2
26.86,79.06,2.83
31.03,78.73,3.15
22.57,75.82,4.35
34.53,75.13,2.53
24.6,87.08,2.35
17.55,75.9,4.72
22.62,86.13,3.67
23.67,84.95,2.71
26.39,79.48,2.87
26.53,75.87,3.51
13.95,76.62,5.53
29.93,78.52,2.17
26.0,92.87,0.9
14.03,75.68,5.74
13.54,77.3,5.78
27.57,93.85,2.46
12.82,77.03,5.91
13.23,77.12,5.86
16.47,76.53,4.84
34.3,74.25,1.33
28.78,95.88,1.95
24.53,84.02,2.39
30.17,76.54,2.35
27.68,76.45,3.12
25.05,84.63,2.19
27.6,78.05,2.81
26.27,91.37,1.07
23.83,73.03,5.64
24.77,93.9,1.5
22.72,75.8,4.34
17.69,78.87,4.53
27.16,79.27,2.75
29.84,78.75,2.75
24.68,74.13,4.53
27.68,74.07,3.58
11.57,75.6,8.4
11.77,79.38,7.98
27.24,79.44,2.72
34.65,76.02,3.62
30.1,77.75,2.2
20.13,85.15,5.37
24.28,85.17,2.46
27.33,82.7,2.29
23.2,79.95,3.82
19.08,82.03,4.21
26.82,75.8,3.5
26.9,70.92,4.84
21.05,75.57,4.46
25.35,72.62,4.8
26.53,88.72,1.31
32.67,74.83,1.98
22.82,86.18,3.58
22.82,86.18,3.57
22.88,84.13,3.24
25.08,73.08,4.74
18.2,75.2,4.8
24.53,76.17,3.87
25.45,78.58,3.24
21.92,84.08,3.16
26.3,73.02,4.27
30.55,79.57,2.31
33.19,74.15,1.54
14.53,76.35,5.38
22.23,85.65,3.49
25.48,84.42,2.13
25.05,84.08,2.26
26.2,73.94,4.08
28.88,74.07,3.16
26.72,89.88,1.11
21.73,75.15,4.68
22.47,70.07,8.29
26.1,92.73,0.9
26.38,79.19,2.91
24.92,86.22,2.18
17.61,78.88,4.55
25.55,82.32,2.55
23.63,75.13,4.46
28.05,94.18,0.75
30.64,76.05,2.29
30.8,75.82,2.28
29.28,77.42,2.47
33.98,74.27,2.06
28.06,75.28,3.21
25.1,78.8,3.35
33.78,74.07,1.3
26.21,73.07,4.29
33.34,74.21,1.37
32.6,74.87,2.1
24.43,85.52,2.37
23.1,74.15,5.44
22.17,86.63,4.56
30.03,77.83,2.22
17.74,78.47,4.64
28.33,75.68,3.03
16.33,74.78,5.19
16.43,74.68,5.2
25.38,74.3,4.25
29.8,78.65,2.19
22.52,85.63,3.26
26.13,87.62,1.57
20.78,85.72,4.7
20.82,75.97,4.32
21.85,87.92,5.92
10.95,78.08,7.07
24.32,92.0,2.54
16.95,82.23,7.06
27.07,88.47,2.37
18.33,84.13,6.79
11.73,78.97,7.38
32.4,78.25,2.47
20.27,81.48,3.75
22.67,76.73,4.0
11.83,75.33,8.25
26.43,80.37,2.8
8.08,77.5,10.4
31.33,75.33,2.23
10.92,79.83,9.06
10.07,78.8,8.76
29.7,77.03,2.41
14.78,74.13,7.44
33.0,74.9,1.4
21.62,85.58,3.79
21.32,70.32,7.56
24.98,79.92,3.21
17.25,80.15,5.04
21.83,76.37,4.14
21.82,75.62,4.43
27.9,80.8,2.47
22.08,82.15,3.37
9.95,76.27,9.21
10.23,77.47,5.19
12.95,78.3,5.91
16.7,74.23,5.41
22.53,88.33,5.18
22.65,88.45,4.89
7.22,93.73,13.34
10.75,79.35,8.51
25.15,75.85,3.82
25.18,75.9,3.8
17.55,80.63,5.0
9.53,76.6,8.96
11.25,75.78,8.53
23.4,88.52,3.67
10.4,78.67,8.22
33.58,75.5,1.47
34.42,74.3,1.24
15.83,78.07,4.95
26.85,79.5,2.79
25.22,82.72,2.49
13.24,76.86,5.79
19.28,74.37,4.96
17.87,78.76,4.54
17.22,78.03,4.8
13.55,76.01,5.67
22.5,73.75,6.24
21.53,73.43,6.58
32.68,74.76,2.13
31.91,75.45,2.13
29.92,77.07,2.34
13.02,80.12,7.92
27.57,79.35,2.66
27.51,79.51,2.66
30.02,79.07,2.5
13.35,77.98,5.89
34.3,73.95,1.73
34.12,74.81,1.36
28.62,72.97,3.51
22.17,85.62,3.52
27.78,79.32,2.61
21.85,72.13,7.92
17.5,74.75,4.97
26.7,89.45,1.18
28.19,75.7,3.08
20.03,77.83,4.34
25.25,94.47,2.3
26.89,79.65,2.77
17.92,82.97,6.15
22.44,88.1,5.49
11.7,75.53,8.35
30.04,73.95,2.79
9.82,77.15,6.96
21.95,85.32,3.43
21.23,78.9,4.11
22.05,78.3,4.85
26.8,75.64,3.51
19.25,73.15,7.19
19.5,83.32,4.36
33.23,74.39,1.48
32.96,74.41,1.93
24.6,84.82,2.3
29.79,78.71,2.13
19.9,86.12,6.38
29.87,78.72,2.47
20.27,85.18,5.22
21.42,79.27,4.39
17.07,78.49,4.77
25.4,79.5,3.09
12.85,74.9,7.83
28.93,74.89,3.0
23.1,71.4,6.98
23.43,85.32,2.83
12.42,78.38,6.22
11.83,75.67,7.85
23.48,70.47,7.54
22.42,71.87,7.37
25.13,75.58,3.95
24.54,75.71,4.04
25.7,81.35,2.74
17.28,76.22,4.74
21.78,85.97,4.03
21.32,77.61,4.16
10.92,76.43,8.0
10.47,79.73,9.13
20.23,83.28,4.0
18.15,73.0,7.23
27.05,79.39,2.76
26.65,79.99,2.79
27.23,79.25,2.74
23.1,74.87,4.75
28.37,76.9,2.8
29.82,78.53,2.27
19.72,76.27,4.47
33.77,74.35,1.72
30.66,76.84,2.16
26.18,92.73,0.85
23.32,91.32,4.33
25.05,75.0,4.14
26.49,79.19,2.88
9.18,76.55,9.57
10.98,78.23,7.21
34.45,74.29,1.23
24.75,78.25,3.49
24.03,79.2,3.71
17.75,77.9,4.65
27.08,79.82,2.72
15.85,77.27,4.89
22.84,88.42,4.59
24.98,78.27,3.42
23.6,74.62,4.83
23.35,77.07,3.97
16.62,73.9,5.62
23.63,85.0,2.75
22.6,81.47,4.25
18.75,73.55,5.41
26.99,79.64,2.75
24.82,78.76,3.43
33.53,77.5,4.8
24.37,82.95,2.68
25.05,84.05,2.26
25.07,83.95,2.28
16.55,73.62,6.83
29.89,78.66,2.34
24.86,78.86,3.43
29.12,75.52,2.82
25.5,75.85,3.73
23.97,93.22,1.9
23.37,93.12,2.21
29.98,78.62,2.11
24.97,85.1,2.16
22.53,88.32,5.19
26.52,85.97,1.72
26.25,76.33,3.44
28.04,75.65,3.16
25.65,94.03,2.81
33.23,74.63,1.49
20.18,85.62,5.54
28.12,74.76,3.29
25.35,75.53,3.86
18.12,73.0,6.99
21.18,71.65,7.58
25.53,86.55,1.91
26.82,70.7,5.01
21.51,77.52,5.27
22.52,79.03,4.63
21.43,78.97,4.08
13.18,80.04,7.66
27.69,79.67,2.6
17.97,78.72,4.51
16.97,78.35,4.76
34.29,74.23,1.37
34.17,74.27,1.51
15.2,76.22,5.19
19.83,83.73,4.45
12.46,80.1,8.35
24.53,75.65,4.06
16.75,77.78,4.75
10.08,78.75,8.71
13.93,78.27,5.55
27.69,79.65,2.61
16.1,78.3,4.94
16.03,79.95,6.48
28.23,95.0,0.85
11.15,75.97,8.38
26.75,94.83,1.07
29.54,77.49,2.39
9.23,76.87,9.15
33.5,74.83,3.61
21.43,74.43,5.45
12.71,76.95,5.94
8.77,78.1,10.07
11.73,75.88,6.29
24.38,84.53,2.4
25.85,85.6,1.9
30.4,77.95,1.96
12.48,76.87,6.04
8.37,77.0,10.22
34.1,74.65,1.34
17.67,82.23,5.67
34.11,74.52,1.28
18.93,77.48,4.56
9.8,76.8,7.56
17.83,73.92,5.24
23.72,85.5,2.66
23.8,81.35,3.45
12.92,74.82,7.88
26.62,89.83,1.13
24.65,79.15,3.42
29.98,78.7,2.04
24.22,84.67,2.5
23.97,87.17,2.91
17.97,78.86,4.49
27.83,79.47,2.59
16.13,76.58,4.97
9.75,76.57,8.89
11.98,75.95,6.17
24.71,79.22,3.39
24.82,85.25,2.19
16.17,76.88,4.91
32.89,74.74,2.09
24.59,79.18,3.43
34.51,76.27,3.78
23.8,80.8,3.52
26.42,87.43,1.52
13.32,77.14,5.86
24.37,87.42,2.56
23.8,86.28,2.76
12.42,92.93,9.36
26.75,80.88,2.68
30.93,75.87,2.24
30.9,75.8,2.25
25.75,93.18,0.92
34.03,74.68,1.37
25.55,76.22,3.61
34.42,74.23,1.24
30.38,77.81,2.03
24.5,87.13,2.43
24.58,78.88,3.5
21.7,84.67,3.32
23.27,92.47,2.61
25.2,93.3,1.39
13.7,75.67,5.82
25.58,93.77,2.25
26.77,84.98,1.87
27.23,94.12,0.62
25.18,86.08,2.07
28.33,73.2,3.55
24.37,87.2,2.56
21.85,87.22,5.5
24.17,88.27,2.8
30.72,76.25,2.24
17.44,78.54,4.61
22.22,70.23,7.56
24.11,78.98,4.03
25.47,92.8,1.14
25.5,93.12,1.04
27.75,95.92,0.92
