Latitude,Longitude,PTrain_WSD
25.65,87.13,3.89
22.95,88.55,4.71
32.94,74.39,5.22
24.07,79.08,6.3
24.18,72.03,9.05
20.45,72.88,9.75
26.8,79.25,6.84
21.67,87.35,6.15
25.7,92.02,1.34
25.28,74.67,7.15
30.19,76.63,5.87
27.14,79.75,6.77
20.62,83.35,4.18
20.9,77.6,6.65
24.27,73.38,7.98
25.55,84.87,4.81
26.05,77.37,6.75
27.07,88.2,2.3
11.68,77.13,8.97
31.28,76.25,3.72
26.7,88.48,3.86
20.43,85.98,5.18
22.13,84.8,3.86
22.68,84.55,3.76
24.63,93.77,1.23
26.05,86.98,4.03
34.4,74.32,-0.55
19.02,72.85,9.32
27.25,92.4,2.22
14.6,76.68,7.32
17.89,78.46,6.15
34.01,74.64,-0.59
26.82,94.83,2.74
27.87,96.37,2.47
32.65,74.82,5.32
24.1,92.6,2.46
34.48,74.24,-0.77
17.33,78.41,6.16
23.35,92.83,2.06
27.35,73.1,7.44
30.19,76.51,5.9
22.36,88.12,6.05
34.53,76.2,4.12
34.38,74.99,0.89
24.02,87.15,3.62
34.28,74.44,-0.59
33.6,75.02,-0.49
28.26,75.37,6.55
22.25,85.8,3.78
26.52,71.81,8.32
26.77,92.6,2.71
25.5,83.85,5.39
13.62,76.42,7.97
22.25,88.67,5.85
9.17,92.83,11.74
22.55,85.82,3.91
24.92,75.58,6.9
22.03,82.7,4.55
20.78,86.73,5.97
19.97,79.3,5.9
26.2,92.52,2.65
25.78,84.73,4.99
13.0,80.18,8.56
13.07,80.25,8.62
25.25,91.73,1.68
22.1,79.0,6.76
13.25,75.75,8.75
14.23,76.43,7.82
24.88,74.63,7.24
24.65,83.1,4.94
28.25,74.92,6.62
11.0,76.97,9.24
11.03,77.05,9.14
21.78,87.75,6.1
26.33,89.47,3.41
11.77,79.77,9.68
14.48,78.83,6.48
20.47,85.93,5.1
20.22,73.05,9.19
22.52,88.78,5.3
25.68,85.35,4.62
26.84,79.53,6.82
11.15,75.82,10.89
17.31,78.87,5.68
26.92,79.21,6.83
30.4,74.9,6.3
29.66,77.45,5.87
22.97,86.05,3.74
22.15,70.58,10.27
29.39,76.99,6.28
24.04,79.1,6.28
30.73,76.79,5.14
28.43,75.51,6.58
27.72,96.23,4.45
26.57,94.7,2.05
24.05,86.9,3.49
25.88,87.13,3.96
28.16,75.46,6.4
25.68,93.23,1.78
21.43,71.22,9.74
25.3,93.72,1.47
28.68,73.12,7.56
24.88,78.97,6.51
11.83,76.07,9.12
27.22,93.12,1.34
28.78,96.27,1.17
22.22,78.43,6.93
25.68,94.3,1.73
24.47,86.25,3.28
29.98,77.1,5.82
24.79,79.08,6.43
24.52,84.95,4.11
20.68,86.85,6.06
28.75,73.99,7.1
25.07,75.5,6.82
26.22,87.02,4.14
28.67,96.15,1.13
11.4,79.7,9.98
17.6,78.75,5.95
21.52,73.65,8.58
16.45,74.33,7.69
25.17,82.53,6.05
15.58,79.88,6.96
26.63,94.92,2.05
19.07,79.07,5.62
22.12,77.5,6.76
24.05,86.15,3.36
23.18,76.97,6.61
27.93,79.28,6.59
17.56,78.22,6.24
10.97,77.28,9.01
17.29,78.03,6.65
27.12,79.41,6.72
10.7,76.75,10.0
17.23,79.13,5.54
23.67,76.23,6.71
24.45,85.17,3.93
18.72,72.9,9.12
12.5,76.3,8.59
26.5,75.67,6.86
21.1,85.33,4.06
21.7,79.68,6.36
22.12,76.9,6.59
30.69,76.09,5.75
26.72,94.23,3.04
25.27,87.22,3.76
13.63,74.7,9.34
20.5,85.83,4.97
19.97,72.72,9.69
32.53,75.97,-1.09
24.05,84.07,4.31
23.83,79.45,6.38
26.17,85.9,4.58
27.05,88.27,2.9
25.67,78.47,6.63
24.2,72.2,8.93
30.32,78.03,2.79
24.92,84.18,4.77
16.38,73.35,8.87
23.78,86.43,3.47
22.6,75.3,7.15
12.13,78.03,7.79
32.27,76.38,-0.04
26.67,77.83,6.84
26.02,89.98,3.15
26.15,89.92,3.18
22.18,88.2,6.32
27.48,95.02,4.13
21.83,87.78,6.11
20.72,70.92,10.53
22.83,74.27,7.95
17.72,83.3,6.22
24.27,87.25,3.48
23.83,73.67,8.15
21.18,81.28,5.18
23.48,87.32,4.13
22.37,69.08,11.95
26.12,92.87,2.61
29.9,78.55,1.17
32.86,74.9,4.42
17.91,78.01,6.41
24.48,71.73,9.27
30.27,80.52,5.99
32.58,74.93,5.24
26.91,79.6,6.79
26.1,90.78,2.99
24.93,92.77,2.5
24.03,84.07,4.32
20.42,72.85,9.8
26.31,79.3,6.86
30.22,74.17,6.63
34.17,74.9,-0.18
32.65,74.9,5.05
24.73,79.21,6.43
26.63,92.8,2.97
34.33,74.38,-0.58
24.02,85.55,3.38
28.45,72.5,7.94
25.33,88.32,3.43
30.75,76.15,5.69
27.9,96.3,4.63
28.02,96.23,2.44
25.75,75.38,6.93
18.25,77.1,7.31
25.74,79.16,6.82
23.13,78.68,6.56
27.98,79.42,6.6
26.17,85.0,5.05
29.73,78.47,5.07
23.43,73.75,8.5
20.03,75.03,7.18
33.13,75.98,-0.44
29.86,78.64,0.58
26.92,71.37,8.48
30.66,76.83,5.36
24.6,92.83,2.51
33.27,74.55,1.06
17.65,77.47,7.04
30.58,76.82,5.43
25.98,87.13,4.0
24.42,85.98,3.39
28.93,76.17,6.57
33.53,74.22,-0.68
29.93,78.74,2.26
24.37,92.17,2.99
26.7,77.9,6.83
29.91,78.7,1.66
25.6,75.61,6.98
21.48,85.82,3.99
33.58,74.09,-0.54
26.47,92.47,2.83
19.3,75.67,6.86
22.98,71.47,9.85
22.57,70.42,11.28
23.57,76.78,6.6
32.74,74.81,5.34
24.15,78.23,6.44
28.39,75.63,6.47
28.35,75.64,6.47
16.22,73.83,8.22
27.13,94.77,3.76
26.17,93.57,1.32
17.94,78.68,6.12
20.17,84.85,4.76
27.1,79.95,6.83
26.35,89.9,3.18
27.27,93.07,1.41
32.56,74.92,5.23
24.53,84.92,4.17
12.17,76.6,8.62
15.68,74.97,7.69
34.27,74.47,-0.58
34.45,74.41,-0.65
34.39,73.79,-0.2
21.07,83.2,4.17
18.02,78.9,5.94
34.37,73.98,3.11
23.75,86.17,3.52
16.05,73.92,8.2
23.42,91.67,4.31
29.08,74.68,6.93
28.87,75.45,6.73
25.32,86.02,4.13
25.55,84.15,5.24
23.98,86.02,3.47
22.97,74.12,8.13
24.76,79.05,6.42
23.13,84.85,3.65
20.0,76.3,6.95
27.5,95.75,4.44
16.73,76.92,6.74
21.7,74.03,8.09
26.28,79.29,6.88
25.93,90.77,2.86
27.79,79.31,6.7
29.28,78.12,6.15
25.97,85.12,4.9
28.19,74.69,6.65
26.13,89.47,3.34
10.03,76.3,11.9
11.22,76.15,10.25
13.07,80.26,8.62
17.58,78.54,6.27
13.25,80.33,8.51
13.13,80.25,8.54
8.18,77.63,14.0
26.75,82.08,6.58
25.93,80.83,6.8
30.92,74.67,6.17
26.3,87.27,4.06
22.37,88.78,5.58
16.28,78.68,6.24
30.72,76.77,5.22
26.35,79.23,6.85
25.77,75.63,6.9
24.18,92.02,3.22
11.18,75.85,10.79
17.84,78.12,6.34
15.42,75.63,7.52
27.33,88.62,2.24
16.53,80.8,6.31
24.75,84.95,4.26
