Latitude,Longitude,PTrain_WSD
30.27,76.03,6.86
25.65,87.13,3.76
22.95,88.55,6.0
32.94,74.39,6.6
24.07,79.08,9.2
24.18,72.03,13.91
20.45,72.88,16.86
26.8,79.25,8.47
21.67,87.35,9.0
25.7,92.02,1.37
25.28,74.67,10.92
30.19,76.63,6.83
27.14,79.75,8.34
20.62,83.35,4.96
20.9,77.6,9.96
24.27,73.38,13.3
25.55,84.87,5.27
26.05,77.37,8.9
27.07,88.2,3.23
11.68,77.13,10.84
31.28,76.25,4.11
26.7,88.48,4.02
20.43,85.98,6.9
22.13,84.8,4.51
22.68,84.55,4.75
24.63,93.77,0.85
26.05,86.98,4.04
34.4,74.32,-2.09
19.02,72.85,15.97
27.25,92.4,3.14
14.6,76.68,9.71
17.89,78.46,8.84
34.01,74.64,-2.41
26.82,94.83,3.44
27.87,96.37,3.68
32.65,74.82,6.9
24.1,92.6,2.21
34.48,74.24,-2.75
17.33,78.41,8.61
23.35,92.83,1.67
27.35,73.1,10.08
30.19,76.51,6.86
22.36,88.12,8.75
34.53,76.2,3.9
34.38,74.99,-0.94
24.02,87.15,3.93
34.28,74.44,-2.19
33.6,75.02,-2.28
28.26,75.37,8.13
22.25,85.8,4.72
26.52,71.81,11.82
26.77,92.6,2.67
25.5,83.85,6.2
13.62,76.42,10.29
22.25,88.67,8.37
9.17,92.83,11.99
22.55,85.82,4.73
24.92,75.58,10.33
22.03,82.7,5.75
20.78,86.73,8.6
19.97,79.3,8.08
26.2,92.52,2.27
25.78,84.73,5.54
13.0,80.18,9.54
13.07,80.25,9.72
25.25,91.73,1.75
22.1,79.0,11.06
13.25,75.75,11.16
14.23,76.43,10.44
24.88,74.63,11.24
24.65,83.1,6.44
28.25,74.92,8.29
11.0,76.97,10.16
11.03,77.05,10.01
21.78,87.75,8.9
26.33,89.47,3.14
11.77,79.77,10.63
14.48,78.83,6.86
20.47,85.93,6.73
20.22,73.05,15.74
22.52,88.78,7.23
25.68,85.35,4.93
26.84,79.53,8.44
11.15,75.82,12.86
17.31,78.87,7.38
26.92,79.21,8.43
30.4,74.9,7.25
29.66,77.45,6.89
22.97,86.05,4.44
22.15,70.58,17.75
29.39,76.99,7.36
24.04,79.1,9.22
30.73,76.79,5.99
28.43,75.51,8.04
27.72,96.23,6.28
26.57,94.7,2.6
24.05,86.9,3.83
25.88,87.13,3.88
28.16,75.46,8.06
25.68,93.23,1.46
21.43,71.22,16.91
25.3,93.72,1.62
28.68,73.12,9.13
24.88,78.97,8.84
11.83,76.07,10.69
27.22,93.12,1.95
28.78,96.27,0.3
22.22,78.43,11.55
25.68,94.3,2.24
24.47,86.25,3.77
29.98,77.1,6.8
24.79,79.08,8.83
24.52,84.95,4.6
20.68,86.85,8.76
28.75,73.99,8.56
25.07,75.5,10.52
26.22,87.02,4.18
28.67,96.15,1.05
11.4,79.7,10.85
17.6,78.75,8.22
21.52,73.65,14.6
16.45,74.33,11.63
25.17,82.53,7.3
15.58,79.88,8.61
26.63,94.92,2.71
19.07,79.07,7.36
22.12,77.5,10.89
24.05,86.15,3.86
23.18,76.97,10.45
27.93,79.28,8.02
17.56,78.22,8.91
10.97,77.28,9.66
17.29,78.03,9.77
27.12,79.41,8.28
10.7,76.75,10.8
17.23,79.13,6.95
23.67,76.23,10.49
24.45,85.17,4.41
18.72,72.9,15.6
12.5,76.3,10.42
26.5,75.67,9.34
21.1,85.33,4.84
21.7,79.68,9.47
22.12,76.9,9.9
30.69,76.09,6.69
26.72,94.23,3.39
25.27,87.22,3.58
13.63,74.7,12.42
20.5,85.83,6.48
19.97,72.72,16.78
32.53,75.97,-3.84
24.05,84.07,5.18
23.83,79.45,9.12
26.17,85.9,4.84
27.05,88.27,4.27
25.67,78.47,8.73
24.2,72.2,13.82
30.32,78.03,2.84
24.92,84.18,5.47
16.38,73.35,13.97
23.78,86.43,3.93
22.6,75.3,12.03
12.13,78.03,8.43
32.27,76.38,-1.33
26.67,77.83,8.63
26.02,89.98,2.74
26.15,89.92,2.81
22.18,88.2,9.31
27.48,95.02,5.33
21.83,87.78,8.91
20.72,70.92,18.53
22.83,74.27,13.13
17.72,83.3,8.36
24.27,87.25,3.68
23.83,73.67,13.05
21.18,81.28,7.01
23.48,87.32,4.83
22.37,69.08,20.76
26.12,92.87,2.24
29.9,78.55,0.46
32.86,74.9,5.78
17.91,78.01,9.47
24.48,71.73,13.98
30.27,80.52,5.88
32.58,74.93,6.74
26.91,79.6,8.4
26.1,90.78,2.54
24.93,92.77,1.93
24.03,84.07,5.18
20.42,72.85,16.93
26.31,79.3,8.59
30.22,74.17,7.62
34.17,74.9,-1.36
32.65,74.9,6.52
24.73,79.21,8.81
26.63,92.8,2.83
34.33,74.38,-2.17
24.02,85.55,4.3
28.45,72.5,9.68
25.33,88.32,3.16
30.75,76.15,6.63
27.9,96.3,6.58
28.02,96.23,3.63
25.75,75.38,9.98
18.25,77.1,11.75
25.74,79.16,8.72
23.13,78.68,9.56
27.98,79.42,8.03
26.17,85.0,5.58
29.73,78.47,5.98
23.43,73.75,13.38
20.03,75.03,11.88
33.13,75.98,-3.02
29.86,78.64,-0.49
26.92,71.37,11.76
30.66,76.83,6.27
24.6,92.83,2.0
33.27,74.55,0.63
17.65,77.47,10.91
30.58,76.82,6.34
25.98,87.13,3.95
24.42,85.98,3.91
28.93,76.17,7.77
33.53,74.22,-2.37
29.93,78.74,2.12
24.37,92.17,2.81
26.7,77.9,8.6
29.91,78.7,1.23
25.6,75.61,9.85
21.48,85.82,5.0
33.58,74.09,-2.19
26.47,92.47,2.56
19.3,75.67,10.91
22.98,71.47,16.14
22.57,70.42,19.24
23.57,76.78,10.33
32.74,74.81,7.01
24.15,78.23,9.42
28.39,75.63,7.94
28.35,75.64,7.97
16.22,73.83,12.43
27.13,94.77,4.62
26.17,93.57,1.54
17.94,78.68,8.8
20.17,84.85,6.17
27.1,79.95,8.43
26.35,89.9,2.89
27.27,93.07,2.01
32.56,74.92,6.71
24.53,84.92,4.63
12.17,76.6,10.24
15.68,74.97,11.04
34.27,74.47,-2.17
34.45,74.41,-2.42
34.39,73.79,-1.4
21.07,83.2,4.99
18.02,78.9,8.41
34.37,73.98,1.46
23.75,86.17,3.91
16.05,73.92,12.33
23.42,91.67,5.44
29.08,74.68,8.17
28.87,75.45,7.99
25.32,86.02,4.2
25.55,84.15,5.96
23.98,86.02,3.92
22.97,74.12,13.31
24.76,79.05,8.85
23.13,84.85,4.8
20.0,76.3,11.21
27.5,95.75,6.0
16.73,76.92,9.73
21.7,74.03,14.13
26.28,79.29,8.62
25.93,90.77,2.41
27.79,79.31,8.16
29.28,78.12,7.3
25.97,85.12,5.33
28.19,74.69,8.41
26.13,89.47,3.01
10.03,76.3,13.69
11.22,76.15,11.68
13.07,80.26,9.73
17.58,78.54,8.97
13.25,80.33,9.68
13.13,80.25,9.61
8.18,77.63,16.06
26.75,82.08,7.98
25.93,80.83,8.49
30.92,74.67,7.13
26.3,87.27,4.1
22.37,88.78,7.81
16.28,78.68,8.04
30.72,76.77,6.08
26.35,79.23,8.58
25.77,75.63,9.79
24.18,92.02,3.25
11.18,75.85,12.72
17.84,78.12,9.28
15.42,75.63,10.54
27.33,88.62,3.4
16.53,80.8,7.8
24.75,84.95,4.71
25.4,83.55,6.41
22.77,83.97,5.54
27.13,81.97,8.03
21.47,80.2,8.52
19.27,84.88,8.97
26.75,83.37,7.32
17.35,76.85,10.52
34.05,74.4,-2.5
24.65,77.32,9.71
28.42,77.0,7.74
26.1,91.58,2.31
26.23,78.25,8.61
15.42,75.62,10.58
27.23,79.28,8.27
33.89,74.29,-3.87
24.05,76.45,10.18
25.58,76.3,9.45
15.73,75.98,10.57
16.27,76.83,9.78
23.52,74.0,12.82
20.1,84.57,6.24
9.92,77.53,10.72
34.16,74.57,-2.25
30.65,78.85,-3.09
27.85,78.47,8.03
14.55,78.73,6.82
29.9,78.68,-0.86
26.01,79.38,8.64
32.79,74.77,7.06
29.97,78.53,0.68
26.7,94.12,3.32
17.61,78.47,9.04
27.72,79.65,8.12
22.77,87.8,7.16
23.28,84.55,5.12
20.88,73.72,14.15
28.3,75.71,7.96
22.9,88.16,6.65
20.13,78.32,9.72
29.85,77.05,6.87
25.22,87.17,3.58
23.95,87.1,3.99
22.7,70.65,18.59
27.22,73.47,9.99
30.72,75.98,6.65
32.98,74.41,5.59
28.36,74.9,8.25
27.7,79.57,8.17
20.67,79.13,9.04
22.25,88.5,8.25
33.26,74.14,-0.16
27.32,84.32,6.64
23.27,87.97,5.59
31.52,76.02,5.9
27.98,72.25,10.15
24.9,72.83,12.63
20.72,70.99,18.53
34.08,74.57,-1.78
14.97,78.25,6.98
34.1,74.58,-1.66
21.92,85.37,4.66
22.02,69.92,18.67
22.26,88.97,8.17
22.86,88.04,6.85
16.75,77.3,9.44
25.73,75.54,9.88
19.92,77.05,11.06
25.93,85.33,5.13
18.17,73.3,14.46
21.33,69.9,19.66
16.72,75.43,11.09
17.21,78.9,7.2
14.83,76.63,10.0
25.96,75.59,9.69
12.84,80.06,9.29
25.6,85.2,5.0
18.98,84.02,6.27
20.37,83.37,5.04
17.63,80.93,5.98
22.55,72.22,17.57
20.28,84.7,5.77
14.98,74.92,10.8
15.17,77.38,8.83
16.28,76.62,9.91
24.67,84.77,4.81
30.64,76.81,6.32
30.1,79.97,-2.83
28.07,94.57,2.66
24.67,75.6,10.67
18.02,79.57,6.7
27.38,80.17,8.18
17.82,73.1,15.01
13.0,76.15,11.06
28.08,96.5,1.89
23.98,85.37,4.51
29.17,75.73,7.63
14.28,74.45,12.54
22.77,77.77,9.72
10.58,92.55,9.52
17.45,78.47,8.72
9.5,76.63,13.32
15.8,76.98,8.75
15.02,75.95,9.82
30.03,77.89,5.15
28.18,75.39,8.12
34.28,74.2,-3.43
13.0,75.7,10.9
33.39,74.23,-1.98
27.65,79.95,8.14
15.43,75.8,10.4
26.86,79.06,8.53
31.03,78.73,-1.33
22.57,75.82,11.58
34.53,75.13,1.13
24.6,87.08,3.51
17.55,75.9,10.32
22.62,86.13,4.9
23.67,84.95,4.61
26.39,79.48,8.68
26.53,75.87,9.21
13.95,76.62,9.93
29.93,78.52,0.68
26.0,92.87,2.14
14.03,75.68,10.06
13.54,77.3,10.87
27.57,93.85,1.96
12.82,77.03,10.33
13.23,77.12,11.18
16.47,76.53,9.81
34.3,74.25,-3.13
28.78,95.88,1.84
24.53,84.02,5.4
30.17,76.54,6.86
27.68,76.45,7.87
25.05,84.63,5.18
27.6,78.05,8.17
26.27,91.37,2.54
23.83,73.03,13.77
24.77,93.9,0.92
22.72,75.8,11.51
17.69,78.87,8.05
27.16,79.27,8.29
29.84,78.75,-2.16
24.68,74.13,12.0
27.68,74.07,9.21
11.57,75.6,12.67
11.77,79.38,9.49
27.24,79.44,8.27
34.65,76.02,6.3
30.1,77.75,6.38
20.13,85.15,6.89
