Latitude,Longitude,PTrain_WSD
22.95,88.55,7.25
32.94,74.39,5.36
24.07,79.08,4.28
24.18,72.03,8.63
20.45,72.88,10.33
26.8,79.25,4.08
21.67,87.35,8.28
25.7,92.02,4.42
25.28,74.67,6.53
30.19,76.63,4.57
27.14,79.75,4.08
20.62,83.35,6.72
20.9,77.6,5.34
24.27,73.38,8.08
25.55,84.87,4.34
26.05,77.37,4.67
27.07,88.2,3.73
11.68,77.13,7.71
31.28,76.25,4.9
26.7,88.48,3.8
20.43,85.98,7.97
22.13,84.8,6.38
22.68,84.55,5.86
24.63,93.77,4.35
26.05,86.98,4.36
34.4,74.32,6.07
19.02,72.85,10.2
27.25,92.4,4.57
14.6,76.68,7.26
17.89,78.46,6.51
34.01,74.64,6.23
26.82,94.83,2.83
27.87,96.37,2.76
32.65,74.82,5.39
24.1,92.6,5.62
34.48,74.24,6.2
17.33,78.41,6.84
23.35,92.83,5.93
27.35,73.1,5.54
30.19,76.51,4.58
22.36,88.12,8.09
34.53,76.2,7.16
34.38,74.99,6.73
24.02,87.15,6.15
34.28,74.44,6.05
33.6,75.02,6.26
28.26,75.37,4.67
22.25,85.8,6.94
26.52,71.81,6.72
26.77,92.6,3.49
25.5,83.85,4.16
13.62,76.42,7.63
22.25,88.67,7.98
9.17,92.83,7.94
22.55,85.82,6.8
24.92,75.58,6.22
22.03,82.7,5.39
20.78,86.73,8.32
19.97,79.3,5.34
26.2,92.52,3.9
25.78,84.73,4.2
13.0,80.18,8.81
13.07,80.25,8.86
25.25,91.73,5.0
22.1,79.0,4.37
13.25,75.75,8.14
14.23,76.43,7.55
24.88,74.63,6.88
24.65,83.1,4.28
28.25,74.92,4.77
11.0,76.97,8.09
11.03,77.05,8.02
21.78,87.75,8.22
26.33,89.47,4.18
11.77,79.77,8.8
14.48,78.83,7.94
20.47,85.93,7.91
20.22,73.05,10.05
22.52,88.78,7.66
25.68,85.35,4.39
26.84,79.53,4.06
11.15,75.82,9.03
17.31,78.87,7.13
26.92,79.21,4.09
30.4,74.9,4.7
29.66,77.45,4.45
22.97,86.05,6.56
22.15,70.58,10.2
29.39,76.99,4.42
24.04,79.1,4.28
30.73,76.79,4.72
28.43,75.51,4.61
27.72,96.23,2.58
26.57,94.7,2.95
24.05,86.9,6.03
25.88,87.13,4.5
28.16,75.46,4.67
25.68,93.23,3.95
21.43,71.22,10.05
25.3,93.72,4.2
28.68,73.12,5.05
24.88,78.97,4.25
11.83,76.07,8.48
27.22,93.12,3.29
28.78,96.27,4.18
22.22,78.43,4.76
25.68,94.3,3.91
24.47,86.25,5.4
29.98,77.1,4.52
24.79,79.08,4.22
24.52,84.95,4.92
20.68,86.85,8.36
28.75,73.99,4.83
25.07,75.5,6.16
26.22,87.02,4.25
28.67,96.15,3.52
11.4,79.7,8.75
17.6,78.75,6.84
21.52,73.65,9.53
16.45,74.33,8.79
25.17,82.53,4.05
15.58,79.88,8.8
26.63,94.92,2.88
19.07,79.07,5.89
22.12,77.5,5.39
24.05,86.15,5.69
23.18,76.97,5.77
27.93,79.28,4.16
17.56,78.22,6.61
10.97,77.28,7.87
17.29,78.03,6.64
27.12,79.41,4.08
10.7,76.75,8.38
17.23,79.13,7.33
23.67,76.23,6.32
24.45,85.17,5.02
18.72,72.9,10.13
12.5,76.3,8.05
26.5,75.67,5.24
21.1,85.33,7.09
21.7,79.68,4.56
22.12,76.9,5.95
30.69,76.09,4.71
26.72,94.23,3.04
25.27,87.22,5.0
13.63,74.7,9.39
20.5,85.83,7.84
19.97,72.72,10.33
32.53,75.97,5.99
24.05,84.07,4.89
23.83,79.45,4.17
26.17,85.9,4.21
27.05,88.27,4.7
25.67,78.47,4.32
24.2,72.2,8.6
30.32,78.03,4.69
24.92,84.18,4.48
16.38,73.35,9.85
23.78,86.43,6.05
22.6,75.3,7.52
12.13,78.03,7.45
32.27,76.38,5.49
26.67,77.83,4.37
26.02,89.98,4.44
26.15,89.92,4.33
22.18,88.2,8.23
27.48,95.02,2.7
21.83,87.78,8.21
20.72,70.92,10.62
22.83,74.27,8.71
17.72,83.3,8.78
24.27,87.25,5.92
23.83,73.67,8.43
21.18,81.28,5.27
23.48,87.32,6.76
22.37,69.08,11.01
26.12,92.87,3.84
29.9,78.55,4.73
32.86,74.9,5.48
17.91,78.01,6.29
24.48,71.73,8.65
30.27,80.52,7.21
32.58,74.93,5.36
26.91,79.6,4.06
26.1,90.78,4.32
24.93,92.77,4.83
24.03,84.07,4.89
20.42,72.85,10.35
26.31,79.3,4.08
30.22,74.17,4.74
34.17,74.9,6.21
32.65,74.9,5.39
24.73,79.21,4.18
26.63,92.8,3.54
34.33,74.38,6.06
24.02,85.55,5.41
