Latitude,Longitude,PTrain_WSD
22.95,88.55,4.5
32.94,74.39,5.65
24.07,79.08,4.51
24.18,72.03,6.59
20.45,72.88,8.29
26.8,79.25,4.49
21.67,87.35,6.03
25.7,92.02,1.08
25.28,74.67,4.47
30.19,76.63,4.43
27.14,79.75,4.07
20.62,83.35,4.13
20.9,77.6,5.58
24.27,73.38,4.49
25.55,84.87,4.06
26.05,77.37,5.09
27.07,88.2,1.26
11.68,77.13,4.49
31.28,76.25,3.74
26.7,88.48,2.89
20.43,85.98,5.38
22.13,84.8,3.6
22.68,84.55,2.94
24.63,93.77,1.99
26.05,86.98,3.2
34.4,74.32,3.86
19.02,72.85,7.92
27.25,92.4,3.92
14.6,76.68,4.56
17.89,78.46,4.58
34.01,74.64,3.76
26.82,94.83,2.54
27.87,96.37,1.5
32.65,74.82,5.49
24.1,92.6,2.65
34.48,74.24,3.63
17.33,78.41,4.35
23.35,92.83,2.4
27.35,73.1,5.61
30.19,76.51,4.49
22.36,88.12,5.77
34.53,76.2,5.0
34.38,74.99,3.9
24.02,87.15,2.85
34.28,74.44,3.78
33.6,75.02,3.8
28.26,75.37,5.03
22.25,85.8,2.77
26.52,71.81,5.86
26.77,92.6,2.28
25.5,83.85,4.49
13.62,76.42,4.28
22.25,88.67,5.76
9.17,92.83,13.11
22.55,85.82,3.25
24.92,75.58,4.6
22.03,82.7,4.3
20.78,86.73,6.08
19.97,79.3,5.61
26.2,92.52,2.57
25.78,84.73,4.11
13.0,80.18,7.09
13.07,80.25,7.16
25.25,91.73,2.31
22.1,79.0,4.74
13.25,75.75,3.87
14.23,76.43,4.22
24.88,74.63,4.44
24.65,83.1,3.82
28.25,74.92,5.12
11.0,76.97,6.12
11.03,77.05,6.15
21.78,87.75,5.99
26.33,89.47,2.76
11.77,79.77,7.97
14.48,78.83,5.52
20.47,85.93,5.32
20.22,73.05,7.6
22.52,88.78,5.19
25.68,85.35,3.87
26.84,79.53,4.32
11.15,75.82,8.65
17.31,78.87,4.38
26.92,79.21,4.47
30.4,74.9,5.27
29.66,77.45,4.13
22.97,86.05,2.97
22.15,70.58,7.99
29.39,76.99,4.54
24.04,79.1,4.48
30.73,76.79,4.08
28.43,75.51,5.07
27.72,96.23,2.82
26.57,94.7,2.06
24.05,86.9,2.6
25.88,87.13,3.24
28.16,75.46,4.86
25.68,93.23,1.86
21.43,71.22,7.61
25.3,93.72,2.75
28.68,73.12,6.31
24.88,78.97,4.74
11.83,76.07,4.39
27.22,93.12,1.11
28.78,96.27,1.67
22.22,78.43,4.99
25.68,94.3,3.39
24.47,86.25,2.16
29.98,77.1,4.23
24.79,79.08,4.63
24.52,84.95,3.51
20.68,86.85,6.21
28.75,73.99,5.81
25.07,75.5,4.33
26.22,87.02,3.28
28.67,96.15,1.11
11.4,79.7,8.34
17.6,78.75,4.31
21.52,73.65,6.14
16.45,74.33,4.27
25.17,82.53,4.9
15.58,79.88,5.88
26.63,94.92,2.06
19.07,79.07,5.61
22.12,77.5,4.96
24.05,86.15,2.35
23.18,76.97,4.67
27.93,79.28,4.01
17.56,78.22,4.58
10.97,77.28,6.61
17.29,78.03,4.52
27.12,79.41,4.23
10.7,76.75,7.98
17.23,79.13,4.44
23.67,76.23,4.55
24.45,85.17,3.26
18.72,72.9,7.43
12.5,76.3,4.2
26.5,75.67,4.96
21.1,85.33,4.0
21.7,79.68,5.04
22.12,76.9,5.34
30.69,76.09,4.61
26.72,94.23,2.98
25.27,87.22,3.22
13.63,74.7,7.18
20.5,85.83,5.18
19.97,72.72,8.31
32.53,75.97,2.66
24.05,84.07,3.67
23.83,79.45,4.54
26.17,85.9,3.65
27.05,88.27,3.97
25.67,78.47,4.88
24.2,72.2,6.33
30.32,78.03,2.62
24.92,84.18,4.11
16.38,73.35,7.0
23.78,86.43,2.56
22.6,75.3,4.3
12.13,78.03,5.6
32.27,76.38,2.9
26.67,77.83,5.06
26.02,89.98,2.63
26.15,89.92,2.6
22.18,88.2,6.09
27.48,95.02,3.24
21.83,87.78,6.0
20.72,70.92,9.06
22.83,74.27,5.08
17.72,83.3,5.43
24.27,87.25,2.66
23.83,73.67,5.15
21.18,81.28,4.76
23.48,87.32,3.52
22.37,69.08,10.31
26.12,92.87,2.68
29.9,78.55,1.93
32.86,74.9,5.24
17.91,78.01,4.84
24.48,71.73,6.85
30.27,80.52,5.48
32.58,74.93,5.38
26.91,79.6,4.23
26.1,90.78,2.56
24.93,92.77,2.98
24.03,84.07,3.71
20.42,72.85,8.39
26.31,79.3,4.63
30.22,74.17,5.68
34.17,74.9,4.17
32.65,74.9,5.35
24.73,79.21,4.59
26.63,92.8,2.81
34.33,74.38,3.8
24.02,85.55,2.22
28.45,72.5,6.64
25.33,88.32,3.0
30.75,76.15,4.56
27.9,96.3,2.73
28.02,96.23,1.39
25.75,75.38,4.74
18.25,77.1,5.25
25.74,79.16,4.83
23.13,78.68,5.06
27.98,79.42,3.93
26.17,85.0,4.02
29.73,78.47,3.36
23.43,73.75,6.05
20.03,75.03,4.67
33.13,75.98,3.12
29.86,78.64,1.81
26.92,71.37,6.04
30.66,76.83,4.16
24.6,92.83,3.07
33.27,74.55,4.14
17.65,77.47,5.0
30.58,76.82,4.18
25.98,87.13,3.26
24.42,85.98,2.34
28.93,76.17,4.99
33.53,74.22,3.58
29.93,78.74,2.2
24.37,92.17,3.19
26.7,77.9,5.03
29.91,78.7,2.03
25.6,75.61,4.96
21.48,85.82,3.02
33.58,74.09,3.46
26.47,92.47,2.64
19.3,75.67,4.86
22.98,71.47,7.67
22.57,70.42,9.4
23.57,76.78,4.61
32.74,74.81,5.55
24.15,78.23,4.8
28.39,75.63,4.95
28.35,75.64,4.95
16.22,73.83,6.22
27.13,94.77,3.32
26.17,93.57,1.42
17.94,78.68,4.46
20.17,84.85,4.4
27.1,79.95,4.0
26.35,89.9,2.49
27.27,93.07,1.06
32.56,74.92,5.37
24.53,84.92,3.61
12.17,76.6,4.44
15.68,74.97,3.99
34.27,74.47,3.78
34.45,74.41,3.75
34.39,73.79,4.1
21.07,83.2,4.09
18.02,78.9,4.42
34.37,73.98,3.65
23.75,86.17,2.81
16.05,73.92,5.9
23.42,91.67,4.28
29.08,74.68,5.61
28.87,75.45,5.27
25.32,86.02,3.53
25.55,84.15,4.37
23.98,86.02,2.59
22.97,74.12,5.34
24.76,79.05,4.63
23.13,84.85,2.58
20.0,76.3,5.03
27.5,95.75,3.27
16.73,76.92,5.23
21.7,74.03,4.77
26.28,79.29,4.66
25.93,90.77,2.42
27.79,79.31,4.1
29.28,78.12,4.06
25.97,85.12,4.0
28.19,74.69,5.15
26.13,89.47,2.76
10.03,76.3,9.78
11.22,76.15,8.1
13.07,80.26,7.11
17.58,78.54,4.34
13.25,80.33,7.04
13.13,80.25,7.08
8.18,77.63,12.39
26.75,82.08,4.26
25.93,80.83,4.36
30.92,74.67,5.34
26.3,87.27,3.17
22.37,88.78,5.48
16.28,78.68,3.85
30.72,76.77,4.11
26.35,79.23,4.65
25.77,75.63,4.83
24.18,92.02,3.36
11.18,75.85,8.46
17.84,78.12,4.75
15.42,75.63,4.09
27.33,88.62,2.87
16.53,80.8,5.78
24.75,84.95,3.68
25.4,83.55,4.57
22.77,83.97,3.11
27.13,81.97,4.05
21.47,80.2,5.1
19.27,84.88,6.24
26.75,83.37,4.33
17.35,76.85,5.22
34.05,74.4,2.99
24.65,77.32,4.51
28.42,77.0,4.69
26.1,91.58,2.47
26.23,78.25,4.89
15.42,75.62,4.08
27.23,79.28,4.28
33.89,74.29,2.98
24.05,76.45,4.63
25.58,76.3,5.18
15.73,75.98,4.3
16.27,76.83,5.02
23.52,74.0,5.78
20.1,84.57,4.76
9.92,77.53,7.55
34.16,74.57,3.71
30.65,78.85,2.1
27.85,78.47,4.42
14.55,78.73,5.5
29.9,78.68,1.79
26.01,79.38,4.65
32.79,74.77,5.6
29.97,78.53,1.98
26.7,94.12,2.98
17.61,78.47,4.4
27.72,79.65,3.89
22.77,87.8,4.92
23.28,84.55,2.7
20.88,73.72,5.75
28.3,75.71,4.92
22.9,88.16,4.68
20.13,78.32,5.64
29.85,77.05,4.28
25.22,87.17,3.16
23.95,87.1,2.85
22.7,70.65,8.94
27.22,73.47,5.4
30.72,75.98,4.64
32.98,74.41,5.35
28.36,74.9,5.18
27.7,79.57,3.97
20.67,79.13,5.51
22.25,88.5,5.67
33.26,74.14,4.0
27.32,84.32,3.74
23.27,87.97,4.08
31.52,76.02,4.45
27.98,72.25,6.56
24.9,72.83,5.28
20.72,70.99,9.16
34.08,74.57,4.02
14.97,78.25,5.1
34.1,74.58,4.05
21.92,85.37,2.73
22.02,69.92,8.41
22.26,88.97,5.71
22.86,88.04,4.75
16.75,77.3,5.05
25.73,75.54,4.79
19.92,77.05,5.27
25.93,85.33,3.92
18.17,73.3,7.23
21.33,69.9,9.62
16.72,75.43,4.37
17.21,78.9,4.43
14.83,76.63,4.47
25.96,75.59,4.92
12.84,80.06,6.98
25.6,85.2,3.93
18.98,84.02,3.96
20.37,83.37,4.21
17.63,80.93,5.29
22.55,72.22,8.65
20.28,84.7,4.13
14.98,74.92,4.21
15.17,77.38,4.91
16.28,76.62,4.91
24.67,84.77,3.76
30.64,76.81,4.18
30.1,79.97,2.35
28.07,94.57,1.13
24.67,75.6,4.32
18.02,79.57,4.65
27.38,80.17,3.66
17.82,73.1,7.45
13.0,76.15,4.04
28.08,96.5,1.47
23.98,85.37,2.25
29.17,75.73,5.04
14.28,74.45,6.92
22.77,77.77,5.27
10.58,92.55,11.29
17.45,78.47,4.35
9.5,76.63,9.92
15.8,76.98,5.25
15.02,75.95,4.3
30.03,77.89,0.91
28.18,75.39,4.94
34.28,74.2,3.16
13.0,75.7,3.83
33.39,74.23,3.61
27.65,79.95,3.73
15.43,75.8,4.17
26.86,79.06,4.64
31.03,78.73,2.82
22.57,75.82,4.38
34.53,75.13,4.19
24.6,87.08,2.49
17.55,75.9,4.86
22.62,86.13,3.33
23.67,84.95,2.56
26.39,79.48,4.61
26.53,75.87,4.83
13.95,76.62,4.43
29.93,78.52,1.97
26.0,92.87,2.69
14.03,75.68,4.17
13.54,77.3,4.79
27.57,93.85,2.13
12.82,77.03,4.55
13.23,77.12,4.61
16.47,76.53,4.96
34.3,74.25,3.43
28.78,95.88,0.77
24.53,84.02,4.01
30.17,76.54,4.48
27.68,76.45,4.42
25.05,84.63,4.1
27.6,78.05,4.67
26.27,91.37,2.63
23.83,73.03,5.74
24.77,93.9,2.01
22.72,75.8,4.35
17.69,78.87,4.32
27.16,79.27,4.3
29.84,78.75,1.88
24.68,74.13,4.36
27.68,74.07,5.31
11.57,75.6,8.31
